title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Criteria Cognitive Aptitude Test (CCAT) - 6 Practice TestsWhat you need to get hired at top companiesRating: 4.4 out of 5719 reviews300 questionsAll LevelsCurrent price: $44.99,https://www.udemy.com/course/ccat-pass/,Digital Dash,4.4,719,$44.99,,,,All Levels
"Criteria Cognitive Aptitude Test (CCAT) Practice QuestionsCCAT Test Prep, Math, Logic, Spatial Reasoning, Effective Solutions, CCAT Questions, CCAT Preparation, CCAT TimingRating: 3.7 out of 5460 reviews300 questionsAll LevelsCurrent price: $39.99",https://www.udemy.com/course/ccat-criteria-cognitive-aptitude-test-practice-questions/,Sener Kilic,3.7,460,$39.99,,,,All Levels
Criteria Cognitive Aptitude Test(CCAT) 100% students passedFirst Video Course of crossover Criteria CCAT Based on latest pattern with 10 Practice papersRating: 4.2 out of 5220 reviews1.5 total hours20 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/crossover-ccat-course-17-videos-10-practice-set-500q/,Lokesh Kumar,4.2,220,$44.99,,1.5 total hours,20 lectures,All Levels
"6 Predictive Index Cognitive Assessment Practice TestsThe complete Predictive Index Cognitive Assessment Prep including 300 PI practice questions, answers & shortcut tipsRating: 4.0 out of 5144 reviews300 questionsAll LevelsCurrent price: $19.99",https://www.udemy.com/course/predictive-index-cognitive-assessment-practice-tests/,Neeldeep Das,4.0,144,$19.99,,,,All Levels
"Criteria Cognitive Aptitude Test (CCAT) Essential StrategiesCCAT Success Strategies: Elevate Your Cognitive Abilities, Path to Cognitive Excellence, Ultimate CCAT Preparation.Rating: 4.4 out of 5143 reviews2 total hours28 lecturesAll LevelsCurrent price: $24.99",https://www.udemy.com/course/criteria-cognitive-aptitude-test-ccat-essential-strategies/,Kareem Ullah,4.4,143,$24.99,,2 total hours,28 lectures,All Levels
"Criteria Cognitive Aptitude Test (CCAT) PreparationCCAT Practice Sets on logic and math, verbal and spatial reasoningRating: 4.0 out of 5113 reviews300 questionsAll LevelsCurrent price: $49.99",https://www.udemy.com/course/criteria-cognitive-aptitude-test-ccat-preparation/,Anurag Singh,4.0,113,$49.99,,,,All Levels
"Criteria Cognitive Aptitude Test - Math Tricks & SolutionsCCAT Test Prep, Criteria Cognitive Aptitude Test (CCAT), Math, Test Prep, CCAT Timing, CCAT Preparation, CCAT TechniquesRating: 3.3 out of 5104 reviews0.5 total hours8 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/criteria-cognitive-aptitude-test-math-tricks-and-solutions/,Sener Kilic,3.3,104,$19.99,,0.5 total hours,8 lectures,All Levels
"Cognitive Aptitude Test (CCAT) Practice Exams 2025 (5 Tests)Strategies, Tips & Hacks, 250+ Practice Questions, and Timed Tests to Boost Your Cognitive Aptitude Test ScoreRating: 4.4 out of 574 reviews250 questionsAll LevelsCurrent price: $27.99",https://www.udemy.com/course/ccat-practice-tests/,Junaid Khalid,4.4,74,$27.99,,,,All Levels
"Korn Ferry (Talent Q) Aptitude Assessment Practice QuestionsKorn Ferry, Talent Q, Apitude Assessment, Numerical Reasoning, Verbal Ability, Checking AbilityRating: 3.8 out of 565 reviews234 questionsBeginnerCurrent price: $19.99",https://www.udemy.com/course/korn-ferry-talent-q-aptitude-assessment-practice-questions/,Gen Xuan Fan,3.8,65,$19.99,,,,Beginner
Introduction to Criteria Cognitive Aptitude Test (CCAT)Learn all you need to know to pass CCATRating: 3.8 out of 564 reviews2 total hours20 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/introduction-to-criteria-cognitive-aptitude-test/,Anurag Singh,3.8,64,$19.99,,2 total hours,20 lectures,All Levels
Criteria Cognitive Aptitude Test(CCAT)-Mock practice testsIt's all about time managementRating: 4.3 out of 562 reviews300 questionsAll LevelsCurrent price: $39.99,https://www.udemy.com/course/ccat-2021-mock-practice-tests/,Exam Ekalavya,4.3,62,$39.99,,,,All Levels
"CCAT Mastery: 4 Tests & Solutions by Crossover Ex-EmployeeExpert CCAT Prep with Ex-Crossover Insights: 4 Tests, Detailed Solutions &amp; StrategiesRating: 4.2 out of 540 reviews170 questionsAll LevelsCurrent price: $44.99",https://www.udemy.com/course/ccat-crossover/,Yaswanth Gosula,4.2,40,$44.99,,,,All Levels
"CCAT Practice Tests 2026 – Full Prep for Top Scores6 full-length Criteria Cognitive Aptitude Test (CCAT) practice tests, timed simulations, solutions, tips & hacksRating: 4.5 out of 523 reviews300 questionsAll LevelsCurrent price: $19.99",https://www.udemy.com/course/ccat-practice-tests-2025-full-prep-for-top-scores/,CognitiQ Edge,4.5,23,$19.99,,,,All Levels
SHL General Ability Practice Questions for Career Success6  Simulated and Realistic SHL General Ability Practice TestsRating: 4.1 out of 522 reviews180 questionsAll LevelsCurrent price: $19.99,https://www.udemy.com/course/shl-general-ability-practice-questions-for-career-success-s/,Gen Xuan Fan,4.1,22,$19.99,,,,All Levels
"Prepare for Job Placement with Korn Ferry  Aptitude testMastering Aptitude Tests: Your Gateway to Job Placements in the Private and Public Sector for Employers like HSBC, NHSRating: 3.3 out of 517 reviews176 questionsAll LevelsCurrent price: $19.99",https://www.udemy.com/course/prepare-for-job-placement-with-korn-ferry-aptitude-test/,Gen Xuan Fan,3.3,17,$19.99,,,,All Levels
CCAT Practice Assessments- The Mastery Guide - 2024Unlock Your Potential: Ace the CCAT with Our Comprehensive Mastery Guide - Boost Employability Now!Rating: 3.1 out of 516 reviews360 questionsAll LevelsCurrent price: $39.99,https://www.udemy.com/course/criteria-cognitive-aptitude-test-ccat-the-mastery-guide/,Ejiro Igho,3.1,16,$39.99,,,,All Levels
