title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Conflict Management, Conflict Resolution, and MediationConflict Management | Conflict Resolution | Mediation | Mediator | Conflict Management Frameworks and ChecklistRating: 4.4 out of 5253 reviews1.5 total hours14 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/conflict-management-resolution/,Salil Dhawan,4.4,253,$19.99,,1.5 total hours,14 lectures,All Levels
Management Skills Masterclass - Management & LeadershipManagement Skills | Leadership | Teamwork | Team Management | Communication Skill for Managers | Manager TrainingRating: 4.6 out of 5998 reviews10.5 total hours86 lecturesAll LevelsCurrent price: $34.99,https://www.udemy.com/course/management-skill/,Salil Dhawan,4.6,998,$34.99,,10.5 total hours,86 lectures,All Levels
Conflict Management with Emotional IntelligenceResolving Conflict with Emotional Intelligence | Enhancing Communication | Building Strong Relationships | Manage StressRating: 4.5 out of 520470 reviews4 total hours88 lecturesIntermediateCurrent price: $74.99,https://www.udemy.com/course/conflict-management-with-emotional-intelligence/,Robin Hills,4.5,"20,470",$74.99,,4 total hours,88 lectures,Intermediate
"Mastering Conflict Management and Resolution at WorkDiscover what happens to you in conflict, use tools to resolve any conflict, and strengthen your relationshipsRating: 4.4 out of 528827 reviews1 total hour19 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/mastering-conflict-management-and-resolution-at-work/,Dr. Priya Nalkur,4.4,"28,827",$39.99,,1 total hour,19 lectures,All Levels
"Complete Guide to Conflict Management in the WorkplaceConflict management: learn conflict resolution skills & effective listening, communication & problem solving techniquesRating: 4.5 out of 515319 reviews3 total hours49 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/complete-guide-to-conflict-management-in-the-workplace/,"Joeel & Natalie of Transformation Services, Transformation Services",4.5,"15,319",$54.99,,3 total hours,49 lectures,All Levels
Managing ConflictHow to Deal with Conflict with Style and ConfidenceRating: 4.4 out of 531 reviews30 total mins8 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/managing-conflict/,Dr Neil Thompson,4.4,31,$19.99,,,8 lectures,Beginner
"Mastering Conflict Management and Resolution at WorkDiscover what happens to you in conflict, use tools to resolve any conflict, and strengthen your relationshipsRating: 4.4 out of 528830 reviews1 total hour19 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/mastering-conflict-management-and-resolution-at-work/,Dr. Priya Nalkur,4.4,"28,830",$39.99,,1 total hour,19 lectures,All Levels
Conflict Management with Emotional IntelligenceResolving Conflict with Emotional Intelligence | Enhancing Communication | Building Strong Relationships | Manage StressRating: 4.5 out of 520473 reviews4 total hours88 lecturesIntermediateCurrent price: $74.99,https://www.udemy.com/course/conflict-management-with-emotional-intelligence/,Robin Hills,4.5,"20,473",$74.99,,4 total hours,88 lectures,Intermediate
"Complete Guide to Conflict Management in the WorkplaceConflict management: learn conflict resolution skills & effective listening, communication & problem solving techniquesRating: 4.5 out of 515320 reviews3 total hours49 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/complete-guide-to-conflict-management-in-the-workplace/,"Joeel & Natalie of Transformation Services, Transformation Services",4.5,"15,320",$54.99,,3 total hours,49 lectures,All Levels
Culture | How to Manage Team ConflictUnderstand how to harness healthy conflict in teams and how to manage conflict conversationsRating: 4.4 out of 514420 reviews0.5 total hours12 lecturesAll LevelsCurrent price: $34.99,https://www.udemy.com/course/culture-how-to-manage-team-conflict/,Learoy Tonight,4.4,"14,420",$34.99,,0.5 total hours,12 lectures,All Levels
Become a Master at Conflict Management at Home or WorkConflict Resolution | Emotional Intelligence | Difficult Conversations | Negotiating | Active Listening | InfluencingRating: 4.6 out of 58194 reviews4.5 total hours54 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/become-a-master-at-resolving-conflict-at-home-or-work/,"Roger Kay Allen, Ph.D.",4.6,"8,194",$69.99,,4.5 total hours,54 lectures,All Levels
Conflict Management at Work: Real World Strategies & ToolsA Practical Introduction to Workplace Conflict Management for Managers and SupervisorsRating: 4.5 out of 54709 reviews1.5 total hours35 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/dealing-with-conflict-at-work/,Mike Clayton,4.5,"4,709",$44.99,,1.5 total hours,35 lectures,All Levels
"Conflict Management: The complete guideConflict management: effective techniques to better manage conflicts, negotiate, influence and solve problemsRating: 4.5 out of 53321 reviews1.5 total hours28 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/conflict-management-the-complete-guide/,Jamal Lazaar,4.5,"3,321",$49.99,,1.5 total hours,28 lectures,All Levels
"Managing Generational ConflictPowerful knowledge for managing & reducing conflict, increasing engagement & productivity, and turning customers to fansRating: 4.3 out of 51585 reviews3 total hours26 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/managing-generational-conflict/,Ken Beller,4.3,"1,585",$19.99,,3 total hours,26 lectures,All Levels
Managing conflict with skill and confidenceUnderstanding conflict and resolving disagreements with confidence at work and in lifeRating: 4.4 out of 51544 reviews1 total hour22 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/conflict-management/,"Skill Boosters, Barry Winbolt",4.4,"1,544",$44.99,,1 total hour,22 lectures,All Levels
