title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"COUNSELLING CHILDREN & ADOLESCENTS (Fully Accredited)Understand bullying, grief, stress, and child abuse counselling. Start practice working with children and adolescentsRating: 4.5 out of 55012 reviews2.5 total hours24 lecturesBeginnerCurrent price: $69.99",https://www.udemy.com/course/counselling-children/,"Elmira Strange, PhD",4.5,"5,012",$69.99,,2.5 total hours,24 lectures,Beginner
INTRODUCTION to CHILD PSYCHOLOGY - ACCREDITED & CERTIFIEDExplore Developmental Psychology of Children & Parenting Styles. Fully Accredited & Certified CourseRating: 4.5 out of 52758 reviews2 total hours20 lecturesBeginnerCurrent price: $69.99,https://www.udemy.com/course/intro-child-psychology/,"Elmira Strange, PhD",4.5,"2,758",$69.99,,2 total hours,20 lectures,Beginner
Professional Counselling For Suicidal Clients Diploma CourseEasy & Effective Techniques To Assist Clients Dealing with Suicidal Thoughts. Fully Accredited Professional DiplomaRating: 4.4 out of 5376 reviews42 total mins12 lecturesAll LevelsCurrent price: $34.99,https://www.udemy.com/course/professional-counselling-for-suicidal-clients-diploma-course/,Dr Karen E Wells,4.4,376,$34.99,,,12 lectures,All Levels
"Person-Centred Counselling Course (Certification Program)Learn the essentials of person-centred psychology, counselling skills, communication + active listening to help others.Rating: 4.6 out of 58172 reviews44 total hours178 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/online-counselling-practitioner-course-counselling-skills/,"Kain Ramsay, Academy of Applied Psychology",4.6,"8,172",$69.99,,44 total hours,178 lectures,All Levels
Oxford Diploma: Professional Counselling : 50+ techniquesFULLY ACCREDITED : Active Listening // Cognitive restructuring //Motivational Interviewing - all  key counselling skillsRating: 4.5 out of 5197 reviews48.5 total hours608 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/oxford-diploma-in-counselling/,"Chris Sivewright, Almost Random Theatre, Oxford School of Learning",4.5,197,$19.99,,48.5 total hours,608 lectures,All Levels
"Basics of Counselling and Career Counselling For BeginnersLevel 1 course for understanding - Process of Career Counselling, Elements of Career Counselling and Counselling SkillsRating: 3.9 out of 546 reviews1.5 total hours7 lecturesBeginnerCurrent price: $27.99",https://www.udemy.com/course/basics-of-counselling-and-career-counselling-for-beginners/,ERA FOUNDATION,3.9,46,$27.99,,1.5 total hours,7 lectures,Beginner
"Grief Counseling & Grief Therapy Practitioner CertificationDeath, Grief, Healing in depth -  Grief Coaching & Certification Audio CourseRating: 3.6 out of 539 reviews7 total hours67 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/grief-counseling-grief-therapy-practitioner-certification/,Dr. Himani Sharma,3.6,39,$44.99,,7 total hours,67 lectures,All Levels
"Certification in Narrative Therapy - Fully AccreditedA narrative therapy certification masterclass to teach you to heal trauma, loss, grief, stress, depression, PTSD etc.Rating: 4.4 out of 5229 reviews2 total hours35 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/accredited-certificate-in-narrative-therapy/,"Prof. Krishna N. Sharma, Ph.D.",4.4,229,$39.99,,2 total hours,35 lectures,All Levels
"Fully Accredited Certification in Psychotherapy for TeensA Complete Masterclass | Learn psychotherapy for teens and manage anger, truama, personality disorders etc.Rating: 4.4 out of 57 reviews1 total hour28 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/accredited-certificate-in-psychotherapy-for-teens/,Dr. Ankita Kashyap,4.4,7,$19.99,,1 total hour,28 lectures,All Levels
Certification in Narrative Exposure Therapy - AccreditedInternationally Accredited Narrative Exposure Therapy Certification to Heal Psychological / Mental Health Related IssuesRating: 4.3 out of 555 reviews2 total hours23 lecturesAll LevelsCurrent price: $24.99,https://www.udemy.com/course/accredited-certificate-narrative-exposure-therapy-training/,"Prof. Krishna N. Sharma, Ph.D.",4.3,55,$24.99,,2 total hours,23 lectures,All Levels
"Acceptance and Commitment Therapy (ACT) for Trauma HealingLearn Acceptance and Commitment Therapy (ACT) for Trauma Healing and Help as ACT Practitioner, Counselor ,Coach etc.Rating: 3.7 out of 54 reviews3 total hours47 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/acceptance-and-commitment-therapy-act-for-trauma-healing/,Accumuli Academy for Educational Development,3.7,4,$19.99,,3 total hours,47 lectures,All Levels
"EMDR Therapy Training Certification For Trauma & PTSDTransform Your Practice with EMDR: Help Clients Process, Resolve Trauma &  Achieve HealingRating: 4.4 out of 5173 reviews2.5 total hours61 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/eye-movement-desensitization-and-reprocessing-emdr-therapy/,Magine Solutions Team,4.4,173,$44.99,,2.5 total hours,61 lectures,All Levels
Certificate in Psychotherapy for Trauma Healing - AccreditedFully Accredited Certification in Psychotherapy for Trauma Healing | Become Coach / CounselorRating: 4.3 out of 54 reviews1 total hour21 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/certificate-in-psychotherapy-for-truama-healing/,Dr. Ankita Kashyap,4.3,4,$19.99,,1 total hour,21 lectures,All Levels
Fully Accredited Professional PTSD Counselling DiplomaFull Diploma Course To Help Your Clients With This In Depth Specialised Counselling in Post Traumatic Stress DisorderRating: 4.6 out of 5709 reviews33 total mins12 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/fully-accredited-professional-ptsd-counselling-course/,Dr Karen E Wells,4.6,709,$54.99,,,12 lectures,All Levels
"Person-Centred Counselling Course (Certification Program)Learn the essentials of person-centred psychology, counselling skills, communication + active listening to help others.Rating: 4.6 out of 58173 reviews44 total hours178 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/online-counselling-practitioner-course-counselling-skills/,"Kain Ramsay, Academy of Applied Psychology",4.6,"8,173",$69.99,,44 total hours,178 lectures,All Levels
Fully Accredited Professional Counselling Diploma CourseAn In Depth Counseling Diploma Course To Take Your Therapy Skills To A New Level - Talking Is The New Healing!Rating: 4.5 out of 54466 reviews1 total hour13 lecturesAll LevelsCurrent price: $79.99,https://www.udemy.com/course/fully-accredited-professional-counselling-course/,Dr Karen E Wells,4.5,"4,466",$79.99,,1 total hour,13 lectures,All Levels
"DEPRESSION COUNSELLING DIPLOMA -Fully ACCREDITED & CERTIFIEDLearn about Symptoms, Diagnosis, & Treatment of Depressive DisordersRating: 4.7 out of 51934 reviews4.5 total hours52 lecturesBeginnerCurrent price: $74.99",https://www.udemy.com/course/depression-diploma/,"Elmira Strange, PhD",4.7,"1,934",$74.99,,4.5 total hours,52 lectures,Beginner
