title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Couples Counseling MASTERCLASS for Practitioner- AccreditedLearn Advanced Techniques in Cognitive Behavioral (CBT), Emotionally Focused Therapy (EFT) and Couples CommunicationRating: 4.9 out of 518 reviews3 total hours80 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/masterclass-couples-counseling-for-practitioner-accredited/,E- Psychology Academy (EPA),4.9,18,$19.99,,3 total hours,80 lectures,All Levels
"Cognitive Behavioral Therapy (CBT) for LGBTQAI+ TherapistsSupport and Help LGBTQAI+ Community to Deal With Anxiety, Stress, Discrimination, Prejudice and Social ExclusionRating: 4.5 out of 551 reviews2 total hours80 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/cognitive-behavioral-therapy-cbt-for-lgbtqai-youth/,E- Psychology Academy (EPA),4.5,51,$19.99,,2 total hours,80 lectures,All Levels
Couples Counselling using Systemic Family TherapyLearn couples counselling: Understand how systematic family therapy helps build stronger relationships and marriagesRating: 4.4 out of 5455 reviews2.5 total hours85 lecturesBeginnerCurrent price: $59.99,https://www.udemy.com/course/couples-counselling/,"Chris Worfolk, Holbeck College",4.4,455,$59.99,,2.5 total hours,85 lectures,Beginner
"Certification in Couple Therapy and Counseling - AccreditedBecome Internationally Certified Couple Therapist, Relationship Coach & Marriage Counsel to Help Dating & Married CoupleRating: 4.4 out of 5399 reviews2.5 total hours44 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/couple-therapy-marriage-counseling-accredited-diploma-certificate/,"Prof. Krishna N. Sharma, Ph.D., Virtued Academy International, UniSkill Academy",4.4,399,$54.99,,2.5 total hours,44 lectures,All Levels
"RELATIONSHIP COACHING & COUPLES COUNSELING MASTERCLASSHOW TO SAVE YOUR MARRIAGE & RELATIONSHIPS - Relationship Coaching, Marriage Counseling, Coaching Couples CounselingRating: 4.3 out of 5323 reviews2 total hours30 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/couples_counseling_course_relationships_coaching_marriage_counselling/,Manos Filippou,4.3,323,$34.99,,2 total hours,30 lectures,All Levels
The Oxford Diploma in: Couples Therapy and CounsellingACCREDITED : Become a Couples Therapist - learn practical Counselling skills (includes 80 Case Studies)Rating: 4.5 out of 5233 reviews43 total hours510 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/diploma-in-couples-therapy-and-counselling-accredited/,"Chris Sivewright, Almost Random Theatre, Oxford School of Learning",4.5,233,$44.99,,43 total hours,510 lectures,All Levels
Accredited Couples Counselling & Therapy CourseGottman MethodRating: 4.2 out of 5164 reviews1.5 total hours13 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/accredited-couples-counselling-therapy-course/,Dr. Genius,4.2,164,$44.99,,1.5 total hours,13 lectures,All Levels
"Rules of Engagement: Fair Fighting for Marriage [Vol 1-3]Understand How Conflicts Work, Navigate Them Better & Make Them Work to Your Advantage in MarriageRating: 4.6 out of 5113 reviews14 total hours50 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/rules-of-engagement-s/,Dr. Ly Tran,4.6,113,$19.99,,14 total hours,50 lectures,All Levels
Couples Counseling Using Emotionally Focused Therapy (EFT)Proven Emotionally Focused Therapy (EFT) Techniques for Couples Counseling |Become Internationally Certified Therapist|Rating: 4.0 out of 5103 reviews2 total hours83 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/couples-counseling-using-emotionally-focused-therapy-eft/,E- Psychology Academy (EPA),4.0,103,$19.99,,2 total hours,83 lectures,All Levels
"Couples Therapy & Emotional Design| PsyC (Coach) ACCREDTEDLearn Couples and Psychological Counseling, Marriage and Relationship Coaching, Healing, Health and Wellness Practices!Rating: 4.6 out of 590 reviews8.5 total hours31 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/couples-therapy-emotional-designpositive-psychology-coach/,"Sufani Garza, Place of Bliss Academy",4.6,90,$54.99,,8.5 total hours,31 lectures,All Levels
