title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Develop Creativity: Proven Methods for Innovative ThinkingA complete guide to thinking creatively in work and lifeRating: 4.8 out of 546 reviews2.5 total hours56 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/creativity-practical/,"Chris Croft, CRFT Productions",4.8,46,$19.99,,2.5 total hours,56 lectures,All Levels
"Critical Thinker Academy: Learn to Think Like a PhilosopherHow to improve your grades, advance in your job and expand your mind -- by learning how to think for yourself!Rating: 4.5 out of 56293 reviews19.5 total hours207 lecturesAll LevelsCurrent price: $94.99",https://www.udemy.com/course/critical-thinker-academy/,Kevin deLaplante,4.5,"6,293",$94.99,,19.5 total hours,207 lectures,All Levels
"Master Class - Creative Problem Solving & Decision MakingBuild and Expand your Creativity , become a Master Problem Solver and a Great Decision Maker with this 3 in 1 Course.Rating: 4.5 out of 54890 reviews5.5 total hours40 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/creativity-problem-solving-decision-making-course/,Dr. Mathew Thomas,4.5,"4,890",$59.99,,5.5 total hours,40 lectures,All Levels
"Creativity Course by a Creativity Coach | Art & InnovationCreativity & Innovation for Innovators, Artists, Entrepreneurs, Writers, & Students - By a Professional Creativity CoachRating: 4.4 out of 51076 reviews18 total hours197 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/creativity-coach/,Gabriel Wallace,4.4,"1,076",$74.99,,18 total hours,197 lectures,All Levels
Master Lateral ThinkingBecome a Creative Problem-Solver; Find Fresh Ideas.Rating: 4.4 out of 52933 reviews2 total hours18 lecturesBeginnerCurrent price: $64.99,https://www.udemy.com/course/master-lateral-thinking/,Paul Sloane,4.4,"2,933",$64.99,,2 total hours,18 lectures,Beginner
"Creativity, problem solving and generating alternativesMaster the skills and tools that will allow you to drive innovation, create alternatives and generate solutionsRating: 4.5 out of 513856 reviews1.5 total hours16 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/creativity-problem-solving-and-generating-alternatives/,Mihai Alexandru Gafar,4.5,"13,856",$34.99,,1.5 total hours,16 lectures,All Levels
"Creativity, Design Thinking, and Innovation for BusinessCreativity that Create an Innovative Corporate Culture Using Design Thinking & Problem Solving for the WorkplaceRating: 4.5 out of 530667 reviews3 total hours42 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/creativity-and-innovation-for-business/,"Joeel & Natalie of Transformation Services, Transformation Services",4.5,"30,667",$59.99,,3 total hours,42 lectures,All Levels
"Creativity, problem solving and generating alternativesMaster the skills and tools that will allow you to drive innovation, create alternatives and generate solutionsRating: 4.5 out of 513863 reviews1.5 total hours16 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/creativity-problem-solving-and-generating-alternatives/,Mihai Alexandru Gafar,4.5,"13,863",$34.99,,1.5 total hours,16 lectures,All Levels
Disciplined Dreaming: Lead Breakthrough Creativity at WorkUse Josh Linkner's Disciplined Dreaming system to learn how to use creativity & innovation to drive resultsRating: 4.5 out of 59583 reviews1.5 total hours32 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/disciplined-dreaming-lead-breakthrough-creativity-at-work/,Josh Linkner,4.5,"9,583",$19.99,,1.5 total hours,32 lectures,Beginner
"Master Class - Creative Problem Solving & Decision MakingBuild and Expand your Creativity , become a Master Problem Solver and a Great Decision Maker with this 3 in 1 Course.Rating: 4.6 out of 54891 reviews5.5 total hours40 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/creativity-problem-solving-decision-making-course/,Dr. Mathew Thomas,4.6,"4,891",$59.99,,5.5 total hours,40 lectures,All Levels
