title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Generative AI Essentials: The AI-Ready MindsetBuild AI fluency and unlock superhuman speed, scale and creativity with gen AI and LLMs like ChatGPT, Gemini & ClaudeRating: 4.8 out of 588 reviews2 total hours44 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/generative-ai-essentials/,"Maven Analytics • 1,500,000 Learners, Chris Dutton, Chris Bruehl",4.8,88,$19.99,,2 total hours,44 lectures,All Levels
"Generative AI Essentials: Prompt Engineering MasterclassMaster the art of prompt engineering, and maximize your impact with gen AI tools like ChatGPT, Copilot, Gemini & ClaudeRating: 4.6 out of 593 reviews2.5 total hours44 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/ai-prompt-engineering-masterclass/,"Maven Analytics • 1,500,000 Learners, Chris Bruehl",4.6,93,$19.99,,2.5 total hours,44 lectures,All Levels
"Mastering Logical FallaciesThe Online Course Based on the Book, ""Logically Fallacious""Rating: 4.5 out of 5274 reviews5 total hours103 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/mastering-logical-fallacies/,"Bo Bennett, PhD",4.5,274,$54.99,,5 total hours,103 lectures,All Levels
"Critical Thinking for Business Analysis  (6 IIBA® PDUs)Sharpen your reasoning skills to make smarter, faster, bias-free business decisionsRating: 4.6 out of 5233 reviews5 total hours47 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/critical-thinking-for-business-analysis/,Igor Arkhipov | Analyst's corner,4.6,233,$19.99,,5 total hours,47 lectures,All Levels
"Problem Solving And Critical Thinking : The Complete GuideMaster decision-making, problem solving, critical thinking, cognitive biases and creativityRating: 4.6 out of 5679 reviews3 total hours35 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/critical-thinking-decision-making/,Jamal Lazaar,4.6,679,$19.99,,3 total hours,35 lectures,All Levels
Critical Thinking with Emotional IntelligenceSmart Decision Making with Emotional Intelligence: Building Critical Thinking Skills | Problem Solving with EmpathyRating: 4.5 out of 57641 reviews3 total hours52 lecturesExpertCurrent price: $89.99,https://www.udemy.com/course/critical-thinking-with-emotional-intelligence/,Robin Hills,4.5,"7,641",$89.99,,3 total hours,52 lectures,Expert
Critical Thinking with AI & GenAI Fundamentals!!AI Generative AI: Essential human judgment skills for everyday decisions leadership management in an AI-influenced worldRating: 4.7 out of 573 reviews1.5 total hours15 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/critical-thinking-with-ai-genai-fundamentals/,Mana Dowlatshahi Yeganeh,4.7,73,$19.99,,1.5 total hours,15 lectures,All Levels
"Critical ThinkingHow to Think Clearly, Logically, Identify Fallacies and Construct Effective ArgumentsRating: 4.0 out of 5161 reviews3 total hours21 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/critical-thinking-course/,Systems Innovation,4.0,161,$19.99,,3 total hours,21 lectures,Beginner
Critical Thinking Strategies For Better DecisionsUpgrade your problem solving skills and optimize business outcomes by applying the critical thinking process.Rating: 4.4 out of 563557 reviews1 total hour23 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/critical-thinking-strategies/,John Rampton,4.4,"63,557",$39.99,,1 total hour,23 lectures,All Levels
Master Cognitive Biases and Improve Your Critical ThinkingUpgrade Your Mindware! Master Cognitive Biases and Learn New Strategies to Improve the Quality of Your ThinkingRating: 4.5 out of 533819 reviews2.5 total hours50 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/upgrade-your-mindware/,Kevin deLaplante,4.5,"33,819",$49.99,,2.5 total hours,50 lectures,All Levels
