title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Decision Making Psychology & Emotional IntelligenceMaster cognitive biases, master emotional intelligence (EQ), behavioural economics to make confident, rational decisionsRating: 4.2 out of 525 reviews4 total hours17 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/decision-making-psychology-emotional-intelligence/,"MTF Institute of Management, Technology and Finance",4.2,25,$19.99,,4 total hours,17 lectures,All Levels
Visualization Techniques for Decision Makers and LeadersHow to see the end outcome while getting the work doneRating: 4.5 out of 5520 reviews1 total hour18 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/visualization-techniques-for-decision-makers-and-leaders/,"Baba Oyewole, Helen Hicks",4.5,520,$19.99,,1 total hour,18 lectures,All Levels
"Master Class - Creative Problem Solving & Decision MakingBuild and Expand your Creativity , become a Master Problem Solver and a Great Decision Maker with this 3 in 1 Course.Rating: 4.5 out of 54890 reviews5.5 total hours40 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/creativity-problem-solving-decision-making-course/,Dr. Mathew Thomas,4.5,"4,890",$59.99,,5.5 total hours,40 lectures,All Levels
"Decision Making with Probability & Statistics, Do it Right.For Good, Data driven Business Decision-Making : Avoid Probability and Statistics Misconceptions and Mistakes.Rating: 4.5 out of 52956 reviews3 total hours42 lecturesBeginnerCurrent price: $49.99",https://www.udemy.com/course/probability-statistics-mistakes-misconceptions-lessons/,"Sivakami S ; MBA ; Leadership Science, Psychology",4.5,"2,956",$49.99,,3 total hours,42 lectures,Beginner
Inclusive Meeting Facilitation SkillsFacilitation Techniques to Make Efficient Decisions that the Harness Collective Wisdom of Your Diverse Team (DEI)Rating: 4.5 out of 5421 reviews3.5 total hours33 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/inclusive-facilitation-skills-for-leaders-of-diverse-teams/,Layli Miller-Muro,4.5,421,$59.99,,3.5 total hours,33 lectures,All Levels
"Leading a Data-Driven Culture with ConfidenceA Beginner's Guide To Building a High-Performance, Analytics-First Culture with ConfidenceRating: 4.5 out of 51761 reviews1 total hour13 lecturesBeginnerCurrent price: $34.99",https://www.udemy.com/course/data-driven-decisions-for-leaders-data-science-business/,"Justin Bateh, PhD, Projects Right",4.5,"1,761",$34.99,,1 total hour,13 lectures,Beginner
"Data-Based Decision Making for Managers: Practical AnalyticsUse data (not guesswork) to set KPIs/OKRs, read dashboards, run tests, and build a culture of evidence-based decisions.Rating: 5.0 out of 51 review2 total hours12 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/data-based-decision-making-for-managers-practical-analytics/,PracticalGrowth Inc.,5.0,1,$19.99,,2 total hours,12 lectures,All Levels
The Psychology Of Decision MakingUnravel the fascinating tapestry of decision-making!Rating: 1.0 out of 51 review2.5 total hours43 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/the-psychology-of-decision-making/,ATMASUTRA INSTITUTE OF CAREER DEVELOPMENT AND TRAINING (AICDT),1.0,1,$19.99,,2.5 total hours,43 lectures,Beginner
The Effective Executive: Mastering ProductivityThe Definitive Guide to Getting the Right Things DoneRating: 4.7 out of 56 reviews3.5 total hours80 lecturesExpertCurrent price: $19.99,https://www.udemy.com/course/the-effective-executive/,Drew Tabor,4.7,6,$19.99,,3.5 total hours,80 lectures,Expert
Data-Driven Decision Making and InnovationA course on how to effectively implement data-driven decision making in any size or type of organizationRating: 4.2 out of 569 reviews3 total hours41 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/data-driven-decision-making-and-leadership/,Jef Jacobs,4.2,69,$39.99,,3 total hours,41 lectures,All Levels
"Big Picture Leading & Thinking: Master Strategic LeadershipLearn the essential skills for effective leadership, including strategic thinking, decision making, and innovation!Rating: 4.2 out of 522 reviews1 total hour21 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/big-picture-leading/,"Peter Alkema, Quentin Ballard-Tremeer",4.2,22,$19.99,,1 total hour,21 lectures,Beginner
Emotional Intelligence in LeadershipMaster the Art of Leading and Adapting to various situationsRating: 4.6 out of 5286 reviews1.5 total hours32 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/emotional-intelligence-in-leadership-y/,"Baba Oyewole, Helen Hicks",4.6,286,$19.99,,1.5 total hours,32 lectures,All Levels
Critical Thinking Strategies For Better DecisionsUpgrade your problem solving skills and optimize business outcomes by applying the critical thinking process.Rating: 4.4 out of 563557 reviews1 total hour23 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/critical-thinking-strategies/,John Rampton,4.4,"63,557",$39.99,,1 total hour,23 lectures,All Levels
"Master your Decision Making and Critical Thinking SkillsResearch Based Decision-Making, Critical Thinking, and Problem Solving Strategies, for Leaders, Managers, and everyone !Rating: 4.6 out of 520084 reviews5.5 total hours70 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/leadership-science-for-decision-making/,"Sivakami S ; MBA ; Leadership Science, Psychology",4.6,"20,084",$69.99,,5.5 total hours,70 lectures,All Levels
Decision Making: Solve Problems with Emotional IntelligenceMaster Effective Decision Making using Emotional Intelligence | Enhancing Problem Solving and Critical Thinking SkillsRating: 4.5 out of 517029 reviews4 total hours73 lecturesIntermediateCurrent price: $69.99,https://www.udemy.com/course/effective-problem-solving-and-decision-making/,Robin Hills,4.5,"17,029",$69.99,,4 total hours,73 lectures,Intermediate
"How To Make Better, Faster Decisions At WorkLearn science-based skills to defeat biases, boost performance, gain confidence and become a better leader!Rating: 4.4 out of 59768 reviews1 total hour32 lecturesAll LevelsCurrent price: $29.99",https://www.udemy.com/course/how-to-make-better-faster-decisions-at-work/,Erik Larson,4.4,"9,768",$29.99,,1 total hour,32 lectures,All Levels
"Master Class - Creative Problem Solving & Decision MakingBuild and Expand your Creativity , become a Master Problem Solver and a Great Decision Maker with this 3 in 1 Course.Rating: 4.6 out of 54891 reviews5.5 total hours40 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/creativity-problem-solving-decision-making-course/,Dr. Mathew Thomas,4.6,"4,891",$59.99,,5.5 total hours,40 lectures,All Levels
Decision Making with Problem Solving & Critical ThinkingLeveraging the Power of Critical and Strategic Thinking for Better Problem Solving and Effective Decision MakingRating: 4.6 out of 52289 reviews3 total hours48 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/decision-making-with-problem-solving-critical-thinking/,Diogo Alves de Resende,4.6,"2,289",$19.99,,3 total hours,48 lectures,Beginner
Make Better Decisions: 13 Mental Models for Team ManagersLearn how to lead your team more effectively using simple decision-making frameworks and tacticsRating: 4.6 out of 52052 reviews1 total hour19 lecturesBeginnerCurrent price: $34.99,https://www.udemy.com/course/make-better-decisions-using-mental-models/,Hassan Osman,4.6,"2,052",$34.99,,1 total hour,19 lectures,Beginner
"Leading a Data-Driven Culture with ConfidenceA Beginner's Guide To Building a High-Performance, Analytics-First Culture with ConfidenceRating: 4.5 out of 51762 reviews1 total hour13 lecturesBeginnerCurrent price: $34.99",https://www.udemy.com/course/data-driven-decisions-for-leaders-data-science-business/,"Justin Bateh, PhD, Projects Right",4.5,"1,762",$34.99,,1 total hour,13 lectures,Beginner
Effective Decision Making | Control of Personal & BusinessImprove Your Decision Making Skills and Shape Your Future!Rating: 4.5 out of 51340 reviews1 total hour17 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/effective-decision-making-control-of-personal-business/,Levent Ertunalılar,4.5,"1,340",$19.99,,1 total hour,17 lectures,All Levels
Prioritization Techniques for Decision Makers and LeadersPrioritizing activities as a decision maker and leaderRating: 4.3 out of 51274 reviews1.5 total hours48 lecturesAll LevelsCurrent price: $24.99,https://www.udemy.com/course/prioritization-techniques-for-decision-makers-and-leaders/,"Baba Oyewole, Helen Hicks",4.3,"1,274",$24.99,,1.5 total hours,48 lectures,All Levels
"Three Rules for Critical Thinking & Avoiding Bad DecisionsImprove Your Decision Making Discipline and Protect Yourself from Fraudsters, Con Artists, and Bad DealsRating: 4.3 out of 5953 reviews1.5 total hours23 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/three-golden-rules-for-life-decision-making/,"Dr. Mohammad Habibi | 48,000+ Enrollments Worldwide",4.3,953,$19.99,,1.5 total hours,23 lectures,All Levels
Decision-Making for BusinessLearn a Decision-Making Model and how to Improve your Decision-Making Style for Better Business PerformanceRating: 4.3 out of 5849 reviews2 total hours14 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/decision-making-for-business/,Sorin Dumitrascu,4.3,849,$19.99,,2 total hours,14 lectures,Beginner
"Problem-solving and Decision-making StrategiesAdapt to Every Situation. Generate, Evaluate, and Choose Between Alternative Courses of Action.Rating: 4.3 out of 5642 reviews4.5 total hours29 lecturesIntermediateCurrent price: $54.99",https://www.udemy.com/course/problem-solving-and-decision-making/,Sorin Dumitrascu,4.3,642,$54.99,,4.5 total hours,29 lectures,Intermediate
Predict Consumer Decisions with Choice-Based ConjointA course showing managers and researchers how to run Choice Based Conjoint experiments to predict people's decisionsRating: 4.4 out of 5617 reviews4.5 total hours34 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/learningcbc/,Luke Greenacre,4.4,617,$54.99,,4.5 total hours,34 lectures,All Levels
"Decision Making for Leaders: Personal EffectivenessFrameworks for Understanding Unconscious Biases, Emotional Intelligence, and Decision-Making Processes in the WorkplaceRating: 4.6 out of 5595 reviews2 total hours21 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/decision-making-for-leaders-personal-effectiveness/,"Ray Harkins, The Manufacturing Academy, Michael J. Vella",4.6,595,$19.99,,2 total hours,21 lectures,All Levels
"Decision Making for Leaders and ManagersDecision Making for Leaders and Managers Course by MTF Institute of Management, Technology and FinanceRating: 4.5 out of 5119 reviews2 total hours18 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/decision-making-for-leaders-and-managers/,"MTF Institute of Management, Technology and Finance",4.5,119,$19.99,,2 total hours,18 lectures,All Levels
5 Decision-Making Techniques for SuccessLearn the Most Effective Business Decision-Making Techniques to Achieve Personal and Professional SuccessRating: 4.1 out of 5568 reviews1.5 total hours12 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/5-decision-making-techniques-for-success/,Sorin Dumitrascu,4.1,568,$19.99,,1.5 total hours,12 lectures,Intermediate
"Decision Making under Stress & Uncertainty - 9 Strategies9 Powerful Strategies, to help you make Great Decisions, even under a lot of Stress and Uncertainty !Rating: 4.6 out of 5545 reviews2 total hours31 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/decision-making-under-stress-uncertainty-9-strategies/,"Sivakami S ; MBA ; Leadership Science, Psychology",4.6,545,$39.99,,2 total hours,31 lectures,All Levels
"Critical Thinking: Decision Making for LeadersLearn Decision Making and Problem Solving, Overcome Cognitive Biases, Analyze Complex Information, Become creativeRating: 4.5 out of 5540 reviews3 total hours54 lecturesAll LevelsCurrent price: $24.99",https://www.udemy.com/course/critical-thinking-leadership/,Soufiane El Alaoui,4.5,540,$24.99,,3 total hours,54 lectures,All Levels
