title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"The Basics of Household Wiring. The Electrical System A to ZEverything Electricity, from your Circuit (Breaker) Panel, Outlets, Switches, Receptacles, Light Fixtures, Cable, Wire..Rating: 4.6 out of 54946 reviews2 total hours29 lecturesBeginnerCurrent price: $64.99",https://www.udemy.com/course/learn-the-basics-of-household-wiring/,Terry Peterman,4.6,"4,946",$64.99,,2 total hours,29 lectures,Beginner
"Basic Home Electrical Wiring by Example and On the JobThe Basic Fundamentals of Home Electrical Wiring, with Wiring Diagrams and Detailed Examples.Rating: 4.5 out of 5896 reviews5 total hours18 lecturesBeginnerCurrent price: $54.99",https://www.udemy.com/course/basic-home-electrical-wiring/,Dave Rongey,4.5,896,$54.99,,5 total hours,18 lectures,Beginner
"The Basics of Household Wiring. The Electrical System A to ZEverything Electricity, from your Circuit (Breaker) Panel, Outlets, Switches, Receptacles, Light Fixtures, Cable, Wire..Rating: 4.6 out of 54947 reviews2 total hours29 lecturesBeginnerCurrent price: $64.99",https://www.udemy.com/course/learn-the-basics-of-household-wiring/,Terry Peterman,4.6,"4,947",$64.99,,2 total hours,29 lectures,Beginner
"Single and 3-Phase electrical circuit basics A to ZAC / DC Explained,  Single / Three-Phase motor circuits, Test Equipment, House Wiring, Ohm's law and fault finding.Rating: 4.6 out of 51490 reviews4.5 total hours108 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/single-and-three-phase-electrical-circuit-basics/,Johanna Christina Hälbich,4.6,"1,490",$59.99,,4.5 total hours,108 lectures,All Levels
"Basic Home Electrical Wiring by Example and On the JobThe Basic Fundamentals of Home Electrical Wiring, with Wiring Diagrams and Detailed Examples.Rating: 4.4 out of 5897 reviews5 total hours18 lecturesBeginnerCurrent price: $54.99",https://www.udemy.com/course/basic-home-electrical-wiring/,Dave Rongey,4.4,897,$54.99,,5 total hours,18 lectures,Beginner
"Learn the Essential Basics in Electrical WiringLearn How to Wire Power Sockets, Light Bulb to Switches also How to Read Electrical Plans (House Wiring)Rating: 4.2 out of 5699 reviews3.5 total hours50 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/learn-electrical-wiring-for-houses-and-buildings-415-v-220v/,Waleed Mokdad,4.2,699,$59.99,,3.5 total hours,50 lectures,All Levels
"Electricity for Electronics, Electrical Engineering A-Z 2025Fundamentals of Electricity & Electric Circuits for Electronics - Circuit Design - Electrical EngineeringRating: 4.3 out of 5436 reviews15 total hours128 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/electriccircuits/,"Kashif A., Abdullah A.",4.3,436,$59.99,,15 total hours,128 lectures,All Levels
The Beginner's Guide to Testing Electrical CircuitsLearn electrical circuit and test instrument basics and how to use them in any testing or troubleshooting task.Rating: 4.5 out of 5327 reviews3 total hours32 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/the-beginners-guide-to-testing-electrical-circuits/,Mitch Hegman,4.5,327,$19.99,,3 total hours,32 lectures,Beginner
Electricity Trading in Great BritainElectricity TradingRating: 4.2 out of 5244 reviews1.5 total hours18 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/electricity-trading-in-great-britain/,Sean Cleary,4.2,244,$19.99,,1.5 total hours,18 lectures,Intermediate
"Basic Electrical EngineeringDC, AC, Magnetic Circuits, Transformers, Motors, Power Electronic converters, wires, cables, relaysRating: 3.9 out of 5244 reviews12.5 total hours61 lecturesBeginnerCurrent price: $39.99",https://www.udemy.com/course/basic-electrical-engineering-part-1/,"Atharva Jadhav, Dr. H. T. Jadhav",3.9,244,$39.99,,12.5 total hours,61 lectures,Beginner
