title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Emotional Intelligence: Tools for Career and ConfidencePractical Emotional Intelligence skills to boost career, confidence, and relationshipsRating: 4.8 out of 538 reviews3.5 total hours49 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/emotional-intelligence-ei/,CRFT Productions,4.8,38,$19.99,,3.5 total hours,49 lectures,All Levels
Overcome Difficult People - Assertiveness with Games PlayersRegain control over Difficult People - a practical approach to using assertiveness when dealing with Games PlayersRating: 4.7 out of 51219 reviews2.5 total hours45 lecturesAll LevelsCurrent price: $89.99,https://www.udemy.com/course/difficult-people/,Chris Croft,4.7,"1,219",$89.99,,2.5 total hours,45 lectures,All Levels
Collaboration with Emotional IntelligenceCollaborating with Emotional Intelligence: Enhancing Team Dynamics | Building Relationships | Collaboration for SuccessRating: 4.5 out of 531529 reviews3.5 total hours64 lecturesIntermediateCurrent price: $64.99,https://www.udemy.com/course/collaboration-and-emotional-intelligence/,Robin Hills,4.5,"31,529",$64.99,,3.5 total hours,64 lectures,Intermediate
Build Authentic Relationships using Emotional IntelligenceEnhancing Communication with Emotional Intelligence | Developing Authentic Relationships | Driving Professional GrowthRating: 4.5 out of 51690 reviews3.5 total hours74 lecturesIntermediateCurrent price: $54.99,https://www.udemy.com/course/interpersonal-relationships/,Robin Hills,4.5,"1,690",$54.99,,3.5 total hours,74 lectures,Intermediate
Develop your Self Awareness with Emotional IntelligenceUnlock your Potential: Enhance Self-Awareness and Personal Growth with Emotional Intelligence | Growing Personal SuccessRating: 4.5 out of 55293 reviews3 total hours62 lecturesIntermediateCurrent price: $59.99,https://www.udemy.com/course/making-sense-of-who-you-are-in-the-world/,Robin Hills,4.5,"5,293",$59.99,,3 total hours,62 lectures,Intermediate
"Emotional Intelligence Training: EI in the WorkplaceEmotional Intelligence Training. Emotional Intelligence in the Workplace. Emotional Intelligence Course, Ability EIRating: 4.4 out of 55042 reviews1.5 total hours28 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/emotionalintelligenceworkplace/,Ermin Dedic,4.4,"5,042",$54.99,,1.5 total hours,28 lectures,All Levels
"Emotional Intelligence for Customer CommunicationPractical communication skills to manage emotions, handle difficult customers, and build strong customer relationshipsRating: 4.6 out of 536 reviews1.5 total hours27 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/emotional-intelligence-in-customer-service-e/,Bich Hoang,4.6,36,$19.99,,1.5 total hours,27 lectures,All Levels
Emotional Intelligence (EQ) for LeadersBecoming an Emotionally Intelligent Leader. Master EQ for Effective Leadership.Rating: 3.9 out of 59 reviews2 total hours8 lecturesBeginnerCurrent price: $29.99,https://www.udemy.com/course/emotional-intelligence-eq-for-leaders/,Anna Kosinska,3.9,9,$29.99,,2 total hours,8 lectures,Beginner
Relational Mastery: Elite Skills for Inclusive LeadersUnlock the Power of Meaningful Connections in Personal / Professional Life: Proven Strategies and Emotional IntelligenceRating: 4.3 out of 53 reviews9 total hours102 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/relationship-mastery-business-and-personal-success-2024/,Ron Betta,4.3,3,$19.99,,9 total hours,102 lectures,All Levels
Constructive Debates and Difficult Conversations at WorkHow to Communicate Effectively Through Disagreement and Improve Decision-MakingRating: 4.7 out of 54 reviews5.5 total hours101 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/constructive-debates-and-difficult-conversations-at-work/,"Julie Blint, Persefone Coaching",4.7,4,$19.99,,5.5 total hours,101 lectures,All Levels
Emotional Intelligence Training Academy ®How to Become the Best Version Of Yourself & Produce Any Result In Any Aspect Of YOUR LifeRating: 4.4 out of 516 reviews4.5 total hours23 lecturesBeginnerCurrent price: $39.99,https://www.udemy.com/course/emotional-intelligence-training-academy/,Manos Ischakis,4.4,16,$39.99,,4.5 total hours,23 lectures,Beginner
Emotional Intelligence in LeadershipMaster the Art of Leading and Adapting to various situationsRating: 4.6 out of 5286 reviews1.5 total hours32 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/emotional-intelligence-in-leadership-y/,"Baba Oyewole, Helen Hicks",4.6,286,$19.99,,1.5 total hours,32 lectures,All Levels
