title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Healing Mastery - The Embodied Healing CourseBecome the Healing. Embody the Healing. Be the Healer. Healing is NEVER found in techniques. YOU are the techniqueRating: 4.7 out of 5218 reviews12 total hours33 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/healing-mastery-the-ultimate-healing-course/,Adrian Pengelly,4.7,218,$54.99,,12 total hours,33 lectures,All Levels
"The Art of Energy HealingChannel Life-Changing Healing for Yourself, Your Friends, and Paying ClientsRating: 4.8 out of 54185 reviews3.5 total hours49 lecturesIntermediateCurrent price: $99.99",https://www.udemy.com/course/the-art-of-energy-healing/,James Seriph,4.8,"4,185",$99.99,,3.5 total hours,49 lectures,Intermediate
"Reiki Level I, II + Master Certificate Course Energy HealingUsui Reiki 1, 2 Master Certification Course - Heal Yourself, Family, Friends, Clients and Pets with Reiki Energy HealingRating: 4.8 out of 532322 reviews4 total hours103 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/reiki-master-certification-energy-healing/,Melissa Crowhurst,4.8,"32,322",$69.99,,4 total hours,103 lectures,All Levels
"Reiki Space Clearing Certification Course - Energy HealingRid Negative Energy In Homes, Rooms, Workplaces & More! Use Reiki Energy Healing To Clear Your Own Spaces Or Others!Rating: 4.7 out of 51531 reviews2 total hours48 lecturesBeginnerCurrent price: $59.99",https://www.udemy.com/course/reiki-space-clearing/,Melissa Crowhurst,4.7,"1,531",$59.99,,2 total hours,48 lectures,Beginner
"Your 7 Chakras : The Complete Guide to Your Energy BodyUnderstand Your Chakras, Your Energy Body, and Heal the Areas of your life that need it!Rating: 4.6 out of 57979 reviews6.5 total hours109 lecturesAll LevelsCurrent price: $149.99",https://www.udemy.com/course/the-chakra-system-master-class/,James Seriph,4.6,"7,979",$149.99,,6.5 total hours,109 lectures,All Levels
Meridian Energy Practitioner CourseEnergy - Meridians - Self Healing - Maintenance - Food & Decision TestingRating: 4.6 out of 5362 reviews4.5 total hours14 lecturesBeginnerCurrent price: $59.99,https://www.udemy.com/course/meridian-energy-practitioner-course/,Laurie Fulford,4.6,362,$59.99,,4.5 total hours,14 lectures,Beginner
"Ayahuasca Meditation &  Andean Stellar CodesIntensive with international certificate, Activation at 432hz, Private groupRating: 4.4 out of 5304 reviews2 total hours19 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/shamanic-ayahuasca-healing/,Karen Prieto. International School Alien Meditation,4.4,304,$19.99,,2 total hours,19 lectures,All Levels
"Tibetan Shamanic 5 Elements Healing Teacher TrainingSacred Alchemy: The Five Elements in Tibetan Wisdom - Healing with Form, Energy and LightRating: 4.2 out of 514 reviews18 total hours37 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/tibetan-shamanic-5-elements-healing-teacher-training/,Dr. Himani Sharma,4.2,14,$19.99,,18 total hours,37 lectures,All Levels
"Master Shamanism Through Journeying, Ritual And CeremonyLearn how to confidently lead and share guided ceremonial shamanism practices creating spiritual healing and awakeningRating: 4.5 out of 5634 reviews5 total hours49 lecturesIntermediateCurrent price: $74.99",https://www.udemy.com/course/master-advanced-shamanic-journeying-ceremony-and-ritual/,Sharon Ramel,4.5,634,$74.99,,5 total hours,49 lectures,Intermediate
Find your primary animal spirit guideIntroduction to shamanic healing and Find your animal guide to get to know youRating: 4.6 out of 534 reviews1.5 total hours5 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/find-your-primary-animal-spirit-guide/,Nithya Chellam,4.6,34,$19.99,,1.5 total hours,5 lectures,Beginner
