title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
English Literature: Be as Informed as a Literature GraduateThe development of English Literature from its earliest texts to the present dayRating: 4.6 out of 51635 reviews14 total hours75 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/english-literature-be-as-informed-as-a-literature-graduate/,Eve Williams MMus,4.6,"1,635",$69.99,,14 total hours,75 lectures,All Levels
World Literature: Your Guide to Becoming Very Well ReadClassic and Influential Literature from Around the World: Engage with the History of LiteratureRating: 4.3 out of 5277 reviews20 total hours71 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/world-literature-your-guide-to-becoming-very-well-read/,Eve Williams MMus,4.3,277,$69.99,,20 total hours,71 lectures,All Levels
NET ENGLISH COMPLETE COURSEComplete Guide to English LiteratureRating: 4.7 out of 5834 reviews309 total hours467 lecturesAll LevelsCurrent price: $199.99,https://www.udemy.com/course/net-english-complete-course/,Kalyani Vallath,4.7,834,$199.99,,309 total hours,467 lectures,All Levels
An Introduction to British and American LiteraturePrepare for any literature course or standardized test with confidence!Rating: 4.5 out of 5220 reviews11 total hours81 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/an-introduction-to-british-and-american-literature/,Steven Reeder,4.5,220,$54.99,,11 total hours,81 lectures,All Levels
Literary Theory: English LiteratureEnglish  Literary Criticism and AnalysisRating: 4.6 out of 5192 reviews12.5 total hours39 lecturesBeginnerCurrent price: $54.99,https://www.udemy.com/course/literary-theory-for-beginners/,Dr. Masood Raja,4.6,192,$54.99,,12.5 total hours,39 lectures,Beginner
"Learn How To Read Literature: Elements of FictionGet better grades, save time and money, and increase complex cognitive brain function  with critical reading skills.Rating: 4.4 out of 5138 reviews2 total hours27 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/critical-reading-for-college-success-elements-of-fiction/,Tricia Foster,4.4,138,$39.99,,2 total hours,27 lectures,All Levels
"English Literature: Understanding ShakespeareGet to Grips with the Language, Themes and Influence of One of Literature's Greatest WritersRating: 4.7 out of 599 reviews19 total hours58 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/understanding-shakespeare/,Eve Williams MMus,4.7,99,$49.99,,19 total hours,58 lectures,All Levels
"American Literature: The Gothic and Edgar Allan PoeA course on English and American literature: the Gothic, the fantastic and the horror in the short stories of E. A. Poe.Rating: 4.5 out of 580 reviews2.5 total hours12 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/the-gothic-and-edgar-allan-poe/,Bokos Borbala,4.5,80,$59.99,,2.5 total hours,12 lectures,All Levels
Postcolonialism: English LiteratureIntroduction to Postcolonial Literature and TheoryRating: 4.5 out of 572 reviews6 total hours32 lecturesBeginnerCurrent price: $39.99,https://www.udemy.com/course/postcolonialism/,Dr. Masood Raja,4.5,72,$39.99,,6 total hours,32 lectures,Beginner
Children's Literature: A Course for AdultsHow Children's Books Made Our Childhoods MagicalRating: 4.4 out of 563 reviews9 total hours71 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/childrens-literature/,Eve Williams MMus,4.4,63,$39.99,,9 total hours,71 lectures,All Levels
Postmodernism: English LiteraturePostmodern Literature and TheoryRating: 4.4 out of 550 reviews2.5 total hours19 lecturesIntermediateCurrent price: $34.99,https://www.udemy.com/course/postmodernism/,Dr. Masood Raja,4.4,50,$34.99,,2.5 total hours,19 lectures,Intermediate
"Online Literature Writing: From Start to FinishLearn how to become a serial online novel author, from starting a story to publishing it on the web.Rating: 4.3 out of 549 reviews2.5 total hours30 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/online-literature-writing-from-start-to-finish/,eGlobal Creative,4.3,49,$19.99,,2.5 total hours,30 lectures,Beginner
Everything Shakespeare: The BasicsA basic guide on everything you need to know about Shakespeare with supplementary resourcesRating: 4.3 out of 542 reviews1 total hour11 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/everything-shakespeare-the-basics/,William Stine,4.3,42,$19.99,,1 total hour,11 lectures,All Levels
English Literature: Discovering Jane AustenUnderstanding Jane Austen's Work & Her Lasting InfluenceRating: 4.6 out of 541 reviews7 total hours26 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/english-literature-discovering-jane-austen/,Eve Williams MMus,4.6,41,$49.99,,7 total hours,26 lectures,All Levels
How to Analyse Prose Literature: Short CourseIdentifying and analysing the basic principles of (prose) literature so you can analyse novels effectively.Rating: 4.5 out of 531 reviews1 total hour9 lecturesAll LevelsCurrent price: $29.99,https://www.udemy.com/course/how-to-analyse-prose-literature-short-course/,Nina Modak,4.5,31,$29.99,,1 total hour,9 lectures,All Levels
Learn English with 20th Century LiteratureLearn grammar and vocabulary using English stories: a course for EFL studentsRating: 4.8 out of 530 reviews13.5 total hours45 lecturesExpertCurrent price: $19.99,https://www.udemy.com/course/learn-english-with-literature/,Dave Skypelessons,4.8,30,$19.99,,13.5 total hours,45 lectures,Expert
"Frankenstein and Gothic LiteratureTake a journey through Mary Shelley's writing career, the fascinating creation of ""Frankenstein"" and Gothic literature!Rating: 4.7 out of 529 reviews4 total hours12 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/frankenstein-and-gothic-literature/,Dr. Fernanda Korovsky Moura,4.7,29,$19.99,,4 total hours,12 lectures,All Levels
Ireland's Fairies and Vampiresfrom Count Dracula to the Irish BansheeRating: 4.2 out of 529 reviews2 total hours15 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/irelands-fairies-and-vampires/,Bernie McCarthy,4.2,29,$19.99,,2 total hours,15 lectures,All Levels
"Appreciating English LiteratureLearning about great works of prose, poetry and dramaRating: 4.4 out of 523 reviews1.5 total hours7 lecturesIntermediateCurrent price: $19.99",https://www.udemy.com/course/appreciating-english-literature/,Paul Rogers,4.4,23,$19.99,,1.5 total hours,7 lectures,Intermediate
