title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
GRIEF & BEREAVEMENT COUNSELLING (Fully Accredited)Accredited training in counselling for grief and bereavement. CERTIFIED COURSERating: 4.7 out of 51493 reviews2.5 total hours24 lecturesBeginnerCurrent price: $69.99,https://www.udemy.com/course/grief-counselling/,"Elmira Strange, PhD",4.7,"1,493",$69.99,,2.5 total hours,24 lectures,All Levels
"Oxford Diploma: Death, Grief, Healing in Depth : ACCREDITED21 courses on Death, Grief, Bereavement and Healing - including Grief Counselling (Two Instructors) and Grief Life CoachRating: 4.6 out of 5505 reviews81.5 total hours746 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/deathcourse/,"Chris Sivewright, Almost Random Theatre, Oxford School of Learning, Brittiny Beil",4.6,505,$54.99,,81.5 total hours,746 lectures,All Levels
Professional Counselling Grief & Bereavement Diploma CourseFully Accredited Counseling Diploma Course to help your clients or yourself though the many stages of GriefRating: 4.4 out of 5676 reviews0.5 total hours9 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/professional-counselling-grief-bereavement-course/,Dr Karen E Wells,4.4,676,$49.99,,0.5 total hours,9 lectures,All Levels
Grief and Bereavement Counseling CertificateCrash CourseRating: 4.6 out of 5272 reviews2 total hours32 lecturesBeginnerCurrent price: $49.99,https://www.udemy.com/course/grief-and-bereavement-counseling-certificate/,Ahilan Chandran,4.6,272,$49.99,,2 total hours,32 lectures,Beginner
Grief Life Coach CertificationGrief healing strategies and communication skills for supporting clients or loved ones through grief and loss.Rating: 4.7 out of 5261 reviews5 total hours54 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/grief-life-coach-certification/,"Joeel & Natalie of Transformation Services, Jan Davidson, Transformation Services",4.7,261,$44.99,,5 total hours,54 lectures,All Levels
Accredited Death Doula CourseDeath Doula; Soul Midwife; Support for the Dying and their familiesRating: 4.5 out of 5259 reviews4 total hours8 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/accredited-death-doula-course/,Holistic Healing Academy,4.5,259,$19.99,,4 total hours,8 lectures,All Levels
Grief Coaching & CertificationDiscover How to Enjoy Life After a Loss and How to Help OthersRating: 4.5 out of 5184 reviews5 total hours40 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/overcoming-grief/,"Dr. Marita Kinney, BCC, Msc.D",4.5,184,$19.99,,5 total hours,40 lectures,All Levels
"Transform Your Healing Journey: Grief to Growth EssentialsA Self-Guided Journey to Turn Loss into Strength, Healing, and Personal GrowthRating: 4.8 out of 586 reviews1 total hour72 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/grief-to-growth-self-guided-course/,Terri Chaplin,4.8,86,$19.99,,1 total hour,72 lectures,All Levels
"Estranged Parent Healing| Psychology Practitioner ACCREDITEDHeal your pain, remove shame, understand trauma, the rules of estrangement, cultural social psychology and self-Love!Rating: 4.8 out of 574 reviews4.5 total hours27 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/estranged-parent-healing-social-psychology-practitioner/,"Sufani Garza, Place of Bliss Academy",4.8,74,$19.99,,4.5 total hours,27 lectures,All Levels
Diaspora Death Doulas e-CourseA comprehensive e-course for the aspiring Diaspora Death DoulaRating: 4.5 out of 571 reviews1.5 total hours14 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/diaspora-death-doulas-e-course/,Linnet “Awo” Harris,4.5,71,$19.99,,1.5 total hours,14 lectures,Intermediate
