title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Career Hacking: The Ultimate Job Search Course (Now w/ AI!)Boost your resume, LinkedIn, cover letter, interviewing & networking skills. Now with AI prompts for ChatGPT & Claude!Rating: 4.7 out of 59905 reviews6.5 total hours130 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/golden-gate-bridge/,"Davis Jones, Eazl.ai Courseware, Ludell Jones",4.7,"9,905",$69.99,,6.5 total hours,130 lectures,All Levels
P.O.W.E.R Resume System: Proven system to get job interviewsWrite Resumes That Work — Get Interviews in 6 Seconds or Less Using the Proven P.O.W.E.R MethodRating: 4.1 out of 5891 reviews1.5 total hours20 lecturesAll LevelsCurrent price: $22.99,https://www.udemy.com/course/power-resume-and-cv-writing-that-lands-job-interviews/,"Susmita Dutta, Ash Akshay Goel",4.1,891,$22.99,,1.5 total hours,20 lectures,All Levels
"Spring & Spring Boot Interview GuideSpring & Spring Boot Interview Guide with 200+ Questions & Answers. With REST API, JPA, Hibernate and Spring Data JPA.Rating: 4.5 out of 56791 reviews6 total hours78 lecturesAll LevelsCurrent price: $109.99",https://www.udemy.com/course/spring-interview-questions-and-answers/,in28Minutes Official,4.5,"6,791",$109.99,,6 total hours,78 lectures,All Levels
Recruitment Tools for Difficult TimesThe needed Virtual Interviewing Skills for Pandemic Context or VUCA worldRating: 4.5 out of 5520 reviews43 total mins11 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/recruitment-for-dummies/,Julian Vlach Ionitza,4.5,520,$19.99,,,11 lectures,Intermediate
"Master the Project Management Interview for Your Dream JobGet ready with expert answers, real scenarios, and storytelling tips that land high-paying roles.Rating: 4.4 out of 5114 reviews1 total hour10 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/master-the-project-management-interview/,"Justin Bateh, PhD, Projects Right",4.4,114,$19.99,,1 total hour,10 lectures,All Levels
SOC Analyst (Cybersecurity) Interview Questions and AnswersClear your next SOC interview with ease with these 400+ interview question asked during most SOC Analyst InterviewRating: 4.0 out of 51643 reviews3 total hours19 lecturesBeginnerCurrent price: $74.99,https://www.udemy.com/course/security-soc-analyst-interview-questions-and-answers/,Anand Guru,4.0,"1,643",$74.99,,3 total hours,19 lectures,Beginner
Write The Ultimate Resume or CV! LinkedIn > ATS > InterviewGet The Job! Master writing resumes/CVs/cover letters and pass ATS and Wow recruiters through targeting via LinkedIn.Rating: 4.8 out of 558 reviews5.5 total hours54 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/the-ultimate-resume-or-cv-writing-course-from-linkedin-ats-interview/,"Michael James (PSM I, PSM II, PSM III, PSPO 1, PSPO II, SPS certified)",4.8,58,$19.99,,5.5 total hours,54 lectures,All Levels
"Job Search Mastery, Interviewing, Resume, LinkedIn, TestingInterview Success (Instructor Demo Questions), Screening Tests, Build LinkedIn, Profile, Resume, CV, Job Search & MoreRating: 4.7 out of 5257 reviews12.5 total hours170 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/job-search-interviewing-resume-linkedin-cv-testing-master/,"Steve Ballinger, MBA",4.7,257,$64.99,,12.5 total hours,170 lectures,All Levels
Top 1% Resume and CV Writing│Winning Job Search Resume & CVWrite a wining Resume & CV. Learn from a HR Specialist and Founder of TopResumess. Free templates and examples included.Rating: 4.8 out of 515 reviews7 total hours78 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/top-1-resume-and-cv-writingcreate-a-winning-resume-and-cv/,Eshaan Rao,4.8,15,$19.99,,7 total hours,78 lectures,All Levels
"Land Your Dream Job: English Skills for Career SuccessAdvance Your English for Career Development: Write Strong CVs, Succeed in Interviews & Confidently Communicate at WorkRating: 4.8 out of 554 reviews2 total hours14 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/land-your-dream-job-english-skills-for-cvs-interviews/,Natalie Marchant,4.8,54,$19.99,,2 total hours,14 lectures,All Levels
"Recruitment Interviewing Essentials: Interviewing Made EasyStart hiring confidently, interview skilfully & make recruitment decisions professionally. Avoid costly hiring mistakes.Rating: 4.5 out of 57493 reviews3 total hours46 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/recruitment-and-selection-interviewing/,Richard Lock,4.5,"7,493",$64.99,,3 total hours,46 lectures,All Levels
"Media Training: Be Confident and Memorable in MediaLearn From an Award-Winning Journalist to Master Media Interviews and Appearances on TV, Radio, Podcasts, and more!Rating: 4.6 out of 5102 reviews1.5 total hours17 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/media-interview-skills/,"Expert Academy, Lahcen Bouya",4.6,102,$19.99,,1.5 total hours,17 lectures,All Levels
Freelancing Mastery: 15-Steps on Upwork from Top 1% TalentMaster Upwork freelancing with a step-by-step guide. Learn how to standout on Upwork and build long term Success!Rating: 5.0 out of 51 review3 total hours17 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/freelancing-mastery-15-step-upwork-guide-to-life-success/,Gaurav Sharma,5.0,1,$19.99,,3 total hours,17 lectures,All Levels
Virtual Interviewing: Fundamentals for HR & Workplace..Learn the essentials of virtual interviewing for HR including techniques tools and strategies for effective hiring!!Rating: 4.8 out of 518 reviews4 total hours14 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/virtual-interviewing-fundamentals-for-hr-workplace/,Mana Dowlatshahi Yeganeh,4.8,18,$19.99,,4 total hours,14 lectures,All Levels
"INTERVIEW TRAINING: Ask Better Questions, Hire Better PeopleIf you want to improve your hiring accuracy or transform the way your company interviews talent, this course is for you.Rating: 4.5 out of 518077 reviews1.5 total hours19 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/advanced-interviewer-training/,James Colino,4.5,"18,077",$69.99,,1.5 total hours,19 lectures,All Levels
"Career Hacking: The Ultimate Job Search Course (Now w/ AI!)Boost your resume, LinkedIn, cover letter, interviewing &amp; networking skills. Now with AI prompts for ChatGPT &amp; Claude!Rating: 4.7 out of 59905 reviews6.5 total hours130 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/golden-gate-bridge/,"Davis Jones, Eazl.ai Courseware, Ludell Jones",4.7,"9,905",$69.99,,6.5 total hours,130 lectures,All Levels
"Spring & Spring Boot Interview GuideSpring & Spring Boot Interview Guide with 200+ Questions & Answers. With REST API, JPA, Hibernate and Spring Data JPA.Rating: 4.5 out of 56792 reviews6 total hours78 lecturesAll LevelsCurrent price: $109.99",https://www.udemy.com/course/spring-interview-questions-and-answers/,in28Minutes Official,4.5,"6,792",$109.99,,6 total hours,78 lectures,All Levels
Interview Questions: Interview Like a Professional HRMA Quick Guide for Owners and Managers of Small BusinessesRating: 4.4 out of 55374 reviews1 total hour12 lecturesBeginnerCurrent price: $39.99,https://www.udemy.com/course/interview-questions-job-applicant/,Eric Alagan,4.4,"5,374",$39.99,,1 total hour,12 lectures,Beginner
Data Science Career Guide - Interview PreparationPrepare for your Data Science Interview with this full guide on a career in Data Science including practice questions!Rating: 4.6 out of 52721 reviews4 total hours110 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/data-science-career-guide-interview-preparation/,"Jose Portilla, Pierian Training",4.6,"2,721",$69.99,,4 total hours,110 lectures,All Levels
The Complete Job Interviewing Skills Masterclass CourseInterviewing Skills To Land Your Next Job - Never Be Nervous Again - Ace Your Interview - Prepare for Any QuestionRating: 4.3 out of 52619 reviews27.5 total hours711 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/the-complete-job-interviewing-skills-masterclass-course/,"TJ Walker, Media Training Worldwide Digital",4.3,"2,619",$64.99,,27.5 total hours,711 lectures,All Levels
