title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Professional Life Coach Certification & Guide (Accredited)Become a certified life coach & grow your life coaching business! Done-for-you forms, tools, processes & best practicesRating: 4.6 out of 525445 reviews13 total hours116 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/life-coaching-a-complete-guide/,"Joeel & Natalie of Transformation Services, Transformation Services",4.6,"25,445",$69.99,,13 total hours,116 lectures,All Levels
Life Purpose Life Coach Certification (Accredited)Become a Certified Life Purpose Coach! Learn powerful tools & strategies to help clients find their purpose & passion.Rating: 4.7 out of 510046 reviews7.5 total hours62 lecturesAll LevelsCurrent price: $94.99,https://www.udemy.com/course/life-purpose-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",4.7,"10,046",$94.99,,7.5 total hours,62 lectures,All Levels
Life Purpose Life Coach Certification (Accredited)Become a Certified Life Purpose Coach! Learn powerful tools & strategies to help clients find their purpose & passion.Rating: 4.7 out of 510047 reviews6.5 total hours62 lecturesAll LevelsCurrent price: $94.99,https://www.udemy.com/course/life-purpose-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",4.7,"10,047",$94.99,,6.5 total hours,62 lectures,All Levels
"Life Skills: Find Meaning, Purpose, Success & HappinessThe Meaning of Life. Call it Personal Growth, Personal Development, Transformation. It's You in Charge of Designing You.Rating: 4.7 out of 55747 reviews2.5 total hours40 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/finding-purpose-happiness-success-life-fundamentals-3/,"Robert Brown, Ph.D.",4.7,"5,747",$44.99,,2.5 total hours,40 lectures,All Levels
"Discover Your Life PurposeFind your passion, love your career, reach your potential and live a life of meaning, purpose, and fulfillmentRating: 4.4 out of 53477 reviews3 total hours26 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/life-coaching-to-discover-your-purpose/,"Joeel & Natalie of Transformation Services, Transformation Services",4.4,"3,477",$54.99,,3 total hours,26 lectures,All Levels
"Creating a Meaningful Life & Developing Habits of HappinessLearn to design the life of your dreams with intensive, hands-on, & transformational exercises used by top life coaches.Rating: 4.5 out of 51911 reviews3 total hours37 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/creating-a-meaningful-life/,"Jonathan Levi, Linda Levine, M.Ed, SuperHuman Academy®",4.5,"1,911",$54.99,,3 total hours,37 lectures,All Levels
"Life Purpose Quest Workshop Facilitator CertificationLife Purpose Workshop Blueprint: Help Others Find Their Passion, Rewrite Their Story & Fulfill Their Life PurposeRating: 4.7 out of 5538 reviews5 total hours44 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/life-purpose-workshop-facilitator-certification-accredited/,"Joeel & Natalie of Transformation Services, Transformation Services",4.7,538,$74.99,,5 total hours,44 lectures,All Levels
How to Give Career Readings and Life Purpose ReadingsSpiritual Guidance for Careers & Life Purpose - Intermediate Level Course for Tarot and Oracle CardsRating: 4.8 out of 5451 reviews9.5 total hours55 lecturesIntermediateCurrent price: $74.99,https://www.udemy.com/course/career-readings/,Sal Jade,4.8,451,$74.99,,9.5 total hours,55 lectures,Intermediate
Life Purpose Coach Practitioner (ACCREDITED)Help others to open their Life Purpose & discover your Life Purpose in this FULLY ACCREDITED Coach Practitioner CourseRating: 4.8 out of 5331 reviews5 total hours52 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/life-purpose-coach-practitioner-accredited/,"Graham Nicholls, The Priority Academy Ltd",4.8,331,$69.99,,5 total hours,52 lectures,All Levels
Find Your Life Purpose and Maximize Your Impact10 Guidelines from History's Most Radically Successful People To Find Your Life Purpose & Make An ImpactRating: 4.2 out of 5251 reviews1 total hour27 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/find-your-life-purpose/,"Brandon Hakim, Insider School",4.2,251,$19.99,,1 total hour,27 lectures,All Levels
"Applied Kinesiology for Successful Marriages, Joy & Wealth!Discover the Secret Access Key to the Wisdom of the Body and Subconscious Mind: Applied Kinesiology for Better ChoicesRating: 4.6 out of 5228 reviews1 total hour25 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/muscle-testing-applied-kinesiology/,"Scott Paton, Scott Alex",4.6,228,$19.99,,1 total hour,25 lectures,All Levels
Life Purpose Life Coach Training WEC CertificationLife Purpose Life Coach Training Graduates Ready-To-Work Women Empowerment Life Coaching Professionals in Life PurposeRating: 4.5 out of 5213 reviews11 total hours113 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/women-empowerment-2-life-purpose-life-coaching-certification/,"Holistic Coach Academy, Louise Anne Maurice Leadership Mentor",4.5,213,$64.99,,11 total hours,113 lectures,All Levels
"Dissolving fear of death- death doulaSupport ourselves and others as we approach death - how to travel the path with fearlessness, grace and joy.Rating: 4.5 out of 5201 reviews3 total hours20 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/fearless-death-the-journey-home/,Fiona Whitmore,4.5,201,$19.99,,3 total hours,20 lectures,All Levels
The Complete Life Purpose Course - Personal Success for YouYour Life Purpose Can be Found  Techniques for Personal Success Life Coaching and MeditationRating: 4.4 out of 5194 reviews13.5 total hours210 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/the-complete-life-purpose-course-personal-success-for-you/,"TJ Walker, Media Training Worldwide Digital",4.4,194,$19.99,,13.5 total hours,210 lectures,All Levels
"Purpose Search ""The Future is what you do Today""The 4 Keys to unlocking and unleashing your PurposeRating: 4.3 out of 5142 reviews0.5 total hours10 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/purposesearch/,Rob Howze,4.3,142,$19.99,,0.5 total hours,10 lectures,All Levels
"PURPOSE ...  how to find your ""why""understanding who you really are so that decisions are effortless, and life gets easy.Rating: 4.6 out of 5140 reviews1 total hour11 lecturesIntermediateCurrent price: $19.99",https://www.udemy.com/course/purpose-you-but-better-and-how-to-find-your-why/,DAVID HYNER.  psae fpsa flpi fism alam abnlp,4.6,140,$19.99,,1 total hour,11 lectures,Intermediate
Finding the True YouRekindle Your Passion for LifeRating: 4.5 out of 5139 reviews0.5 total hours10 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/finding-the-true-you/,Ken Hensley,4.5,139,$19.99,,0.5 total hours,10 lectures,All Levels
