title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
The Power of Deep Listening (Using Active Listening Skills)Relationship Skills | Empathy Training | Influencing Skills | Build Trust | Communication Skills | How to ListenRating: 4.6 out of 57532 reviews4 total hours46 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/the-power-of-deep-listening/,"Roger Kay Allen, Ph.D.",4.6,"7,532",$74.99,,4 total hours,46 lectures,All Levels
"New Manager: The Basics and More of Being a Great LeaderGo from a slightly uncertain, confused newbie to a confident, skilled manager who builds and leads effective teams.Rating: 4.6 out of 518301 reviews7.5 total hours157 lecturesBeginnerCurrent price: $69.99",https://www.udemy.com/course/new-manager/,Markus Amanto,4.6,"18,301",$69.99,,7.5 total hours,157 lectures,Beginner
"Active Listening: You Can Be a Great ListenerImprove your reactive habits, define your listening mindset, amplify your curiosity, & add value as a great listenerRating: 4.6 out of 555265 reviews2.5 total hours44 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/active-listening-you-can-be-a-great-listener/,Lauren Powers,4.6,"55,265",$69.99,,2.5 total hours,44 lectures,All Levels
Active Listening MasterclassStop Hearing; Start Listening. Transform Your Business Now.Rating: 4.5 out of 546161 reviews0.5 total hours14 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/active-listening/,Everett Bowes,4.5,"46,161",$49.99,,0.5 total hours,14 lectures,All Levels
Conscious ListeningTransform your confidence and communication by becoming somebody that people love speaking to.Rating: 4.6 out of 541752 reviews1.5 total hours14 lecturesAll LevelsCurrent price: $27.99,https://www.udemy.com/course/conscious-listening/,Julian Treasure,4.6,"41,752",$27.99,,1.5 total hours,14 lectures,All Levels
Active Listening With Empathy: Soft Skills To Take FeedbackActive listening skills with empathy and emotional intelligence. Give and take feedback at work and personal lifeRating: 4.6 out of 57798 reviews3 total hours54 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/active-listening-skills/,Alex Genadinik,4.6,"7,798",$19.99,,3 total hours,54 lectures,Beginner
The Power of Deep Listening (Using Active Listening Skills)Relationship Skills | Empathy Training | Influencing Skills | Build Trust | Communication Skills | How to ListenRating: 4.6 out of 57535 reviews4 total hours46 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/the-power-of-deep-listening/,"Roger Kay Allen, Ph.D.",4.6,"7,535",$74.99,,4 total hours,46 lectures,All Levels
Listening Skills - The Ultimate Workplace Soft SkillsIncrease your Listening Skills to Advance Your CareerRating: 4.5 out of 56770 reviews35.5 total hours668 lecturesAll LevelsCurrent price: $79.99,https://www.udemy.com/course/listening-skills-the-ultimate-workplace-soft-skills/,TJ Walker,4.5,"6,770",$79.99,,35.5 total hours,668 lectures,All Levels
"Active Listening - The Complete GuideImprove your listening skills, communication, listen to influence, leadership, evolution & professional careerRating: 4.6 out of 55635 reviews1.5 total hours34 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/active-listening-the-complete-guide/,Jamal Lazaar,4.6,"5,635",$44.99,,1.5 total hours,34 lectures,All Levels
"Listening Skills: #1 Soft Skills Success Factor in BusinessPractical Listening Skills that Win Relationships, Respect and Advance Careers in any IndustryRating: 4.5 out of 55264 reviews1 total hour5 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/magnify-your-reach-by-listening-well/,Jason Teteak,4.5,"5,264",$19.99,,1 total hour,5 lectures,All Levels
