title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Card Magic - The Complete Course for BeginnersLearn Professional Level Magic Tricks from a Working Magician. Everything you need to be performing in hours, not days!Rating: 4.7 out of 5824 reviews4 total hours50 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/card-magic-kickstart-card-magic-course/,Max H,4.7,824,$54.99,,4 total hours,50 lectures,All Levels
"Develop AI Agents, Apps & Automations [No-code  x ChatGPT]AI Automation Masterclass 2024: Create and Sell No-Code E-Commerce Bots, Automate Sales, and Accelerate Lead Generation.Rating: 4.5 out of 5172 reviews7 total hours104 lecturesAll LevelsCurrent price: $29.99",https://www.udemy.com/course/develop-ai-automations-course/,"Muhammad Afzal, Khadin Akbar, Khadin Akbar Support",4.5,172,$29.99,,7 total hours,104 lectures,All Levels
Learn Mindreading and Mentalism in 3 HoursMindreading and MentalismRating: 3.7 out of 5506 reviews3.5 total hours34 lecturesBeginnerCurrent price: $34.99,https://www.udemy.com/course/learn-mindreading-and-mentalism-in-3-days/,Arun The Mentalist,3.7,506,$34.99,,3 Hours,34 lectures,Beginner
How to Do Magic Tricks & Easy Card Tricks for BeginnersThe Complete Magic Course for Beginners. Learn How to do Magic Tricks & Easy Card Tricks. Go from 0 To Hero in 7 daysRating: 4.8 out of 5484 reviews2.5 total hours54 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/learn-easy-magic-tricks-card-tricks-compete-magic-course/,Matt McGurk,4.8,484,$64.99,,2.5 total hours,54 lectures,All Levels
Learn Professional Magic Tricks & Card Tricks in 7 DaysLearn the same type of magic tricks you've seen on TV!Rating: 4.5 out of 5442 reviews1.5 total hours41 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/magic-tricks/,Jeremy Nelson,4.5,442,$19.99,,1.5 total hours,41 lectures,All Levels
Elite Card TechniqueBeginners Card MagicRating: 4.7 out of 5299 reviews3 total hours43 lecturesBeginnerCurrent price: $54.99,https://www.udemy.com/course/elite-card-technique/,Kenny Molotov,4.7,299,$54.99,,3 total hours,43 lectures,Beginner
Become an instant magician with the best Simple Magic TricksMagicians most guarded secrets are tricks which are EASY to master & get BIG reactions. Become an instant magician now!Rating: 4.2 out of 5104 reviews7 total hours167 lecturesAll LevelsCurrent price: $24.99,https://www.udemy.com/course/learn-the-best-simple-magic-tricks-become-a-magician/,Selim Tolga,4.2,104,$24.99,,7 total hours,167 lectures,All Levels
"25 Best Mentalism, Mind Reading Tricks – Easy To Learn!Discover the Secrets of Mentalism and Mind Reading: Learn 25 Easy Tricks to Amaze Your Friends and Family!Rating: 4.5 out of 569 reviews3 total hours31 lecturesBeginnerCurrent price: $29.99",https://www.udemy.com/course/25-best-mentalism-mind-reading-tricks/,Mind Reading 101,4.5,69,$29.99,,3 total hours,31 lectures,Beginner
Magic Masterclass for Card Tricks and Magic TricksAn expert professional magician teaches you the basic magic principles for great magic tricks & impressive card tricksRating: 4.5 out of 567 reviews1.5 total hours37 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/magic-masterclass-for-card-tricks-and-magic-tricks/,Matthew Cope,4.5,67,$19.99,,1.5 total hours,37 lectures,Beginner
"Easy Card Tricks: 7 Steps to Card MentalismImpress anyone with a single deck of cards. No set up, no props or gimmicks. 7 easy tricks you can use anywhere... Rating: 4.4 out of 561 reviews1.5 total hours17 lecturesBeginnerCurrent price: $49.99",https://www.udemy.com/course/7-steps-to-card-mentalism/,John Vincent,4.4,61,$49.99,,1.5 total hours,17 lectures,Beginner
