title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Learn Mindfulness MeditationAttain calmness and experience mindfulness with guided practices by a Himalayan monkRating: 4.6 out of 5573 reviews3.5 total hours18 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/learn-mindfulness-meditation/,"Swami Vidyadhishananda Giri, Sarah Dunfee",4.6,573,$54.99,,3.5 total hours,18 lectures,All Levels
Himalayan Meditation CourseDiscover Rare Meditation Techniques used by Yogis in the Himalayas for Inner Peace and AwakeningRating: 4.9 out of 536 reviews5.5 total hours21 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/himalayan-meditation-course/,Rajinder Singh,4.9,36,$44.99,,5.5 total hours,21 lectures,All Levels
"Heartfulness Meditation- Evolution of Consciousness w/ DaajiGuided heartfulness meditation for beginners |Learn to meditate for happiness, improved well being and reducing stressRating: 4.7 out of 510502 reviews7 total hours21 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/the-evolution-of-consciousness-heartfulness-meditation/,"Kamlesh D. Patel, Heartfulness.org HFN",4.7,"10,502",$54.99,,7 total hours,21 lectures,All Levels
"Learn Meditation Basics Course w/Certificate to Guide OthersLearn Meditation For Stress Relief, Anxiety And More! Includes Guided Meditations And Accredited Meditation CertificateRating: 4.8 out of 56698 reviews2.5 total hours44 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/learn-to-meditate/,Melissa Crowhurst,4.8,"6,698",$69.99,,2.5 total hours,44 lectures,All Levels
Meditation Practitioner / Teacher Certification (ACCREDITED)A fully Accredited Meditation Practitioner / Teacher Certification course taking you from beginner to professional levelRating: 4.6 out of 55740 reviews7.5 total hours61 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/meditation-practitioner-teacher-certification-accredited/,"Graham Nicholls, The Priority Academy Ltd",4.6,"5,740",$74.99,,7.5 total hours,61 lectures,All Levels
Power of the Mind in Health and HealingA science-based course about using the power of your mind to heal your body and maximize your intuition.Rating: 4.6 out of 53471 reviews5 total hours78 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/power-of-the-mind-in-health-and-healing/,"Keith R. Holden, M.D.",4.6,"3,471",$59.99,,5 total hours,78 lectures,All Levels
MINDFULNESS MEDITATION with Jack KornfieldCore Practices For Living WiselyRating: 4.7 out of 52375 reviews4 total hours32 lecturesAll LevelsCurrent price: $24.99,https://www.udemy.com/course/mindfulness-meditation-jack-kornfield/,"Jack Kornfield, Ph.D.",4.7,"2,375",$24.99,,4 total hours,32 lectures,All Levels
"Complete meditation, mindfulness and mind training courseLearn the art of meditation and mastery of the mind. Bring inner peace, focus and mindfulness into your life.Rating: 4.7 out of 51605 reviews10 total hours62 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/meditation-course/,Michaël Bijker,4.7,"1,605",$74.99,,10 total hours,62 lectures,All Levels
"Practical Meditation - Master Meditation TodayPractical meditation is an easy way to use yoga meditation to conquer stress & anxiety. Live with serenity, peace & joyRating: 4.8 out of 51522 reviews5 total hours63 lecturesBeginnerCurrent price: $64.99",https://www.udemy.com/course/practicalmeditation/,Greg de Vries,4.8,"1,522",$64.99,,5 total hours,63 lectures,Beginner
"Taoist Meditation Course & Guided MeditationMaster Gu, Taoist Wellness Master from the Wudang Mountains, teaches Taoist meditationRating: 4.6 out of 51490 reviews1 total hour5 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/taoist-meditation-course-taoism-guided-meditation/,Master Gu,4.6,"1,490",$19.99,,1 total hour,5 lectures,All Levels
Meditation Teacher Training Certificate CourseYoga Alliance Continuing Education Approved CourseRating: 4.8 out of 51340 reviews3 total hours44 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/meditation-teacher-training-certificate-course-j/,Jessica Fleming,4.8,"1,340",$49.99,,3 total hours,44 lectures,All Levels
"Meditation for Beginners: How to Meditate Deeply & QuicklyMeditation Techniques to Relieve Stress, Anxiety & Improve Your Health in 5 Minutes per Day - Learn Meditation EasilyRating: 4.6 out of 51212 reviews3 total hours33 lecturesBeginnerCurrent price: $54.99",https://www.udemy.com/course/meditation-for-beginners-learn-to-be-free-from-anxiety-now/,Ken Wells,4.6,"1,212",$54.99,,3 total hours,33 lectures,Beginner
How To Create & Sell Your Own Guided Meditations from HomeCreate Meditation Music and Leverage Digital Technology to Create and Sell Meditation Audios on Any Topic You ChooseRating: 4.4 out of 51210 reviews3.5 total hours40 lecturesBeginnerCurrent price: $54.99,https://www.udemy.com/course/how-to-create-and-sell-your-own-meditation-audios-from-home/,"Billy Allen, Ken Wells",4.4,"1,210",$54.99,,3.5 total hours,40 lectures,Beginner
Meditation Masterclass: meditation teacher certificationAccredited meditation certification course. Learn & teach a wide range of meditation techniques from around the world!Rating: 4.7 out of 51209 reviews5.5 total hours48 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/meditation-masterclass/,Kevin Ellerton,4.7,"1,209",$69.99,,5.5 total hours,48 lectures,All Levels
