title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Workplace Communication: You Can Speak Up at Meetings!You Can Learn to Speak up At Anytime Knowing how To Look and Sound Your Best in MeetingsRating: 4.4 out of 528512 reviews34.5 total hours717 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/how-to-speak-up-at-meetings/,TJ Walker,4.4,"28,512",$74.99,,34.5 total hours,717 lectures,All Levels
"Winning Communication Skills for Telephone, Conference CallsImprove Communication Skills - Use the Telephone Effectively! Avoid Phone Etiquette Blunders that AnnoyRating: 4.0 out of 52945 reviews33.5 total hours711 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/telephone-conference-calls-workplace-communication-skills/,"TJ Walker, Media Training Worldwide Digital",4.0,"2,945",$64.99,,33.5 total hours,711 lectures,All Levels
"Leading Effective Meetings - You Can Lead Effective MeetingsLearn How to Plan Effective Meetings, Run Effective Meetings and Generate Results After Your MeetingsRating: 4.5 out of 51506 reviews32 total hours705 lecturesAll LevelsCurrent price: $84.99",https://www.udemy.com/course/leading-effective-meetings-you-can-lead-effective-meetings/,"TJ Walker, Media Training Worldwide Digital",4.5,"1,506",$84.99,,32 total hours,705 lectures,All Levels
"How to Run truly Productive Meetings – and add valueLearn to Run Great Meetings, Raise Your Profile and Boost ProductivityRating: 4.5 out of 56194 reviews2.5 total hours15 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/high-payback-meetings-for-startups-managers-team-leaders/,7 Keys Solutions,4.5,"6,194",$49.99,,2.5 total hours,15 lectures,All Levels
"Leading Effective MeetingsLearn how to effectively plan, run, & manage meetings of any kind. Increase your team's productivity & participationRating: 4.4 out of 59240 reviews1 total hour20 lecturesBeginnerCurrent price: $44.99",https://www.udemy.com/course/how-to-lead-effective-meetings/,PracticalGrowth Inc.,4.4,"9,240",$44.99,,1 total hour,20 lectures,Beginner
"[2025] Mastering Agile & Scrum MeetingsRun Productive, Timeboxed Scrum Events: Planning, Standup, Review, Retro & Refinement.Rating: 3.9 out of 5110 reviews1.5 total hours17 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/learn-how-to-drive-effective-efficient-agile-scrum-kanban-meetings/,Luke Angel,3.9,110,$19.99,,1.5 total hours,17 lectures,Beginner
Leading and Running Effective Meeting as Leader or ExecutiveLearn How to Plan and Run Effective Meetings to Generate Results as Manager and ExecutiveRating: 5.0 out of 5358 reviews4.5 total hours25 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/running-effective-meeting/,John Masud Parvez,5.0,358,$19.99,,4.5 total hours,25 lectures,Intermediate
"How to Run Effective MeetingsMaster the Skills to Lead Productive, Engaging, and Result-Driven MeetingsRating: 4.4 out of 537 reviews1.5 total hours27 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/how-to-run-effective-meetings/,Jason West,4.4,37,$19.99,,1.5 total hours,27 lectures,Beginner
Leading Effective One-on-One Meetings: Practical SkillsEverything a Manager Needs to Know to Maximize the Value of One-on-One TimeRating: 4.0 out of 537 reviews1.5 total hours31 lecturesBeginnerCurrent price: $29.99,https://www.udemy.com/course/leading-effective-one-on-one-meetings/,Mike Clayton,4.0,37,$29.99,,1.5 total hours,31 lectures,Beginner
"Managers Guide to Effective 1:1 MeetingsEssential Skills for Conducting Focused, Productive, and Meaningful 1:1 ConversationsRating: 4.6 out of 5186 reviews2 total hours42 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/one-to-one-meetings/,"CRFT Productions, Fiona Dewar",4.6,186,$19.99,,2 total hours,42 lectures,All Levels
