title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Meditate Like a Pro+: Master the Fundamentals of MindfulnessDiscover how Mindfulness is both a skill and a way of life through simple, effective Meditation techniques.Rating: 4.7 out of 521 reviews4.5 total hours16 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/meditate-like-a-pro-mastering-the-fundamentals-of-meditation/,Alejandra Molina Shuk,4.7,21,$19.99,,4.5 total hours,16 lectures,All Levels
Himalayan Meditation CourseDiscover Rare Meditation Techniques used by Yogis in the Himalayas for Inner Peace and AwakeningRating: 4.9 out of 536 reviews5.5 total hours21 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/himalayan-meditation-course/,Rajinder Singh,4.9,36,$44.99,,5.5 total hours,21 lectures,All Levels
"Mindfulness Strategies for Success in the WorkplaceStrategies for Reducing Stress, Increasing Happiness, Communicating Better & Achieving Your Goals Through MindfulnessRating: 4.5 out of 53853 reviews1 total hour19 lecturesBeginnerCurrent price: $44.99",https://www.udemy.com/course/mindfulness-strategies-for-success-in-the-workplace/,Life Progression Project,4.5,"3,853",$44.99,,1 total hour,19 lectures,Beginner
Practical Mindfulness - Mindfulness and mindful meditationMaster the art of mindfulness and mindful meditationRating: 4.4 out of 52405 reviews3 total hours32 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/practical-mindfulness/,Greg de Vries,4.4,"2,405",$74.99,,3 total hours,32 lectures,All Levels
"Applying Mindfulness to Develop Resilience and WellbeingHarnessing your Emotional Intelligence through Mindfulness: The Key to Resilience, Mental Toughness and WellbeingRating: 4.5 out of 55779 reviews2 total hours35 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/mindfulness-resilience-and-wellbeing/,Robin Hills,4.5,"5,779",$19.99,,2 total hours,35 lectures,All Levels
Mindfulness Based Cognitive Therapy Practitioner ACCREDITEDCombining Mindfulness and Cognitive Therapy to create Mindfulness Based Cognitive Therapy or MBCT for short - join now!Rating: 4.5 out of 51395 reviews14.5 total hours134 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/mindfulness-based-cognitive-therapy-practitioner-cert/,"Graham Nicholls, The Priority Academy Ltd",4.5,"1,395",$74.99,,14.5 total hours,134 lectures,All Levels
Stress Relief with ChatGPT & Zen Philosophy (Beginner Level)Learn to process emotions with ChatGPT and calm your mind through Zen phrases and Japanese mindfulness ritualsRating: 5.0 out of 51 review2 total hours25 lecturesBeginnerCurrent price: $29.99,https://www.udemy.com/course/stress-relief-zen/,Ryokufu Iwasaki （岩﨑綠風）,5.0,1,$29.99,,2 total hours,25 lectures,Beginner
"Lucid Dreaming: 10 Days to Wake Up Inside Your DreamsExplore Personal Growth, Play, Mindfulness & Spiritual Insight—Guided by a Dreamwork Coach and Dream Yoga PractitionerRating: 4.7 out of 5574 reviews3.5 total hours60 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/luciddreamingtraining/,Peter Torok,4.7,574,$54.99,,3.5 total hours,60 lectures,All Levels
"Taoist Mindfulness: 36 Meditation Lessons for Inner PeaceClear Mental Clutter, Release Anxiety, Gain Mindfulness, and Find Calm FocusRating: 4.7 out of 5172 reviews3.5 total hours38 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/taoist-mindfulness-36-meditation-lessons-for-inner-peace/,Wonder Orient,4.7,172,$19.99,,3.5 total hours,38 lectures,All Levels
Feldenkrais Awareness Through Movement lessons: IntermediateDeepen your Feldenkrais Awareness Through Movement practiceRating: 4.7 out of 561 reviews3.5 total hours5 lecturesIntermediateCurrent price: $54.99,https://www.udemy.com/course/feldenkrais-awareness-through-movement-lessons-intermediate/,Ingrid Weisfelt,4.7,61,$54.99,,3.5 total hours,5 lectures,Intermediate
"cbt and psychology : emotional control via cbt techniquescognitive behavior therapy and psychology in mental errors , Mastering Emotional Control through Thought Transformation.Rating: 3.6 out of 532 reviews1 total hour9 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/cbt-psychology/,niloo niloo,3.6,32,$19.99,,1 total hour,9 lectures,All Levels
Fully Accredited Certification in Professional PsychotherapyThe Complete Psychotherapy Masterclass with Step-by-Step Process and ExamplesRating: 4.4 out of 553 reviews7.5 total hours145 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/fully-accredited-certification-in-professional-psychotherapy/,Dr. Ankita Kashyap,4.4,53,$49.99,,7.5 total hours,145 lectures,All Levels
"Fully Accredited Certification in Psychotherapy for ChildrenLearn Psychotherapy for Children and Help them with Multiple Issues e.g. Anger, truama, etc.Rating: 4.3 out of 522 reviews1.5 total hours28 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/certification-in-psychotherapy-for-children/,Dr. Ankita Kashyap,4.3,22,$19.99,,1.5 total hours,28 lectures,All Levels
"21 Day Mindfulness Challenge: Creating Presence & WellbeingMaster Mindfulness: Reduce Stress, Enhance Self-Awareness & Find HappinessRating: 4.4 out of 52 reviews2.5 total hours30 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/21-day-mindfulness-challenge-creating-presence-wellbeing/,Nicola Hladky,4.4,2,$19.99,,2.5 total hours,30 lectures,Beginner
"Diploma in Mindfulness Practice (Certification Program)Learn the discipline of mindfulness to deepen your self-knowledge, awareness + gain valuable wisdom for navigating life.Rating: 4.7 out of 513631 reviews33.5 total hours127 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/mindfulness-training-course-online-mindfulness-practitioner/,"Kain Ramsay, Academy of Applied Psychology",4.7,"13,631",$69.99,,33.5 total hours,127 lectures,All Levels
"Fundamentals of MindfulnessThe fundamentals of how to be more present, more relaxed, less anxious, and, overall, more at peace, in everyday lifeRating: 4.3 out of 53195 reviews1 total hour15 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/mindfulness-fundamentals/,Vasco Patrício,4.3,"3,195",$19.99,,1 total hour,15 lectures,All Levels
Mindfulness Life Coach Certification & Mindfulness BlueprintMindfulness: Complete Life Coaching Blueprint with 50+ Mindfulness Exercise; 21 Day Mindfulness; Meditation ChallengeRating: 4.8 out of 53003 reviews7 total hours77 lecturesAll LevelsCurrent price: $84.99,https://www.udemy.com/course/mindfulness-life-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",4.8,"3,003",$84.99,,7 total hours,77 lectures,All Levels
"I Am in Control! – Master Your Thoughts, Emotions, and LifeMind Mastery for Personal Growth: Emotional Intelligence, Mindfulness, CBT, Neuroscience, Anxiety Relief & MeditationRating: 4.5 out of 51929 reviews3 total hours31 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/above-the-ego-neuroplasticity-mindfulness/,Peter Torok,4.5,"1,929",$74.99,,3 total hours,31 lectures,All Levels
"The Complete Mindfulness & Meditation Training (MBSR/MBCT)Science-based Mindfulness + Meditation Tools for Focus, Stress Management, Emotional Intelligence, Communication + MoreRating: 4.5 out of 51591 reviews17.5 total hours225 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/complete-mindfulness-program/,Stan Cerulus,4.5,"1,591",$69.99,,17.5 total hours,225 lectures,All Levels
Mindfulness Life Coach Certification: AccreditedAchieve Certification | Custom Coaching Handouts | Embrace Mindfulness for Growth | Enhance Coaching ExpertiseRating: 4.8 out of 51515 reviews4 total hours49 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/mindfulness-life-coach-practitioner-training-certification/,"Patrick Howell, CiPP Master Coach and Trainer",4.8,"1,515",$69.99,,4 total hours,49 lectures,All Levels
Professional Accredited Life Coaching Certification DiplomaFully Accredited Diploma. Easy techniques and powerful tools to assist yourself or your clients as a Life CoachRating: 4.6 out of 5849 reviews32 total mins13 lecturesAll LevelsCurrent price: $34.99,https://www.udemy.com/course/professional-accredited-life-coaching-certification-course/,Dr Karen E Wells,4.6,849,$34.99,,,13 lectures,All Levels
NLP Coaching Certification (Coaching Skills Mastery)Beginner to Advanced. The Complete NLP Coaching Programme.Rating: 4.5 out of 5595 reviews20 total hours167 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/coaching-skills-mastery-nlp-life-coaching/,"Steven Burns, Brian Costello",4.5,595,$54.99,,20 total hours,167 lectures,All Levels
Mindfulness Based Cognitive Therapy Practitioner ACCREDITEDCombining Mindfulness and Cognitive Therapy to create Mindfulness Based Cognitive Therapy or MBCT for short - join now!Rating: 4.5 out of 51395 reviews14 total hours134 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/mindfulness-based-cognitive-therapy-practitioner-cert/,"Graham Nicholls, The Priority Academy Ltd",4.5,"1,395",$74.99,,14 total hours,134 lectures,All Levels
"Mindfulness for Self-Knowledge, Mental Clarity & Inner CalmLearn the art of mindfulness to mature in self-knowledge, gain mental clarity + age-old wisdom for nurturing inner calm.Rating: 4.4 out of 51314 reviews14.5 total hours55 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/online_course_for_help_with_depression/,"Kain Ramsay, The School for Self-Improvement and Personal Growth, Academy of Applied Psychology",4.4,"1,314",$39.99,,14.5 total hours,55 lectures,All Levels
Mindfulness For BusinessRewire Your Brain For Career Success And Personal WellbeingRating: 4.5 out of 51286 reviews1 total hour12 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/rewire-your-brain-for-success-personal-wellbeing/,Expert Academy,4.5,"1,286",$19.99,,1 total hour,12 lectures,All Levels
"The Definitive Guide To Mindfulness & Mindfulness MeditationHow To Use Mindfulness Meditation, Learn How To Bring Balance, Improve Sleep, Reduce Stress, Anxiety & Depression.Rating: 4.7 out of 51277 reviews7 total hours24 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/spiritual-mindfulness/,Julian Jenkins,4.7,"1,277",$19.99,,7 total hours,24 lectures,All Levels
Mindfulness Meditation for Real LifeLearn how and why Mindfulness works as well as several practical exercises that may be applied in everyday situationsRating: 4.6 out of 51246 reviews3 total hours28 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/mindfulness-meditation-for-real-life/,Salvador Choussy,4.6,"1,246",$44.99,,3 total hours,28 lectures,All Levels
The Complete Mindfulness Course - Enjoy Life In the PresentMindfulness Can Be Achieved - Stress Management - Meditation - Yoga - and SelfieSpeak Programming - Live In The PresentRating: 4.5 out of 51216 reviews19 total hours324 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/the-complete-mindfulness-course-enjoy-life-in-the-present/,"TJ Walker, Media Training Worldwide Digital",4.5,"1,216",$59.99,,19 total hours,324 lectures,All Levels
Mindfulness Teacher Training CertificateStart your journey to becoming a certified mindfulness teacher with this accredited mindfulness teacher training courseRating: 4.6 out of 51163 reviews3.5 total hours77 lecturesBeginnerCurrent price: $74.99,https://www.udemy.com/course/mindfulness-teacher-training/,"Chris Worfolk, Holbeck College",4.6,"1,163",$74.99,,3.5 total hours,77 lectures,Beginner
Mindfulness and Mindfulness Meditation CourseMindfulness and Mindfulness Meditation For BeginnersRating: 4.3 out of 5931 reviews2.5 total hours46 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/mindfulness-training/,Libby Seery,4.3,931,$19.99,,2.5 total hours,46 lectures,All Levels
"Psychic Mediumship, Mindfulness & Manifestation, MasterclassUnderstand your spiritual awakening, cleanse your emotional shadows , connect with spirit and manifest your aspirationsRating: 4.8 out of 5916 reviews3 total hours20 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/master-psychic-mediumship-mindfulness-manifestation/,Julian Jenkins,4.8,916,$69.99,,3 total hours,20 lectures,All Levels
Mindfulness Teacher Training: Transform Lives w/ MeditationLearn Mindfulness Techniques &amp; Meditation Practices for Life Coaching Success and AccreditationRating: 4.7 out of 5770 reviews5.5 total hours74 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/mindfulness-life-coach-training-meditation-teacher-certification/,"Patrick Howell, CiPP Master Coach and Trainer",4.7,770,$74.99,,5.5 total hours,74 lectures,All Levels
Holistic Health Practitioner - Becoming ShamanAn Internationally Accredited 8 week Spiritual Healer ProgramRating: 4.5 out of 5533 reviews9.5 total hours43 lecturesIntermediateCurrent price: $69.99,https://www.udemy.com/course/becoming-shaman/,"Rev. Dr. Bonnie M. Russell, AllOne Healing Academy",4.5,533,$69.99,,9.5 total hours,43 lectures,Intermediate
"Mindful Leadership: Mindfulness for High-Impact LeadershipLearn the art of mindful leadership, enhance your presence, navigate change wisely + lead with emotional intelligence.Rating: 4.6 out of 5514 reviews13 total hours50 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/assertiveness-and-confidence-course-udemy/,"Kain Ramsay, The School for Self-Improvement and Personal Growth, Academy of Applied Psychology",4.6,514,$69.99,,13 total hours,50 lectures,All Levels
"Mindfulness for ProductivityUse mindfulness meditation to reduce stress, boost productivity and improve time managementRating: 4.3 out of 5472 reviews2 total hours18 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/mindfulness-for-productivity/,Chris Worfolk,4.3,472,$19.99,,2 total hours,18 lectures,All Levels
