title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"How to give and receive feedback effectivelyGiving and receiving feedback, communication, influence, leadership, persuasion and dealing with difficult peopleRating: 4.5 out of 55711 reviews1 total hour30 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/give-and-receive-feedback/,Jamal Lazaar,4.5,"5,711",$44.99,,1 total hour,30 lectures,All Levels
"Conflict Management: The complete guideConflict management: effective techniques to better manage conflicts, negotiate, influence and solve problemsRating: 4.5 out of 53321 reviews1.5 total hours28 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/conflict-management-the-complete-guide/,Jamal Lazaar,4.5,"3,321",$49.99,,1.5 total hours,28 lectures,All Levels
Motivation: The Science of Motivating Yourself and Your TeamMotivation Mastery for Every Team Leader and Entrepreneur - The Critical Leadership SkillRating: 4.4 out of 55085 reviews4 total hours27 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/how-to-motivate-yourself-and-others/,"Lawrence M. Miller, Leadership Excellence, LLC",4.4,"5,085",$54.99,,4 total hours,27 lectures,All Levels
"Motivate Your Team For Maximum EngagementUnderstand the Key Drivers of Employee Motivation, Adapt Your Management Style, and Boost Team PerformanceRating: 4.4 out of 576 reviews2 total hours34 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/motivate-your-team/,Jamal Lazaar,4.4,76,$19.99,,2 total hours,34 lectures,All Levels
"Mastering Motivation: Leadership Strategies & Thriving TeamsLead smarter, motivate deeper, and transform the way your team works—now and for the futureRating: 4.4 out of 53751 reviews11.5 total hours223 lecturesIntermediateCurrent price: $19.99",https://www.udemy.com/course/team-motivation/,Peter Alkema,4.4,"3,751",$19.99,,11.5 total hours,223 lectures,Intermediate
Motivation: unlock powerful self motivationMaximise self motivation and achieve your goals. Motivate yourself and kill off procrastinationRating: 4.6 out of 55034 reviews2.5 total hours45 lecturesAll LevelsCurrent price: $34.99,https://www.udemy.com/course/self-motivation-goals/,Chris Croft,4.6,"5,034",$34.99,,2.5 total hours,45 lectures,All Levels
Vigilant Leadership with Generative AI: Gen AI for LeadersIntegrating Vigilant Leadership with Generative AI Tools: Practical Vigilant Leadership Prompts: Foresight and ActionRating: 4.9 out of 516 reviews10 total hours94 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/vigilant-leadership-with-generative-ai-gen-ai-for-leaders/,ETS WellTech Education Innovations & Solutions,4.9,16,$19.99,,10 total hours,94 lectures,All Levels
"Management and Organisational Behaviour in PracticeA Guide for improving interpersonal relations, group motivation, leadership, managerial behaviour, work life balanceRating: 4.9 out of 520 reviews3 total hours47 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/management-and-organisational-behaviour-in-practice/,Prof John Martey FCG,4.9,20,$19.99,,3 total hours,47 lectures,All Levels
Emotional Intelligence Training Academy ®How to Become the Best Version Of Yourself & Produce Any Result In Any Aspect Of YOUR LifeRating: 4.4 out of 516 reviews4.5 total hours23 lecturesBeginnerCurrent price: $39.99,https://www.udemy.com/course/emotional-intelligence-training-academy/,Manos Ischakis,4.4,16,$39.99,,4.5 total hours,23 lectures,Beginner
The Complete Motivation Course: Motivation for Your SuccessMotivation for Your Personal Development and Personal Success - Take Action Today for a Successful and Meaningful FutureRating: 4.5 out of 5349 reviews3 total hours64 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/the-complete-motivation-course-motivation-for-your-success/,"TJ Walker, Media Training Worldwide Digital",4.5,349,$59.99,,3 total hours,64 lectures,All Levels
