title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"NLP Practitioner Course (Neuro-Linguistic Programming)Learn key Neuro-Linguistic Programming models to equip you in deep self-knowledge, awareness, productivity + resilience.Rating: 4.5 out of 526712 reviews41.5 total hours153 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/nlp-practitioner-neuro-linguistic-programming-online-course/,"Kain Ramsay, Academy of Applied Psychology",4.5,"26,712",$69.99,,41.5 total hours,153 lectures,All Levels
"Neuro-Linguistic Programming Master Practitioner (Advanced)Learn advanced NLP and psychology-based models to lead you in deep self-knowledge, awareness, productivity + resilience.Rating: 4.7 out of 54467 reviews45.5 total hours156 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/neuro-linguistic-programming-nlp-master-practitioner-online-course/,"Kain Ramsay, Academy of Applied Psychology",4.7,"4,467",$69.99,,45.5 total hours,156 lectures,All Levels
NLP Practitioner & NLP Life Coach Certification (Accredited)NLP Certification & Ultimate Guide. Become a Certified NLP (Neuro Linguistic Programming) Practitioner & NLP Life CoachRating: 4.4 out of 53078 reviews20.5 total hours188 lecturesAll LevelsCurrent price: $89.99,https://www.udemy.com/course/nlp-practitioner-and-life-coach-certification-accredited/,"Joeel & Natalie of Transformation Services, David Key, Transformation Services",4.4,"3,078",$89.99,,20.5 total hours,188 lectures,All Levels
NLP Practitioner & NLP Master Practitioner Cert (ACCREDITED)The ONLY Combined NLP Practitioner & NLP Master Practitioner Certification Course on this platform - 2 Courses in 1!Rating: 4.6 out of 57155 reviews19 total hours188 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/nlp-practitioner-master-practitioner-certification-course/,"Graham Nicholls, The Priority Academy Ltd",4.6,"7,155",$69.99,,19 total hours,188 lectures,All Levels
iGNLP™ Certified NLP Practitioner (Associate)NLP Get the only Genuine 100%  iGNLP™  Accredited - NLP Practitioner Certification Recognised GloballyRating: 4.7 out of 510207 reviews30 total hours276 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/nlp-practitioner-neuro-linguistic-programming-certification-abnlp/,"Matthew Barnett, HeadgearLabs™ Personal & Professional Development",4.7,"10,207",$69.99,,30 total hours,276 lectures,All Levels
"A Beginner’s Guide to Neuro-Linguistic Programming (NLP)Master NLP models to transform your mindset, enhance emotional intelligence + unlock personal and professional growth.Rating: 4.5 out of 51104 reviews12.5 total hours42 lecturesBeginnerCurrent price: $49.99",https://www.udemy.com/course/neuro-linguistic-programming-nlp-course-introduction-achology/,"Kain Ramsay, Academy of Applied Psychology",4.5,"1,104",$49.99,,12.5 total hours,42 lectures,Beginner
NLP Personal Transformation (NLP for Personal Development)Train your Brain. Master your Mindset. Unlock your Colossal Potential.Rating: 4.7 out of 5443 reviews7.5 total hours59 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/nlp-personal-transformation-training/,Steven Burns,4.7,443,$64.99,,7.5 total hours,59 lectures,All Levels
"NLP for Mental Health, Emotional Intelligence and ResilienceLearn key Neuro-Linguistic Programming models to equip you in self-awareness, emotional intelligence + inner resilienceRating: 4.7 out of 5437 reviews12 total hours43 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/how_to_overcome_anxiety/,"Kain Ramsay, The School for Self-Improvement and Personal Growth, Academy of Applied Psychology",4.7,437,$69.99,,12 total hours,43 lectures,All Levels
The Unstoppable Discipline Program - MasterclassTAKE DAILY ACTION TOWARDS YOUR GOALS and FEEL PROUD OF YOURSELF instead of disappointedRating: 4.6 out of 5396 reviews2.5 total hours19 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/the-unstoppable-discipline-program/,Andrei Antoniu,4.6,396,$59.99,,2.5 total hours,19 lectures,All Levels
"NLP Practitioner, Beginner, Certified / Accredited™ trainerMIND DESIGN Accredited™ -  NLP Beginner Practitioner Course CertificationRating: 4.7 out of 5314 reviews12.5 total hours52 lecturesBeginnerCurrent price: $69.99",https://www.udemy.com/course/nlp-beginner-practitioner-course-certification-ianlp/,Tea Motti,4.7,314,$69.99,,12.5 total hours,52 lectures,Beginner
iGNLP™ Certified  NLP Master PractitionerDiscover the only NLP Master Practitioner training program Certified by the  iGNLP™Rating: 4.5 out of 5280 reviews15 total hours220 lecturesAll LevelsCurrent price: $94.99,https://www.udemy.com/course/nlp-neuro-linguistic-master-practitioner-certified-abnlp-ignlp-coach/,Matthew Barnett,4.5,280,$94.99,,15 total hours,220 lectures,All Levels
Treating Trauma & PTSDA powerful brief intervention for PTSDRating: 4.6 out of 5195 reviews1.5 total hours16 lecturesIntermediateCurrent price: $54.99,https://www.udemy.com/course/treating-trauma-and-ptsd/,Dr Alan Fayter,4.6,195,$54.99,,1.5 total hours,16 lectures,Intermediate
Full NLP Practitioner Online TrainingLearn advanced psychological reasons behind why people do what we doRating: 4.1 out of 5154 reviews4 total hours34 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/online-nlp-practitioner-training/,Aaryn Longmore,4.1,154,$19.99,,4 total hours,34 lectures,Beginner
"NLP for Therapists | Practitioner and Master | Session GuideBeginner to Advanced NLP to enhance hypnosis, hypnotherapy, counseling, life coaching, reiki or healing therapy sessionsRating: 4.8 out of 5142 reviews9.5 total hours55 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/nlp-for-therapists/,Mark Beale,4.8,142,$54.99,,9.5 total hours,55 lectures,All Levels
NLP Practitioner TrainingNLP and Coaching elements of the live 7 day NLP practitioner training.Rating: 4.6 out of 5136 reviews17 total hours82 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/nlp-practitioner-training/,Wayne Farrell,4.6,136,$49.99,,17 total hours,82 lectures,All Levels
Certified NLP Practitioner & Master NLP DiplomaBecome a Neuro Linguistic Programming Practitioner &amp;  Master Practitioner Accredited CourseRating: 4.3 out of 5128 reviews7 total hours60 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/nlp-practitioner-course/,The Positive Life Academy,4.3,128,$19.99,,7 total hours,60 lectures,All Levels
"Manifest Your Dream Life: Master NLP & Law of AttractionClear limiting beliefs with NLP, align with LOA, attract wealth, love & health - 30-day manifestation process includedRating: 4.3 out of 5117 reviews2 total hours20 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/lawofattractionandnlp/,Sharon Bolt,4.3,117,$19.99,,2 total hours,20 lectures,All Levels
"The Ultimate NLP (Neuro Linguistic Programming) CourseA guide and toolkit to create successful life. Learn the system to quick, powerful and lasting life changeRating: 4.4 out of 5115 reviews5 total hours58 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/nlpcourse/,Mayur Bardolia,4.4,115,$19.99,,5 total hours,58 lectures,All Levels
Accredited Certificate in Neuro-Linguistic Programming (NLP)Internationally Accredited Professional NLP Certification | Become Professional NLP Practitioner and Life CoachRating: 4.4 out of 5107 reviews1.5 total hours29 lecturesAll LevelsCurrent price: $34.99,https://www.udemy.com/course/accredited-diploma-certificate-neuro-linguistic-programming-nlp/,"Prof. Krishna N. Sharma, Ph.D., Virtued Academy International, UniSkill Academy",4.4,107,$34.99,,1.5 total hours,29 lectures,All Levels
"NLP Ninja Vol 1:  Beyond Goal Setting - NLP DemystifiedHow to Motivate Yourself, Think More Clearly and Achieve Your Goals Using Neuro Linguistic Programming TechniquesRating: 4.5 out of 5105 reviews2 total hours17 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/nlp-ninja-vol-1-beyond-goal-setting/,Ken Wells,4.5,105,$19.99,,2 total hours,17 lectures,Beginner
iGCLC™ - Certified Gestalt Therapy PractitionerNLP Practitioners - discover a major influence in NLP and learn the power of self awarenessRating: 4.2 out of 592 reviews6 total hours105 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/gestalt-therapy-nlp-matt-barnett-practitioner-certified-igppa/,Matthew Barnett,4.2,92,$49.99,,6 total hours,105 lectures,All Levels
NLP Master Practitioner Study Videos (Track 1: Modeling)The Process for Adapting the Genius of Exemplars (Skills Transfer Succession)Rating: 4.7 out of 584 reviews13 total hours16 lecturesIntermediateCurrent price: $99.99,https://www.udemy.com/course/nlp-master-practitioner-study-videos-track-1-modeling/,"Breakthrough Coaching and Consulting, Inc. (Brkthru)",4.7,84,$99.99,,13 total hours,16 lectures,Intermediate
