title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Master your brain: Neuroscience for personal developmentDiscover how this approach can help with stress, self confidence, motivation, change, communication, relations, ...Rating: 4.6 out of 512381 reviews3.5 total hours72 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/my-brain-and-i/,Gregory Caremans - Brain Academy,4.6,"12,381",$69.99,,3.5 total hours,72 lectures,All Levels
"Neuroplasticity: How To Rewire Your BrainHow to develop mental flexibility, change habits, stop procrastination and alter memories based on neuroscience researchRating: 4.7 out of 518494 reviews4 total hours36 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/neuroplasticity/,Gregory Caremans - Brain Academy,4.7,"18,494",$69.99,,4 total hours,36 lectures,All Levels
"Neuroscience and Psychology: One Brain, Two HemispheresExplore how the brain’s hemispheres differ, interact, and shape cognitionRating: 4.5 out of 52 reviews7 total hours127 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/one-brain-two-hemispheres/,Psy Stuff,4.5,2,$19.99,,7 total hours,127 lectures,All Levels
The Neuroscience Challenges of Organizational ChangeOrganizational Psychology & Neuroscience Applied to Organizational Change ManagementRating: 4.4 out of 562 reviews3 total hours7 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/neuroscience-of-change/,Dustin Jackson,4.4,62,$44.99,,3 total hours,7 lectures,All Levels
"Foundations of Neuroscience, Psychology and the BrainA beginner-friendly guide to neurons, brain systems, sleep, development, and the psychology of the mind. (Certificate)Rating: 4.8 out of 536 reviews6.5 total hours26 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/foundations-of-neuroscience-psychology-and-the-brain/,Dr. Steven Kushner,4.8,36,$19.99,,6.5 total hours,26 lectures,Beginner
"Advanced Neuroscience of Normal and Abnormal Human BehaviorMaster Neuroanatomy, Neuroplasticity, Addiction, Psychiatric Disorders, Emotion, Memory, and so much more.Rating: 4.6 out of 5112 reviews9.5 total hours22 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/midday-neuroscience/,Dr. Day,4.6,112,$59.99,,9.5 total hours,22 lectures,All Levels
"Master your brain: Neuroscience for personal developmentDiscover how this approach can help with stress, self confidence, motivation, change, communication, relations, ...Rating: 4.6 out of 512382 reviews3.5 total hours72 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/my-brain-and-i/,Gregory Caremans - Brain Academy,4.6,"12,382",$69.99,,3.5 total hours,72 lectures,All Levels
Master Neuroscience and Neuroanatomy.Learn Neuroscience with the World's Most Popular Medical Teacher. Crystal clear concepts with hand-drawn illustrations.Rating: 4.8 out of 51449 reviews100.5 total hours135 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/neuroanatomy/,Dr. Najeeb Lectures,4.8,"1,449",$64.99,,100.5 total hours,135 lectures,All Levels
Neuroscience and Psychology: Electroencephalography (EEG)A complete introduction to EEGRating: 4.6 out of 5742 reviews1.5 total hours24 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/electroencephalography/,Psy Stuff,4.6,742,$49.99,,1.5 total hours,24 lectures,All Levels
"The Neuroscience of Self-Compassion by Kelly McGonigalDiscover how the brain works, including why the critical inner voice exists, and how to replace it with self-compassion.Rating: 4.5 out of 5645 reviews2 total hours22 lecturesAll LevelsCurrent price: $89.99",https://www.udemy.com/course/kelly-mcgonigal/,Sounds True,4.5,645,$89.99,,2 total hours,22 lectures,All Levels
"Control Your Brain Chemistry – Become Confident and CreativeIncrease your levels of dopamine, serotonin, endorphins, and GABA.Rating: 4.5 out of 5375 reviews2 total hours40 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/control-your-brain-chemistry/,"Global Harmony Crew, Vegard Gjerde, Vegard Havre Paulsen",4.5,375,$69.99,,2 total hours,40 lectures,All Levels
"Learning Strategies for Exam: Brain Training, Improve MemoryLearning Strategies: Mind Mapping, Improve Memory, Brain Training, Study Skills, Note Taking ,Pass Exam, NeuroscienceRating: 4.8 out of 5300 reviews1.5 total hours28 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/neuroscience-for-exams-learning-strategies/,Ina Ilie,4.8,300,$44.99,,1.5 total hours,28 lectures,All Levels
"Learn Neuroscience: How Your Brain Works in Six LecturesLearn about the role of our brain in our personality, abilities, imagination, and consciousness. Beginners Neuroscience.Rating: 4.7 out of 5290 reviews1 total hour12 lecturesBeginnerCurrent price: $64.99",https://www.udemy.com/course/learn-neuroscience/,"André Klapper, PhD",4.7,290,$64.99,,1 total hour,12 lectures,Beginner
Practical Neuroscience: 30+ Exercises for a Better BrainNeuroscience exercises for a better brainRating: 4.5 out of 5144 reviews2.5 total hours44 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/practical-neuroscience-exercises-for-a-better-brain/,Ina Ilie,4.5,144,$39.99,,2.5 total hours,44 lectures,All Levels
"Neuroplasticity: Everything you need to know!Reprogram your brain for clearer thinking, genius insights and laser sharp concentration, memory, habits and much moreRating: 4.5 out of 5122 reviews9 total hours66 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/neuroplasticity-rewire-your-brain-creativity-focus-and-iq/,Amine Benyakoub,4.5,122,$59.99,,9 total hours,66 lectures,All Levels
Understanding Brain InjuryGain A Greater Awareness For Living And Working With People You Care ForRating: 4.6 out of 5120 reviews3 total hours30 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/brain-injury-awareness/,CEADDAONLINE DebC,4.6,120,$19.99,,3 total hours,30 lectures,Beginner
Basics of NeuroscienceUnderstanding How the Brain WorksRating: 4.4 out of 5107 reviews2 total hours12 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/basics-of-neuroscience/,"Joy Ismail, PhD",4.4,107,$44.99,,2 total hours,12 lectures,All Levels
"Brain Computer Interfaces, Neural Engineering, NeuroRoboticsFundamentals of Neural Recording, Neural Stimulation, & Brain-Computer Interfaces for Medical & Robotic ApplicationsRating: 4.5 out of 578 reviews5.5 total hours28 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/neurorobotics/,Jacob A. George,4.5,78,$19.99,,5.5 total hours,28 lectures,All Levels
Sounds True Presents: The Neuroscience Training SummitA Practical Approach to Improving Your Life Through NeuroscienceRating: 4.5 out of 576 reviews6 total hours96 lecturesAll LevelsCurrent price: $89.99,https://www.udemy.com/course/the-neuroscience-training-summit/,Sounds True,4.5,76,$89.99,,6 total hours,96 lectures,All Levels
Fundamentals of Medical NeuroscienceCourse offers a strong neuroscience foundation by covering all the basic essence of the subject. Enjoy the learning.Rating: 4.4 out of 566 reviews4.5 total hours23 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/fundamentals-of-medical-neuroscience/,Dr. Eisha Sethi,4.4,66,$19.99,,4.5 total hours,23 lectures,All Levels
"That Stranger In The Mirror: Neuroscience For EveryoneKnowing Yourself, Knowing Others, Knowing StuffRating: 4.3 out of 564 reviews7 total hours45 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/neuroscience-for-everyone/,Loony Corn,4.3,64,$19.99,,7 total hours,45 lectures,All Levels
"Manifestation Mastery Law of Attraction Self-Hypnosis SystemUnlock Lasting Change Proven Law of Attraction & Self-Hypnosis Method for Abundance, Success, Love, Health and HappinessRating: 4.6 out of 51428 reviews10.5 total hours87 lecturesAll LevelsCurrent price: $79.99",https://www.udemy.com/course/law-of-attraction-self-hypnosis-changing-limiting-beliefs/,Chris Spink,4.6,"1,428",$79.99,,10.5 total hours,87 lectures,All Levels
