title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Productivity and Time Management for the OverwhelmedA complete productivity and time management course designed to help you reduce your overwhelm and increase your results.Rating: 4.5 out of 5102988 reviews2 total hours32 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/productivity-and-time-management/,Josh Paulsen,4.5,"102,988",$64.99,,2 total hours,32 lectures,All Levels
"Time Management Mastery: Do More, Stress LessTake control of your time, your to-do list, and your overwhelm.  Learn how to get it all done, without the stress.Rating: 4.5 out of 591142 reviews2 total hours45 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/do-more-stress-less/,Alexis Haselberger,4.5,"91,142",$59.99,,2 total hours,45 lectures,All Levels
"Modern Productivity: Superhuman Focus In A Distracted WorldBoost your productivity, reclaim your focus, and achieve your goals with this proven approach to personal productivity!Rating: 4.6 out of 526284 reviews2 total hours30 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/modern-productivity/,"Brad Merrill, mDash Courses",4.6,"26,284",$64.99,,2 total hours,30 lectures,All Levels
Smart Tips: Time Management & ProductivityMaster time management and equip yourself with productivity tools and strategies: 67 micro lessonsRating: 4.6 out of 518970 reviews3 total hours68 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/productivity-smart-tips/,Chris Croft,4.6,"18,970",$49.99,,3 total hours,68 lectures,All Levels
"Work From Home: Where to Start and How to SucceedHow to get started,  organized, increase efficiency, and maximize productivity while working in your home environment.Rating: 4.5 out of 517630 reviews1.5 total hours27 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/working-effectively-from-home/,Reneice Charles,4.5,"17,630",$19.99,,1.5 total hours,27 lectures,Beginner
10X SUPERHUMAN Focus: Maximize Your Brain & FocusThe World’s Most ADVANCED Focus Training Course: Direct Your Focus and Energy Where They Matter Most to YouRating: 4.9 out of 57036 reviews13.5 total hours183 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/learn-focus-techniques/,Silviu Marisk | M.B.A.,4.9,"7,036",$69.99,,13.5 total hours,183 lectures,All Levels
SUPERHUMAN Productivity 10X: The Secret Skill Of PerformanceThe Ultimate Blueprint For Productivity In The New Era Of BusinessRating: 4.9 out of 54725 reviews8.5 total hours155 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/productivity-10x-productivity/,Silviu Marisk | M.B.A.,4.9,"4,725",$64.99,,8.5 total hours,155 lectures,All Levels
Time Management Mastery: Productivity & GoalsPractical guide to time management - master productivity and efficiency every dayRating: 4.6 out of 55303 reviews4.5 total hours67 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/time-management-master/,"CRFT Productions, Chris Croft",4.6,"5,303",$49.99,,4.5 total hours,67 lectures,All Levels
"Time Management and Productivity Hacks: Do More, Stress LessMaster Your Time, attention and energy to boost productivity, eliminate distractions and build habits for success.Rating: 4.7 out of 574 reviews1 total hour36 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/time-management-and-productivity-hacks-do-more-stress-less/,Sania Alam  │ Futuristic Learning USA,4.7,74,$19.99,,1 total hour,36 lectures,All Levels
Mastering Goal Setting with ObsidianAchieve Your Dreams with Structured Reviews and Controllable ActionsRating: 4.7 out of 5346 reviews1.5 total hours23 lecturesBeginnerCurrent price: $44.99,https://www.udemy.com/course/mastering-goal-setting-with-obsidian/,Mischa van den Burg,4.7,346,$44.99,,1.5 total hours,23 lectures,Beginner
