title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"17 in 1: Complete Personal Transformation Masterclass10x Personal Transformation, Personal Productivity, Communication Skills, Leadership, Nutrition, Meditation and MoreRating: 4.7 out of 5196 reviews61 total hours799 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/17-in-1-complete-personal-transformation-masterclass/,Brandon Hakim,4.7,196,$54.99,,61 total hours,799 lectures,All Levels
"Effective Verbal and Nonverbal Communication SkillsBusiness and public speaking skills in English; IIMU, CFI  Strategies; #1 Soft Skill course; Leadership CommunicationRating: 4.1 out of 5335 reviews3 total hours23 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/excellence-in-oral-communication/,"Arun Singhal B-Tech, MBA (IIM-B),Unilever, J&J, Danone, IIMU, Cello",4.1,335,$19.99,,3 total hours,23 lectures,All Levels
"Transformation Life Coach Certification  (Accredited)Life coach your clients to breakthrough, create lasting change, master transitions & be the hero of their life storyRating: 4.7 out of 55624 reviews10 total hours119 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/transformation-life-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",4.7,"5,624",$69.99,,10 total hours,119 lectures,All Levels
Gain 8 Essential Skills For Complete Personal TransformationAre You Tired of Dry Theory and Want To Gain Practical Skills for Personal Transformation? This 8-in-1 Course is For YouRating: 4.6 out of 5512 reviews6 total hours66 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/gain-8-essential-skills-for-complete-personal-transformation/,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support",4.6,512,$44.99,,6 total hours,66 lectures,All Levels
"Positive Leadership & Employee Well-Being : Business SuccessDrive Business Benefits, with Positive Psychology : Boost Employee Well Being, Resilience, Performance and InnovationRating: 4.6 out of 5702 reviews2.5 total hours35 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/positive-confident-and-resilient-leadership-and-life/,"Sivakami S ; MBA ; Leadership Science, Psychology",4.6,702,$39.99,,2.5 total hours,35 lectures,All Levels
Learn How To Hypnotize Beginners CourseLearn How To Hypnotize Anyone Beginners CourseRating: 1.7 out of 53 reviews1.5 total hours16 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/learn-how-to-hypnotize-beginners-course/,Pradeep Aggarwal,1.7,3,$19.99,,1.5 total hours,16 lectures,Beginner
Complete Personal Development Personal Transformation CourseLive a More Fulfilling Life - Your Personal Development and Personal Transformation Can Start Now - Create Your Own LifeRating: 4.4 out of 52565 reviews34 total hours712 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/complete-personal-development-personal-transformation-course/,"TJ Walker, Media Training Worldwide Digital",4.4,"2,565",$74.99,,34 total hours,712 lectures,All Levels
Living from the Inside OutAn invitation to live an impossibly wonderful lifeRating: 4.5 out of 51969 reviews2 total hours13 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/living-from-the-inside-out/,Michael Neill,4.5,"1,969",$19.99,,2 total hours,13 lectures,Beginner
Silva UltraMind ESP Course - Streamlined VersionLearn to create miracles in your life by using your innate ESP to receive guidance from Higher IntelligenceRating: 4.5 out of 51514 reviews3.5 total hours20 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/silva-ultramind-esp-streamlined-course/,Ron Matthews,4.5,"1,514",$59.99,,3.5 total hours,20 lectures,All Levels
"Weight Loss for Life with Mini HabitsStop Dieting, Make Healthy Living Easy, and Form New HabitsRating: 4.6 out of 5570 reviews6 total hours65 lecturesAll LevelsCurrent price: $89.99",https://www.udemy.com/course/weight-loss-mini-habits/,"Stephen Guise, Laura Avnaim",4.6,570,$89.99,,6 total hours,65 lectures,All Levels
Life Transformation Blueprint - Your Personal Growth PlanPersonal Growth Tips : Life Transformation Coach : Achieve Personal Goals : Personal Growth Plan : Life TransformationRating: 4.2 out of 5518 reviews3 total hours37 lecturesAll LevelsCurrent price: $34.99,https://www.udemy.com/course/ultimate-life-mastery-blueprint/,Ghramae Johnson,4.2,518,$34.99,,3 total hours,37 lectures,All Levels
"A Story-Course About Finding Your Passion & Purpose in LifeThis free course is based on a book (fiction) that I wrote for my kids called ""Am I Alive? (& Where the Heck Did I Go?)""Rating: 4.4 out of 5517 reviews1.5 total hours15 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/am-i-alive-and-where-the-heck-did-i-go/,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,4.4,517,$19.99,,1.5 total hours,15 lectures,Beginner
The Unstoppable Discipline Program - MasterclassTAKE DAILY ACTION TOWARDS YOUR GOALS and FEEL PROUD OF YOURSELF instead of disappointedRating: 4.6 out of 5396 reviews2.5 total hours19 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/the-unstoppable-discipline-program/,Andrei Antoniu,4.6,396,$59.99,,2.5 total hours,19 lectures,All Levels
"16 Courses in 1 Personal Transformation Personal DevelopmentULTIMATE Personal Transformation, Personal Development, Self Mastery Course! Mindset, Goals, Psychology, Purpose, StressRating: 4.7 out of 5348 reviews65 total hours571 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/personal-transformation-personal-development-16-in-1/,"Joeel & Natalie of Transformation Services, Transformation Services",4.7,348,$54.99,,65 total hours,571 lectures,All Levels
Personal Transformation Breakthrough Coach (ACCREDITED)How to help yourself & others Breakthrough to a better life in this Personal Transformation Breakthrough Coaching CourseRating: 4.8 out of 5336 reviews3.5 total hours41 lecturesIntermediateCurrent price: $69.99,https://www.udemy.com/course/personal-transformation-breakthrough-coach-accredited/,"Graham Nicholls, The Priority Academy Ltd",4.8,336,$69.99,,3.5 total hours,41 lectures,Intermediate
Become your best self: Achieve breakthrough transformationTransformational journey. Self-image. Beliefs. Charisma. Passion. Goal-setting. Mind control. Self-talk. Time managementRating: 3.9 out of 5269 reviews1 total hour28 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/become-your-best-self-achieve-breakthrough-transformation/,Rohit Sethi,3.9,269,$19.99,,1 total hour,28 lectures,All Levels
Reinvent your self-image to be more confident and successfulAssess your self-image. Increase your self-confidence. Feel more worthy of success. Dream and achieve more naturally.Rating: 4.2 out of 5253 reviews0.5 total hours21 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/reinvent-your-self-image-to-be-more-confident-and-successful/,Rohit Sethi,4.2,253,$19.99,,0.5 total hours,21 lectures,All Levels
"Goddess SchoolUncover your most authentic self, heal your past, and manifest the life of your dreams!Rating: 4.6 out of 5246 reviews14.5 total hours12 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/goddess-school/,Penelope Badger,4.6,246,$74.99,,14.5 total hours,12 lectures,All Levels
"Advanced self-hypnosis (destroy conflicts inside your mind)How to destroy all conflicts, negative emotions or habits that limit your potential to become rich, successful & happyRating: 4.6 out of 5203 reviews1.5 total hours9 lecturesIntermediateCurrent price: $34.99",https://www.udemy.com/course/advanced-self-hypnosis-destroy-conflicts-inside-your-mind/,Scott Jansen,4.6,203,$34.99,,1.5 total hours,9 lectures,Intermediate
"Energize Your Life -Be A Wellbeing Practitioner (ACCREDITED)No other course offers such a massive collection of most powerful ancient tools for Health, Mindfulness & Self MasteryRating: 4.6 out of 5171 reviews7.5 total hours124 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/energize-your-life-complete-wellbeing-program/,"Ashwani Deswal, Ashwani Deswal International",4.6,171,$19.99,,7.5 total hours,124 lectures,All Levels
Manifesting Mastery - Imagining Creates RealityNeville Goddard For a New Generation.  Recognize and Unleash the Power of Imagination To Realize Your Goals and Desires.Rating: 4.7 out of 5137 reviews2 total hours18 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/manifesting-mastery-imagining-creates-reality/,Tom Medwin Jr.,4.7,137,$44.99,,2 total hours,18 lectures,All Levels
Hacking Your Subconscious MindBrandon Christopher. How I Nearly Doubled My Annual Income By Hacking The Subconscious MindRating: 4.5 out of 5135 reviews4 total hours33 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/hacking-your-subconscious-mind/,Brandon Christopher,4.5,135,$49.99,,4 total hours,33 lectures,All Levels
Divine Dragon ConnectionEmpower & transform your life by connecting to your Divine Dragon.Rating: 4.4 out of 5122 reviews1.5 total hours12 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/divine-dragon-connection/,Sinead White,4.4,122,$19.99,,1.5 total hours,12 lectures,Beginner
Shadow Work Course and WorkbookAre you ready to heal the wounded parts of your soul and stand more expansively in your Light?Rating: 4.6 out of 5120 reviews3 total hours52 lecturesAll LevelsCurrent price: $34.99,https://www.udemy.com/course/shadow-work-course/,Guided by Elaina Bianca,4.6,120,$34.99,,3 total hours,52 lectures,All Levels
"Emotional Intelligence 101: Become the Master of Your LifeLearn from a therapist more about mental health, happiness, love, and much more. Live a happier and healthier life.Rating: 4.6 out of 5120 reviews5 total hours61 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/how-to-find-happiness-in-life/,"Inner Path Seekers, Jellis Vaes",4.6,120,$49.99,,5 total hours,61 lectures,All Levels
"Complete 'Abundance Inductions' System (With 10 Inductions)10 powerful 'hypnotic abundance inductions' for automatic wealth, abundance, happiness and success.Rating: 4.8 out of 5120 reviews3.5 total hours16 lecturesBeginnerCurrent price: $64.99",https://www.udemy.com/course/complete-abundance-inductions-system-with-5-inductions/,Scott Jansen,4.8,120,$64.99,,3.5 total hours,16 lectures,Beginner
Paradigm Shift: Re-Train Your Brain for SuccessA breakthrough program that has the power to change your life!Rating: 4.4 out of 5119 reviews0.5 total hours10 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/paradigmshift/,Jacob Lethbridge,4.4,119,$19.99,,0.5 total hours,10 lectures,Beginner
"Sounds True's ""Flames that Light the Heart"" with Mark NepoTen Lessons on Living with Meaning, Truth, and KindnessRating: 4.8 out of 5115 reviews6.5 total hours32 lecturesAll LevelsCurrent price: $139.99",https://www.udemy.com/course/sounds-true-flames-that-light-the-heart-mark-nepo/,"Sounds True, Mark Nepo",4.8,115,$139.99,,6.5 total hours,32 lectures,All Levels
"Make Subliminal Audios and Reprogram Your Subconscious MindLearn Audacity, create Subliminals, Start your own business or a podcast channel.... NOWRating: 4.3 out of 5110 reviews0.5 total hours10 lecturesAll LevelsCurrent price: $24.99",https://www.udemy.com/course/make-subliminal-audios-and-reprogram-your-subconscious-mind/,Riccha Dubey,4.3,110,$24.99,,0.5 total hours,10 lectures,All Levels
"Personality Development Confidence: The Life Crafting CourseGain the confidence and life performance skills to achieve remarkable, measurable, and life lasting resultsRating: 4.9 out of 598 reviews3 total hours13 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/life-crafting/,"Life Crafting, Charles Paul Collins",4.9,98,$49.99,,3 total hours,13 lectures,All Levels
"Dream Weaving: The KEY to Unveiling your Passion and PurposeThe World is your oyster but we only see what we've been told to see.  Download, Decide, and Declare your New DREAMS!Rating: 4.7 out of 590 reviews1 total hour9 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/dream-weaving-the-key-to-unveiling-your-passion-and-purpose/,Jeff Griffin,4.7,90,$19.99,,1 total hour,9 lectures,All Levels
Addiction Recovery: Relapse Prevention Strategies That Work!Strategies that are truly EFFECTIVE have been meticulously crafted with honesty and specific details!Rating: 4.2 out of 589 reviews2 total hours13 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/relapsepreventionstrategies/,"Michael L. Williams, Jr",4.2,89,$19.99,,2 total hours,13 lectures,Intermediate
Grow Your Business with your Money Habit Archetype +HypnosisWork with your Money Habit Archetype & reprogram your mind with hypnotic meditation to grow your business faster.Rating: 4.7 out of 588 reviews3 total hours29 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/growyourbiz/,Miriam Castilla,4.7,88,$59.99,,3 total hours,29 lectures,All Levels
"Fitness Model TransformationExercises for Posture, Proportion, and Physique. Brought To You by ACE Certified Personal TrainerRating: 4.3 out of 587 reviews2 total hours25 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/fitness-model-transformation/,Gam Sassoon,4.3,87,$19.99,,2 total hours,25 lectures,All Levels
