title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Influence People with Persuasion PsychologyBetter Marketing and Personal Success with Behavioral Science and the Psychology of Influence and PersuasionRating: 4.3 out of 57018 reviews2 total hours26 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/psychology-influence/,"Andrew Luttrell, Ph.D.",4.3,"7,018",$49.99,,2 total hours,26 lectures,All Levels
Psychology of Attraction and LikabilityUse Psychology for Personal Development and Self-Improvement by Increasing Social Skills and Achieving Goal SuccessRating: 4.6 out of 5470 reviews2.5 total hours42 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/become-more-likable-through-the-science-of-attraction/,"Andrew Luttrell, Ph.D.",4.6,470,$49.99,,2.5 total hours,42 lectures,All Levels
"Dark PsychologyManipulation, Mind Control, Lie Detection, Body Language, Persuasion, Influence, Serial Killers, and PsychopathsRating: 4.4 out of 5803 reviews26 total hours110 lecturesBeginnerCurrent price: $49.99",https://www.udemy.com/course/dark-psychology/,Vincent Noot,4.4,803,$49.99,,26 total hours,110 lectures,Beginner
Persuasion: Mastering the Art of Influential CommunicationUnlock Your Persuasive Potential and Achieve Success in Every InteractionRating: 4.4 out of 5440 reviews40 total mins14 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/persuasion-mastery-/,Magine Solutions Team,4.4,440,$19.99,,,14 lectures,All Levels
How Manipulation WorksThe different types of manipulation that people use - as well as how to avoid or fight themRating: 4.5 out of 5214 reviews2 total hours21 lecturesAll LevelsCurrent price: $27.99,https://www.udemy.com/course/how-manipulation-works/,Vasco Patrício,4.5,214,$27.99,,2 total hours,21 lectures,All Levels
"Write Like a Boss: Master Your Business Writing SkillsHow to write better emails and proposals, save valuable time, and develop powerful written communication skills.Rating: 4.6 out of 517587 reviews1.5 total hours22 lecturesAll LevelsCurrent price: $109.99",https://www.udemy.com/course/master-business-writing-skills/,"Elizabeth Goins, Ph.D.",4.6,"17,587",$109.99,,1.5 total hours,22 lectures,All Levels
Psychology of persuasionBecome an expert on persuading peopleRating: 3.8 out of 5174 reviews33 total mins13 lecturesBeginner,https://www.udemy.com/course/psychology-of-persuasion/,Ferdous shaheer,3.8,174,,,,13 lectures,Beginner
"Negotiation Skills: Become A Master Of NegotiationNegotiation Skills For Every Situation | Win Negotiations And Never Settle For Less, Taught By A Negotiation ExpertRating: 4.5 out of 51455 reviews3 total hours69 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/negotiation-how-to-craft-agreements-that-give-everyone-more-u/,"Expert Academy, Gavin Presman, Lahcen Bouya",4.5,"1,455",$54.99,,3 total hours,69 lectures,All Levels
The Complete Psychological Manipulation MasterclassLearn the Secrets and Applications of Psychological Manipulation and Dark PsychologyRating: 4.5 out of 57 reviews3.5 total hours29 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/the-complete-psychological-manipulation-masterclass/,Dr. Ankita Kashyap,4.5,7,$19.99,,3.5 total hours,29 lectures,All Levels
Persuasion Machine: Master Persuasion Psychology & InfluenceMaster the Secrets of Persuasion Psychology & Learn the Communication Skills to Influence Anyone in Business & Life.Rating: 4.3 out of 51237 reviews2 total hours19 lecturesAll LevelsCurrent price: $29.99,https://www.udemy.com/course/persuasionmachine/,Patrick Dang,4.3,"1,237",$29.99,,2 total hours,19 lectures,All Levels
Psychology Of Business 2: The Science Of PersuasionUnderstand What Drives Consumer Behaviour And Integrate 7 Persuasion Principles Into Your Marketing StrategyRating: 4.7 out of 53 reviews1 total hour8 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/psychology-of-business-5-mastering-difficult-conversations/,Expert Academy,4.7,3,$19.99,,1 total hour,8 lectures,All Levels
"Write Like a Boss: Master Your Business Writing SkillsHow to write better emails and proposals, save valuable time, and develop powerful written communication skills.Rating: 4.6 out of 517588 reviews1.5 total hours22 lecturesAll LevelsCurrent price: $109.99",https://www.udemy.com/course/master-business-writing-skills/,"Elizabeth Goins, Ph.D.",4.6,"17,588",$109.99,,1.5 total hours,22 lectures,All Levels
