title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Diploma Training Course in Modern Applied Psychology (DiMAP)Learn how psychology began, the mains schools of thought, and ideas that equip people to understand themselves better.Rating: 4.7 out of 510735 reviews52 total hours179 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/diploma-in-modern-applied-psychology-achology-certified/,"Kain Ramsay, Academy of Applied Psychology",4.7,"10,735",$64.99,,52 total hours,179 lectures,All Levels
"Person-Centred Counselling Course (Certification Program)Learn the essentials of person-centred psychology, counselling skills, communication + active listening to help others.Rating: 4.6 out of 58172 reviews44 total hours178 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/online-counselling-practitioner-course-counselling-skills/,"Kain Ramsay, Academy of Applied Psychology",4.6,"8,172",$69.99,,44 total hours,178 lectures,All Levels
"Marketing Psychology and Consumer BehaviorApply consumer behaviour, marketing psychology and behavior economics to skyrocket your rate of sales and conversions.Rating: 4.6 out of 51984 reviews4 total hours33 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/marketing-psychology/,Proficient Courses,4.6,"1,984",$54.99,,4 total hours,33 lectures,All Levels
FORENSIC PSYCHOLOGY - FULLY ACCREDITED & CERTIFIEDLearn about criminal investigations and forensic profiling. Accredited courseRating: 4.5 out of 54929 reviews2.5 total hours22 lecturesBeginnerCurrent price: $74.99,https://www.udemy.com/course/forensic-psychology/,"Elmira Strange, PhD",4.5,"4,929",$74.99,,2.5 total hours,22 lectures,Beginner
"PSYCHOLOGY: ADVANCED LEVEL (Fully Accredited)Accredited Training in Behavioural & Cognitive Psychology, Research Methods, Mental Health Disorders and moreRating: 4.4 out of 52620 reviews4 total hours30 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/advanced-psychology/,"Elmira Strange, PhD",4.4,"2,620",$69.99,,4 total hours,30 lectures,All Levels
Introduction to Psychology - College Level (Certificate)This is a college level informational content course intended to educate students about the core concepts in psychology.Rating: 4.2 out of 5405 reviews28 total hours71 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/introduction-to-psychology-college-level/,Dr. Bev Knox,4.2,405,$49.99,,28 total hours,71 lectures,All Levels
Become a Master of Sales PsychologyInfluence Prospects and Increase Sales with these Little Known Mental Tricks of the TradeRating: 3.8 out of 5114 reviews3 total hours20 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/sales-psychology-101/,Greg Vanderford,3.8,114,$19.99,,3 total hours,20 lectures,Beginner
"Certification in Narrative Therapy - Fully AccreditedA narrative therapy certification masterclass to teach you to heal trauma, loss, grief, stress, depression, PTSD etc.Rating: 4.4 out of 5229 reviews2 total hours35 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/accredited-certificate-in-narrative-therapy/,"Prof. Krishna N. Sharma, Ph.D.",4.4,229,$39.99,,2 total hours,35 lectures,All Levels
GESTALT THERAPY: TOOLS for COUNSELLING & COACHINGLearn Gestalt therapy techniques like the Empty Chair & more. FULLY ACCREDITED & CERTIFIED CourseRating: 4.3 out of 51691 reviews4 total hours32 lecturesBeginnerCurrent price: $69.99,https://www.udemy.com/course/gestalt-psychotherapy/,"Elmira Strange, PhD",4.3,"1,691",$69.99,,4 total hours,32 lectures,Beginner
Certification in Narrative Exposure Therapy - AccreditedInternationally Accredited Narrative Exposure Therapy Certification to Heal Psychological / Mental Health Related IssuesRating: 4.3 out of 555 reviews2 total hours23 lecturesAll LevelsCurrent price: $24.99,https://www.udemy.com/course/accredited-certificate-narrative-exposure-therapy-training/,"Prof. Krishna N. Sharma, Ph.D.",4.3,55,$24.99,,2 total hours,23 lectures,All Levels
