title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
NEW Thai Foot Reflexology Massage Certificate Course (4 CEU)Learn Basic to Advanced Thai foot reflexology massage today and people will LOVE your reflexology treatments.Rating: 4.7 out of 52372 reviews5.5 total hours48 lecturesAll LevelsCurrent price: $89.99,https://www.udemy.com/course/thai-foot-reflexology-massage-course/,Mark Perren-Jones,4.7,"2,372",$89.99,,5.5 total hours,48 lectures,All Levels
Advanced Reflexology Certificate Course (3 CEU)Learn advanced reflexology massage techniques to treat health conditions using specific reflexology pointsRating: 4.6 out of 51085 reviews2 total hours40 lecturesIntermediateCurrent price: $64.99,https://www.udemy.com/course/advanced-reflexology-for-clinical-conditions/,Mark Perren-Jones,4.6,"1,085",$64.99,,2 total hours,40 lectures,Intermediate
Fully Accredited Reflexology Diploma - Heal Via Your Feet!Professional Diploma Course For Naturally Healing The Body With Reflexology. Easy & Effective TechniquesRating: 4.4 out of 52797 reviews1 total hour14 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/fully-accredited-reflexology-course-heal-via-your-feet/,Dr Karen E Wells,4.4,"2,797",$59.99,,1 total hour,14 lectures,All Levels
"The Complete Foot Massage Reflexology CourseLearn how to give an incredible foot reflexology massage for your partner, family, friends or massage clientsRating: 4.5 out of 5173 reviews2 total hours48 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/the-complete-foot-massage-reflexology-course/,Sonia Latif,4.5,173,$44.99,,2 total hours,48 lectures,All Levels
Face Reflexology Massage Certificate Course (2 CE)Learn the most modern form of Reflexology Massage that stimulates reflex points on the face for optimal healthRating: 4.8 out of 51243 reviews3 total hours45 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/facial-reflexology-massage-certificate-course/,Michael Eric Everson,4.8,"1,243",$49.99,,3 total hours,45 lectures,All Levels
Learn Hand Reflexology OnlineNew Easy Way to Learn Hand Reflexology OnlineRating: 4.4 out of 5217 reviews1.5 total hours7 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/learn-hand-reflexology-in-a-day/,Michael Keet,4.4,217,$19.99,,1.5 total hours,7 lectures,Beginner
Learn Advanced Reflexology and TCM for Health PractitionersA systematic & detailed course teaching advanced Reflexology techniques incorporating Traditional Chinese Medicine (TCM)Rating: 4.7 out of 51112 reviews3.5 total hours146 lecturesExpertCurrent price: $69.99,https://www.udemy.com/course/learn-advanced-reflexology-and-tcm-for-health-practitioners/,Peter Caughey,4.7,"1,112",$69.99,,3.5 total hours,146 lectures,Expert
"NEW Thai Hand Reflexology Massage Certificate Course (4 CEU)Learn basic and advanced reflexology techniques to effectively treat yourself, your family or your reflexology clientsRating: 4.9 out of 51055 reviews4 total hours32 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/hand-reflexology-massage-masterclass-thai-style/,Mark Perren-Jones,4.9,"1,055",$59.99,,4 total hours,32 lectures,All Levels
Fully Accredited Certification in ReflexologyA Comprehensive Reflexology Certification Course from India's Leading CPD ProviderRating: 4.3 out of 5581 reviews2.5 total hours24 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/fully-accredited-certification-in-reflexology/,"Prof. Krishna N. Sharma, Ph.D., Virtued Academy International, UniSkill Academy",4.3,581,$59.99,,2.5 total hours,24 lectures,All Levels
Fully Accredited Professional Hand Reflexology CourseFull Professional Diploma Course To Learn The Techniques Of Relaxing Yet Powerful Hand Reflexology!Rating: 4.1 out of 5536 reviews0.5 total hours10 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/fully-accredited-professional-hand-reflexology-course/,Dr Karen E Wells,4.1,536,$44.99,,0.5 total hours,10 lectures,All Levels
Lymphatic Drainage Reflexology Certificate Course (4CEU)Lymphatic Drainage Reflexology-A Completely New Approach To Doing Lymphatic Drainage On The Feet!Rating: 4.7 out of 5276 reviews4 total hours43 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/lymphatic-drainage-reflexology-certificate-course/,Mark Perren-Jones,4.7,276,$44.99,,4 total hours,43 lectures,All Levels
"Thai Foot Reflexology Certificate Course (1.5 CE)Soothe, Heal, and Energize with Transformative Foot Reflexology TechniquesRating: 4.8 out of 5225 reviews2 total hours20 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/thai-massage-foot-reflexology-certification/,Michael Eric Everson,4.8,225,$19.99,,2 total hours,20 lectures,All Levels
"Easily Learn How to Use Hand Reflexology to Feel Better Now.Self-care to reduce stress, tension, pain and optimize well-being.Rating: 4.5 out of 5196 reviews1.5 total hours19 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/easily-learn-how-to-use-hand-reflexology-to-feel-better-now/,"C. Anya Hricko, Ph. D.",4.5,196,$39.99,,1.5 total hours,19 lectures,All Levels
"The Complete Foot Reflexology Self-Healing SystemOptimize Health, Reduce Stress, Alleviate PainRating: 4.5 out of 5194 reviews2 total hours31 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/the-complete-foot-reflexology-self-healing-system/,"C. Anya Hricko, Ph. D.",4.5,194,$44.99,,2 total hours,31 lectures,All Levels
First steps in ReflexologyA beginners guide to becoming a professional practitionerRating: 4.0 out of 5153 reviews2 total hours28 lecturesBeginnerCurrent price: $39.99,https://www.udemy.com/course/free-first-steps-in-reflexology/,Deborah Casey,4.0,153,$39.99,,2 total hours,28 lectures,Beginner
Reflexology Accredited CourseFully Accredited Reflexology CourseRating: 4.4 out of 5144 reviews1.5 total hours36 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/reflexology-accredited-course/,Meganni Franklyn,4.4,144,$19.99,,1.5 total hours,36 lectures,Beginner
Certificate In Su Jok Seed TherapyTreat Energy Points With SeedsRating: 4.1 out of 5110 reviews3 total hours90 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/su-jok-seed-therapy-treat-acupressure-energy-points/,Dr. Himani Sharma,4.1,110,$19.99,,3 total hours,90 lectures,Intermediate
Reflexology for Babies and ChildrenBonding with children through gentle foot reflexology massage to stay healthy and happyRating: 4.6 out of 5105 reviews0.5 total hours16 lecturesBeginnerCurrent price: $44.99,https://www.udemy.com/course/reflexology-for-babies-and-children/,Fraser Holistic Health,4.6,105,$44.99,,0.5 total hours,16 lectures,Beginner
Fully Reflexology Certification Massage Therapist CourseReflexology Training - Reflexology Certification - Reflexology Certification Massage TherapistRating: 4.0 out of 582 reviews2 total hours27 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/fully-reflexology-certification-massage-therapist-course/,Manik Miah,4.0,82,$19.99,,2 total hours,27 lectures,All Levels
Level 3 Diploma in Reflexology Practitioner TrainingProfessional Qualification | Industry-Mapped | Private Practice ReadyRating: 4.2 out of 581 reviews8 total hours91 lecturesExpertCurrent price: $44.99,https://www.udemy.com/course/beginners-reflexology/,Deborah Casey,4.2,81,$44.99,,8 total hours,91 lectures,Expert
