title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Ask Better Questions - Build Better RelationshipsAsking questions connects and engages; deepens & strengthens our relationships. Good questions reduce tension & conflictRating: 4.5 out of 550714 reviews2 total hours37 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/build-better-relationships/,Richard Lock,4.5,"50,714",$74.99,,2 total hours,37 lectures,All Levels
Become a Master at Conflict Management at Home or WorkConflict Resolution | Emotional Intelligence | Difficult Conversations | Negotiating | Active Listening | InfluencingRating: 4.6 out of 58192 reviews4.5 total hours54 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/become-a-master-at-resolving-conflict-at-home-or-work/,"Roger Kay Allen, Ph.D.",4.6,"8,192",$69.99,,4.5 total hours,54 lectures,All Levels
Developing successful Professional RelationshipsDiscover and build the essential skills that will help you develop sound professional relationshipsRating: 4.5 out of 5646 reviews1.5 total hours14 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/developing-successful-professional-relationships/,Baba Oyewole,4.5,646,$19.99,,1.5 total hours,14 lectures,All Levels
"Personal And Professional Relationship BuildingCommunication skills, conflict management skills, and how to use empathy and emotional intelligence in relationshipsRating: 4.5 out of 5252 reviews32 total mins7 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/personal-and-professional-relationship-building/,Alex Genadinik,4.5,252,$19.99,,,7 lectures,Beginner
Essential Sales and Relationship Management SkillsPeople Skills | Selling | Building Rapport | Engaging Customer | Managing Relationships | Banking & Financial Services.Rating: 4.4 out of 5446 reviews3.5 total hours27 lecturesBeginnerCurrent price: $44.99,https://www.udemy.com/course/sales-and-relationship-management/,"Starweaver Team, Paul Siegel",4.4,446,$44.99,,3.5 total hours,27 lectures,Beginner
Ask Better Questions - Build Better RelationshipsAsking questions connects and engages; deepens & strengthens our relationships. Good questions reduce tension & conflictRating: 4.5 out of 550723 reviews2 total hours37 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/build-better-relationships/,Richard Lock,4.5,"50,723",$74.99,,2 total hours,37 lectures,All Levels
"Conscious Business: Building Positive RelationshipsChapter 1: Create fulfilling relationships, communicate with authenticity, effectively deal with any conflict situation.Rating: 4.5 out of 513690 reviews1.5 total hours18 lecturesAll LevelsCurrent price: $189.99",https://www.udemy.com/course/module-2-creating-fulfilling-relationships-great-teams/,Conscious Business Institute - Peter Matthies,4.5,"13,690",$189.99,,1.5 total hours,18 lectures,All Levels
The Power of Deep Listening (Using Active Listening Skills)Relationship Skills | Empathy Training | Influencing Skills | Build Trust | Communication Skills | How to ListenRating: 4.6 out of 57535 reviews4 total hours46 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/the-power-of-deep-listening/,"Roger Kay Allen, Ph.D.",4.6,"7,535",$74.99,,4 total hours,46 lectures,All Levels
"Relationship Building | Strong Relationships in Work & LifeRelationship, Relationship Building, Relationship Coaching, Active Listening, Empathy, Personal Development, BusinessRating: 4.6 out of 52276 reviews2.5 total hours28 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/relationship-building-strong-relationships-in-work-life/,Levent Ertunalılar,4.6,"2,276",$19.99,,2.5 total hours,28 lectures,All Levels
Build Better RelationshipsHow to Thrive in an AI-Driven WorldRating: 4.5 out of 51019 reviews1 total hour22 lecturesAll LevelsCurrent price: $29.99,https://www.udemy.com/course/build-better-relationships-c/,Patrick Galvin,4.5,"1,019",$29.99,,1 total hour,22 lectures,All Levels
"Relationship Coaching: Conflict Management for Couples+WorkConflict management, growth mindset + communication skills to improve relationships (for couples + at work!)Rating: 4.3 out of 5960 reviews5 total hours50 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/turn-relationship-problems-into-opportunities-for-growth/,"Joeel & Natalie of Transformation Services, Leah Fontane, Transformation Services",4.3,960,$74.99,,5 total hours,50 lectures,All Levels
