title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"TV Writing for Beginners: Create Episodes & Pitch a SeriesWrite Your First TV Pilot, Build Characters, Structure Episodes, and Pitch an Original SeriesRating: 5.0 out of 512 reviews1.5 total hours10 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/tv-writing-for-beginners-create-episodes-pitch-a-series/,Jordan Imiola,5.0,12,$19.99,,1.5 total hours,10 lectures,All Levels
SCREENWRITING and TV Writing MASTERCLASSLearn Screenwriting (writing Moives) AND How to Write TV Show. Write a Screenplay and a TV Show. Master Scriptwriting!Rating: 4.6 out of 585 reviews9.5 total hours54 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/successful-screenwriting/,Jordan Imiola,4.6,85,$44.99,,9.5 total hours,54 lectures,All Levels
Screenwriting & Storytelling Blueprint: Hero's Two JourneysFilmmaking is all about storytelling. Screenwriting experts Michael Hauge & Chris Vogler teach this game changing class.Rating: 4.7 out of 52616 reviews8 total hours39 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/screenwriting-story-blueprint-the-heros-two-journeys-filmmaking/,"IFH Courses, Michael Hauge",4.7,"2,616",$74.99,,8 total hours,39 lectures,All Levels
Inspirational Screenwriting.  The #1 Screenwriting Course!Learn the screenwriting secrets behind successful cinematic stories in the world of film & television script writing.Rating: 4.7 out of 52546 reviews3 total hours26 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/million-dollar-screenwriter/,PAUL CASTRO,4.7,"2,546",$19.99,,3 total hours,26 lectures,All Levels
Beginning Screenwriting made EASY - Screenwriting CourseScreenwriting doesn't have to be hardRating: 4.7 out of 51341 reviews3 total hours38 lecturesBeginnerCurrent price: $54.99,https://www.udemy.com/course/beginning-screenwriting-made-easy/,Word Dancer,4.7,"1,341",$54.99,,3 total hours,38 lectures,Beginner
Screenwriting WorkshopTurn your idea into a screenplay worthy of being Hollywood's next hit!Rating: 4.6 out of 51245 reviews7 total hours51 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/screenwriting-workshop/,Dani Alcorn,4.6,"1,245",$74.99,,7 total hours,51 lectures,All Levels
"Screenwriting for Beginners: Script Writing & ScreenplaysMaster screenwriting, scriptwriting, screenplay writing, filmmaking | Turn your idea into a great screenplay or scriptRating: 4.6 out of 5515 reviews3.5 total hours44 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/screenwriting-masterclass/,"Video School, Phil Ebiner, Brian Birmingham",4.6,515,$54.99,,3.5 total hours,44 lectures,All Levels
Script Writing & Recording Voice Over for Explainer VideosLearn how to write clear scripts & record engaging voice overs at home for Explainer VideosRating: 4.0 out of 5397 reviews0.5 total hours18 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/script-writing-recording-voice-over-for-explainer-videos/,Mary Ingrassia,4.0,397,$19.99,,0.5 total hours,18 lectures,Beginner
Screenwriting 101: Writing for Film & TelevisionReal World Film School. Learn Film & TV from someone with a 30+ year career selling Film & TV Screenplays & Producing TVRating: 4.4 out of 5360 reviews1.5 total hours19 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/screenwriting101/,David Titcher,4.4,360,$44.99,,1.5 total hours,19 lectures,All Levels
How To Write A Movie Script : Movie Script Writing BasicsHow To Write A Script For A Movie : Movie Script Writing Basics : Writing A Screenplay : How To Write A Movie ScriptRating: 4.5 out of 5292 reviews1 total hour9 lecturesBeginnerCurrent price: $74.99,https://www.udemy.com/course/writing-a-movie-script-write-screenplay/,Derek Bruce,4.5,292,$74.99,,1 total hour,9 lectures,Beginner
"Write a Movie in 14 Days - Screenwriting BootcampLearn Movie Writing in 14 Days: Fast Screenwriting for Screenplay, Storytelling, and Film Success!Rating: 4.4 out of 5280 reviews4 total hours43 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/write-a-movie-in-14-days-fast-screenwriting/,Jordan Imiola,4.4,280,$49.99,,4 total hours,43 lectures,All Levels
Write a Hit Novel or Script Using The Secrets of SUSPENSE!You will be able to write stories that your audience can't stop reading or watching!Rating: 4.6 out of 5249 reviews2 total hours43 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/suspenseguru-storybreaking/,Vik Rubenfeld,4.6,249,$19.99,,2 total hours,43 lectures,All Levels
Screenwriting:  Write the Shockingly Professional ScreenplayWriter/producer Jeffrey Alan Schechter reveals the secrets he's used to earn millions in script sales and assignments.Rating: 4.6 out of 5202 reviews4 total hours41 lecturesAll LevelsCurrent price: $27.99,https://www.udemy.com/course/how-to-write-the-professional-screenplay/,Jeffrey Alan Schechter,4.6,202,$27.99,,4 total hours,41 lectures,All Levels
Script Reader Training for ScreenwritersImprove Your Writing by Becoming a Script ReaderRating: 4.6 out of 5201 reviews2 total hours18 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/script-reader-training-for-screenwriters/,Micki McNie,4.6,201,$19.99,,2 total hours,18 lectures,Beginner
Screenwriting Bootcamp: The Business of Writing in HollywoodLearn the inside secrets about creating a career as a working screenwriter in Hollywood. Filmmaking!Rating: 4.4 out of 5186 reviews3 total hours33 lecturesIntermediateCurrent price: $44.99,https://www.udemy.com/course/the-business-of-screenwriting/,PAUL CASTRO,4.4,186,$44.99,,3 total hours,33 lectures,Intermediate
Screenwriting MasterClass: Movie WritingWrite a Movie and Master Screenwriting - A Screenwriting Course that covers everything you need to Write a Screenplay!Rating: 4.6 out of 5179 reviews6 total hours42 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/screenwritingmasterclass/,Jordan Imiola,4.6,179,$44.99,,6 total hours,42 lectures,All Levels
Screenwriting: Creating the Bulletproof 1 Hour TV PilotLearn how to craft the professional television pilot from award-winning writer and producer Jeffrey Alan Schechter.Rating: 4.4 out of 5166 reviews1.5 total hours15 lecturesAll LevelsCurrent price: $27.99,https://www.udemy.com/course/bulletproof-tv-pilot/,Jeffrey Alan Schechter,4.4,166,$27.99,,1 Hour,15 lectures,All Levels
Independent Film Screenwriting 101Everything You Need To Know About Screenwriting For Independent FilmRating: 4.0 out of 5166 reviews1 total hour12 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/independent-film-screenwriting/,Hank Orion,4.0,166,$19.99,,1 total hour,12 lectures,All Levels
"Screenwriting Toolkit: The Dialogue Writing MasterclassCrafting Fresh Dialogue That Snaps, Crackles and Pops Off Your Screenplay PagesRating: 4.7 out of 5150 reviews4.5 total hours15 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/screenwriting-toolkit-filmmaking/,"IFH Courses, Karl Iglesias",4.7,150,$54.99,,4.5 total hours,15 lectures,All Levels
"Screenwriting Masterclass: How to Write Fascinating ScenesLearn How to Write Scenes That Really Fascinate Your Audience. Improve your Screenwriting, Filmmaking & Storytelling!Rating: 4.5 out of 5145 reviews1 total hour8 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/screenwriting-filmmaking-masterclass-write-scenes/,"IFH Courses, Karl Iglesias",4.5,145,$34.99,,1 total hour,8 lectures,All Levels
"Visual Approach to Screenwriting and Dramatic StorytellingA complete guide to script writing: How to create your screenplay, from basics to techniques of top Hollywood writersRating: 4.7 out of 5132 reviews4.5 total hours13 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/visual-approach-to-screenwriting-and-dramatic-storytelling/,Andrew Kaplan,4.7,132,$54.99,,4.5 total hours,13 lectures,All Levels
Screenwriting for Beginners - by a produced ScreenwriterHow to write a screenplay - Crash CourseRating: 4.2 out of 5127 reviews1.5 total hours6 lecturesBeginnerCurrent price: $24.99,https://www.udemy.com/course/screenwriting-for-beginners-from-a-produced-screenwriter/,David Ford,4.2,127,$24.99,,1.5 total hours,6 lectures,Beginner
Writing a Script for Animation in Adobe StoryLearn How to Come Up With A Great Story And Turn It Into A Script In Professional FormatRating: 4.3 out of 5123 reviews0.5 total hours13 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/writing-a-script-for-animation-in-adobe-story/,2D Animation 101 Courses,4.3,123,$19.99,,0.5 total hours,13 lectures,Beginner
The Ultimate Guide for Script-writing for Short FilmsEverything you need to write a Screenplay and complete a Development PackageRating: 4.4 out of 5119 reviews3.5 total hours31 lecturesBeginnerCurrent price: $44.99,https://www.udemy.com/course/script-writing-for-short-films/,Omar Moujaes,4.4,119,$44.99,,3.5 total hours,31 lectures,Beginner
"Screenwriting Masterclass: Crafting Complex CharactersLearn the Write Rich, Complex Characters That Connect with an Audience in Your Screenwriting, Filmmaking & Film School!Rating: 4.6 out of 5112 reviews1 total hour6 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/screenwriting-masterclass-writing-complex-characters/,"IFH Courses, Karl Iglesias",4.6,112,$34.99,,1 total hour,6 lectures,All Levels
TV WRITING Course - Writing TV Episodes + Creating TV SeriesWrite TV! Learn how to write a TV episode of your favorire show +  Write Your Own TV ShowRating: 4.6 out of 5109 reviews2 total hours14 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/tvwriting/,Jordan Imiola,4.6,109,$19.99,,2 total hours,14 lectures,All Levels
"Screenwriting: Pitching Your Screenplay or Novel in 60 SecsLearn How to Get Your Screenplay or Novel Read. Pitching is a needed tool in Writing, Storytelling & ScreenwritingRating: 4.6 out of 5104 reviews2.5 total hours30 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/screenwriting-pitching-your-screenplay-or-novel-in-60-secs/,"IFH Courses, Michael Hauge",4.6,104,$19.99,,2.5 total hours,30 lectures,All Levels
Final Draft Course: The #1 Screenwriting Software in WorldGo from a writer to a professional style writer by fully understanding how to use Final DraftRating: 3.9 out of 591 reviews1 total hour24 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/final-draft-course-the-1-screenwriting-software-in-world/,Faith in Dreams Edutainment,3.9,91,$44.99,,1 total hour,24 lectures,All Levels
"Screenwriting 101 | Your 7-Day Guide to a Killer Movie IdeaEverything you need to know to discover, refine and ultimately plan out your screenwriting masterpiece.Rating: 4.4 out of 590 reviews2 total hours9 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/movie-idea-creator/,"Michael Rogan, Arslan Adil",4.4,90,$19.99,,2 total hours,9 lectures,Beginner
Scriptwriting: Write a feature film script in 10 daysWrite a movie screenplay quickly; practice screenwriting or do a first draft for rewriting /rewrite using final draftRating: 4.1 out of 584 reviews1 total hour14 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/scriptwriting/,Amal ALAGROOBI,4.1,84,$19.99,,1 total hour,14 lectures,All Levels
How to Write a Great Script with Final Draft 10(You Can Write a Screenplay Easier and Faster Than You Think)Rating: 4.3 out of 580 reviews6.5 total hours65 lecturesBeginnerCurrent price: $54.99,https://www.udemy.com/course/how-to-write-a-great-script-with-final-draft/,Wallace Wang,4.3,80,$54.99,,6.5 total hours,65 lectures,Beginner
"Screenwriting 101: How to Write Screenplay DescriptionThe ultimate, no-nonsense guide to writing awesome screenplay description.Rating: 4.5 out of 577 reviews0.5 total hours5 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/screenwriting-101-how-to-write-screenplay-description/,"Michael Rogan, Arslan Adil",4.5,77,$19.99,,0.5 total hours,5 lectures,All Levels
How to Write a Great Script with Final Draft 13Turn Your Idea for a Story Into a ScreenplayRating: 4.7 out of 575 reviews8 total hours73 lecturesBeginnerCurrent price: $44.99,https://www.udemy.com/course/how-to-write-a-great-script-with-final-draft-13/,Wallace Wang,4.7,75,$44.99,,8 total hours,73 lectures,Beginner
