title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
EveryDay Dining EtiquetteFine Dining or Casual Dining! Feel Confident & Make a Great Impression when Dining for Business or PleasureRating: 4.7 out of 51342 reviews1.5 total hours24 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/everyday-dining-etiquette/,Kimberly Law,4.7,"1,342",$59.99,,1.5 total hours,24 lectures,All Levels
"Business Etiquette 101: Social Skills for SuccessMaster Social Skills in Business & Be More Professional! Improve Confidence, Outfit, Conversation & Networking SkillRating: 4.7 out of 517406 reviews4 total hours29 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/business-etiquette-101-social-skills-for-success/,Kara Ronin,4.7,"17,406",$74.99,,4 total hours,29 lectures,All Levels
"Develop Amazing Social Skills & Connect With PeopleDevelop Amazing Social Skills, Social Confidence, Communication Skills, Self Esteem, Charisma, Self confidenceRating: 4.4 out of 57923 reviews2 total hours28 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/powerful-social-skills/,Alain W.,4.4,"7,923",$64.99,,2 total hours,28 lectures,All Levels
International Business EtiquetteSoft Skills you need to excel at work!Rating: 4.7 out of 52884 reviews1.5 total hours27 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/business-etiquette-for-job-seekers-promotion-seekers/,Kimberly Law,4.7,"2,884",$59.99,,1.5 total hours,27 lectures,All Levels
"Master Your Emotions and Revolutionise Your Social SkillsLearn the art of emotional intelligence, understand your psychology + nurture a socially attractive, confident persona.Rating: 4.5 out of 51999 reviews13.5 total hours46 lecturesAll LevelsCurrent price: $84.99",https://www.udemy.com/course/emotional-intelligence-and-social-skills-online-course/,"Kain Ramsay, The School for Self-Improvement and Personal Growth, Academy of Applied Psychology",4.5,"1,999",$84.99,,13.5 total hours,46 lectures,All Levels
Double Your Social Skills and Instantly Connect With PeopleDevelop Powerful Social Skills: Social Success Secrets. Inner & Social Confidence. Communication Skills. Networking.Rating: 4.3 out of 51625 reviews8.5 total hours95 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/double-your-social-skills-and-instantly-connect-with-people/,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support",4.3,"1,625",$74.99,,8.5 total hours,95 lectures,All Levels
EveryDay Dining EtiquetteFine Dining or Casual Dining! Feel Confident & Make a Great Impression when Dining for Business or PleasureRating: 4.7 out of 51343 reviews1 total hour24 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/everyday-dining-etiquette/,Kimberly Law,4.7,"1,343",$59.99,,1 total hour,24 lectures,All Levels
Effective Interpersonal SkillsUsing interpersonal skills to enhance personal effectiveness at the workplace.Rating: 4.5 out of 5469 reviews1.5 total hours18 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/effective-interpersonal-skills-bodhih-training/,Bodhih Training Solutions Pvt Ltd,4.5,469,$54.99,,1.5 total hours,18 lectures,All Levels
"Building Rapport: Confident Conversations Without Small TalkBuild meaningful connections, master body language, and handle tough conversations with ease.Rating: 4.8 out of 5365 reviews5 total hours46 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/building-rapport-communication-skills-to-surpass-small-talk/,Daniel Munro,4.8,365,$19.99,,5 total hours,46 lectures,All Levels
"Excellence in Interpersonal Skills (People & Social Skill)Use AI Coach. Develop soft skills for an introvert, social intelligence, anxiety using charisma, small talk, etiquette.Rating: 4.3 out of 5306 reviews3.5 total hours21 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/excellence-in-interpersonal-skills/,"Arun Singhal B-Tech, MBA (IIM-B),Unilever, J&J, Danone, IIMU, Cello",4.3,306,$19.99,,3.5 total hours,21 lectures,All Levels
Make New Friends: Boost Your Social SkillsMake New Friends. Boost Your Social Skills & Social Confidence. Self-Esteem. Communication Skills. Charisma. Social LifeRating: 4.3 out of 5241 reviews2 total hours24 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/double-your-social-skills-make-new-friends/,Alain W.,4.3,241,$44.99,,2 total hours,24 lectures,All Levels
"Social Skills & People Success MasterclassPowerful tips to make a great first impression anywhere! Social Skills, Communication Skills, Confidence & Charisma!Rating: 4.4 out of 5122 reviews3.5 total hours43 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/boost-your-social-skills-communicate-better-with-people/,Alain W.,4.4,122,$19.99,,3.5 total hours,43 lectures,All Levels
Social Spectrum: Social Skills for High-Functioning AutismLearn how to become a socially stand-up person while on the autistic spectrum.Rating: 4.4 out of 5118 reviews1 total hour12 lecturesBeginnerCurrent price: $44.99,https://www.udemy.com/course/social-spectrum/,Alexander Vornoff,4.4,118,$44.99,,1 total hour,12 lectures,Beginner
"Key Social Skills and Building RelationshipsFourth Key to Ultimate Confidence, Body, and Self-EsteemRating: 4.5 out of 596 reviews5 total hours14 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/key-social-skills-and-building-relationships/,Dr. Elisaveta Pavlova,4.5,96,$19.99,,5 total hours,14 lectures,All Levels
Social Interactions: How To Boost Your Social EffectivenessSocial Psychology and People InfluenceRating: 4.0 out of 594 reviews2.5 total hours31 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/social-skills-how-to-instantly-master-any-interaction/,Nicole Vasilescu,4.0,94,$19.99,,2.5 total hours,31 lectures,Intermediate
"10x Your SOCIAL SKILLS and Make Friends INSTANTLY!SOCIA SKILLS:  Learn how to make friends in business, college, and life.  Making friends is a critical life lesson.Rating: 4.2 out of 590 reviews1.5 total hours12 lecturesAll LevelsCurrent price: $29.99",https://www.udemy.com/course/howtomakefriends/,The Academy Program,4.2,90,$29.99,,1.5 total hours,12 lectures,All Levels
"Sacral Chakra HeaIing : An Initiation into Fun and PleasureHeal your Emotional Soul, Reconnect to your Passions, and Experience Sexual EmpowermentRating: 4.7 out of 587 reviews4 total hours57 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/sacral-chakra-healing-the-return-of-fun-and-pleasure/,James Seriph,4.7,87,$44.99,,4 total hours,57 lectures,All Levels
For Teens- Learn how to say NO to negative peer pressureHow to say NO to negative peer pressure and still be acceptedRating: 4.7 out of 573 reviews1 total hour7 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/saynocourseforteens/,Phinnah Ikeji,4.7,73,$19.99,,1 total hour,7 lectures,All Levels
"Social Skills Course: Become Introvert To Natural ExtrovertDevelop Great Social Skills To Skyrocket Your Social Confidence, Get Massive Social Success & 100x Your Revenue.Rating: 4.5 out of 563 reviews4.5 total hours87 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/master-social-skills-interact-with-charisma-confidence/,Author Nayan Chaudhary (Channe),4.5,63,$34.99,,4.5 total hours,87 lectures,All Levels
Interpersonal Skills for Elite Leaders and Project Managers8 Techniques To Make People Your Raving Admirers | Ultimate Effective Interpersonal Skills Guide for Leaders | Earn PDUsRating: 4.4 out of 558 reviews1.5 total hours22 lecturesIntermediateCurrent price: $39.99,https://www.udemy.com/course/elite-interpersonal-skills/,Advanced Innovation Group Pro Excellence (AIGPE),4.4,58,$39.99,,1.5 total hours,22 lectures,Intermediate
Discover How to Deal with Difficult & Toxic PeopleDealing with Difficult and Toxic People at Work? with Victoria and MichaelRating: 4.3 out of 553 reviews1.5 total hours11 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/difficult-toxic-people-in-the-workplace/,"Michael Ballard, Kevin Faibish, Victoria Lorient-Faibish, Michael Ballard",4.3,53,$49.99,,1.5 total hours,11 lectures,All Levels
Highly sensitive persons: how to deal with your sensitivityLearn how to accept and manage yourself as an HSP or highly sensitive person for happiness and an enjoyable lifeRating: 4.1 out of 553 reviews1.5 total hours27 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/highly-sensitive-persons-how-to-deal-with-your-sensitivity/,Alain de Raymond,4.1,53,$19.99,,1.5 total hours,27 lectures,All Levels
Make your Life a Joy Ride with HUMAN DESIGN!Improve your relationships with everyone by understanding Human Design Concepts and how to apply themRating: 4.5 out of 548 reviews5 total hours33 lecturesBeginnerCurrent price: $44.99,https://www.udemy.com/course/make-your-life-a-joy-ride-with-human-design/,Aleksandr Golovin,4.5,48,$44.99,,5 total hours,33 lectures,Beginner
"Aghh! Coping with Difficult People (With Dr. Susan Harrison)Specific Strategies to Stop Gossipers, Bullies, Naysayers, Drama Queens, Etc. in Their Tracks.Rating: 4.4 out of 548 reviews1.5 total hours17 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/difficultpeople/,"Sofia Santiago, PhD International Award-Winning Speaker and Author",4.4,48,$19.99,,1.5 total hours,17 lectures,Beginner
The Friendship Course:  Rules to Make and Keep FriendsLearn the Art of Building Meaningful Friendships From Scratch That Will Go Long TermRating: 3.6 out of 540 reviews1.5 total hours23 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/friendship/,Nikhil Parekh,3.6,40,$19.99,,1.5 total hours,23 lectures,All Levels
"Social Intelligence- The Brand of YouLearn how to Become the Most Popular, Liked and Magnetic Person in the RoomRating: 4.3 out of 538 reviews2 total hours15 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/the-social-brand-of-you/,Courtenay Kleu,4.3,38,$49.99,,2 total hours,15 lectures,All Levels
"Social & Communication Skills for IntrovertsAdvance your social, interpersonal communication skills and connect with People Instantly.Rating: 4.2 out of 538 reviews2 total hours25 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/develop-the-magnetic-networker-within-you/,Felipe Yanez,4.2,38,$39.99,,2 total hours,25 lectures,All Levels
"Social Skills: Build Self Confidence & Quickly Make Friends21 Practical Tactics on How to Make Friends Quickly, Increase Self Confidence and Improve Social Skills for SuccessRating: 4.3 out of 531 reviews0.5 total hours22 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/how-to-attract-new-friends-like-a-magnet/,Winnie John,4.3,31,$19.99,,0.5 total hours,22 lectures,Beginner
Bullies At Work - A Guide For SurvivalTools and Methods to Prevent Workplace Bullies From Making Your Life MiserableRating: 4.7 out of 531 reviews2 total hours18 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/bully-at-work-a-guide-for-survival/,Stan Prentice,4.7,31,$19.99,,2 total hours,18 lectures,All Levels
Friendship BootcampUpgrade your social life.Rating: 4.9 out of 520 reviews7 total hours67 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/friendship-bootcamp/,Glen Brauer,4.9,20,$19.99,,7 total hours,67 lectures,All Levels
"Social Anxiety Stress Mental Health Meditation Courseemotional intelligence, overcoming shame, Self-esteem, personal transformation, confidence, insecurities, awarenessRating: 5.0 out of 519 reviews1.5 total hours16 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/social-anxiety-stress-mental-health-meditation-course/,Shining Mind,5.0,19,$19.99,,1.5 total hours,16 lectures,All Levels
"Social Skills & Communication Skills for IntrovertsStop meeting strangers and start meeting friends everywhere you go as you instantly connect with anyone, and much more!Rating: 4.4 out of 513 reviews3 total hours40 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/social-skills-communication-skills/,Felipe Yanez,4.4,13,$19.99,,3 total hours,40 lectures,All Levels
Social Media Marketing that brings sales to your businessLearn how to bring sales using advanced Social Media+BONUS-FREE E-BOOK-YOUTUBE MARKETINGRating: 4.4 out of 512 reviews2 total hours19 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/social-media-marketing-that-bring-sales-to-your-business/,Laor Kael Heliraz,4.4,12,$19.99,,2 total hours,19 lectures,Beginner
Learn to know and explore your friendsTowards Excellence and Joy in Friendship MomentsRating: 3.5 out of 59 reviews0.5 total hours10 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/learn-to-know-and-explore-your-friends/,Dr. Dheeraj Mehrotra,3.5,9,$19.99,,0.5 total hours,10 lectures,All Levels
