title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
ACA-910 ITSM & Jira Service Management FoundationsExpand Your Helpdesk Knowledge | ACA-910 Prep Course | Master Jira Service Management BasicsRating: 4.7 out of 5214 reviews1.5 total hours31 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/aca-910-itsm-jsm-foundations/,Robert Hean,4.7,214,$19.99,,1.5 total hours,31 lectures,Beginner
Soft Skills for Support Agents | IT | Customer SupportEveryone can benefit from better soft skills | De-Escalation | Expectations | Empathy | Active ListeningRating: 4.6 out of 52622 reviews2 total hours40 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/soft-skills-for-support-agents/,Robert Hean,4.6,"2,622",$19.99,,2 total hours,40 lectures,Beginner
Soft Skills: The 11 Essential Career Soft SkillsThe Complete Lunchtime Soft Skills CourseRating: 4.5 out of 59730 reviews39.5 total hours746 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/soft-skills-the-11-essential-career-soft-skills/,TJ Walker,4.5,"9,730",$69.99,,39.5 total hours,746 lectures,All Levels
"Soft Skills Masterclass - 7 in 1, Communication, LeadershipSoft Skills | Leadership | Teamwork | Communication | Problem Solving | Negotiation | Soft Skills Training | ManagementRating: 4.5 out of 51616 reviews31 total hours341 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/soft-skills-masterclass/,Salil Dhawan,4.5,"1,616",$39.99,,31 total hours,341 lectures,All Levels
Dealing with Difficult PeopleYou'll learn how to effectively deal with - and protect yourself from - people who are difficult and make your life hardRating: 4.4 out of 51397 reviews3.5 total hours44 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/dealing-difficult-people/,Vasco Patrício,4.4,"1,397",$19.99,,3.5 total hours,44 lectures,All Levels
"Soft Skills Life Coach Certification (6-courses-in-1)Emotional Intelligence, Creativity, Growth Mindset, Communication Skills, Presentation Skills, Conflict Management +MoreRating: 4.6 out of 5291 reviews12.5 total hours137 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/soft-skills-life-coach-certification-6-courses-in-1/,"Joeel & Natalie of Transformation Services, Transformation Services",4.6,291,$59.99,,12.5 total hours,137 lectures,All Levels
Learning skill: Mother of all other skills and knowledgeImprove your learning skill to open doors to unlimited opportunitiesRating: 3.8 out of 5258 reviews1 total hour15 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/learning-skill-mother-of-all-other-skills-and-knowledge/,"Farrukh Khakimov, Jakhongir Khakimov",3.8,258,$19.99,,1 total hour,15 lectures,Beginner
"Leadership Skills for Project ManagersPractical Leadership Training to Inspire Teams, Improve Communication, and Drive Project SuccessRating: 4.5 out of 5196 reviews1.5 total hours27 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/leadership-skills-for-project-managers/,"Ray Harkins, The Manufacturing Academy, Stacey Schroeder",4.5,196,$19.99,,1.5 total hours,27 lectures,All Levels
Managing a Global Team with ConfidenceLearn from an Emmy-Award Winner and a #1 LinkedIn Instructor on developing global leadership communications skills.Rating: 4.5 out of 51003 reviews35 total mins10 lecturesBeginnerCurrent price: $29.99,https://www.udemy.com/course/managing-a-global-team-with-confidence/,Jessica Chen,4.5,"1,003",$29.99,,,10 lectures,Beginner
Empathy at Work | Trauma-Informed Communication & CultureEmpathy training | Trauma-informed business | Communication skills | Psychological safetyRating: 4.1 out of 511 reviews1 total hour20 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/providing-trauma-informed-care-in-business-certificate-class/,Crystal Tummala,4.1,11,$19.99,,1 total hour,20 lectures,All Levels
