title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Receive Sacred Andean Codes, Your Munay Ki Wisdom InitiationEmbrace ancient techniques to cultivate wisdom, empowerment, and heart-centered living in harmony with your sacred life.Rating: 4.8 out of 54862 reviews8 total hours105 lecturesAll LevelsCurrent price: $94.99",https://www.udemy.com/course/munay-ki/,Sharon Ramel,4.8,"4,862",$94.99,,8 total hours,105 lectures,All Levels
"Learn Shamanic Journeying To The Lower Middle Upper WorldsUnlock your healing power & spiritual potential in the lower, middle & upper worlds with your unique spiritual guidesRating: 4.7 out of 5999 reviews8.5 total hours71 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/shamanic-journeying-your-entry-level-initiation-masterclass/,Sharon Ramel,4.7,999,$59.99,,8.5 total hours,71 lectures,All Levels
Spiritual Counseling & PsychotherapyLearn principles and practices of spiritual liberation to use in counseling and psychotherapy for mental healthRating: 4.5 out of 523 reviews6.5 total hours25 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/three-yoga-paths-karma-yoga-bhakti-yoga-raja-yoga-online-course/,Psychologist Aman Varma,4.5,23,$74.99,,6.5 total hours,25 lectures,All Levels
"Grief Healing Death Coaching Meditation CourseLife purpose, happiness, self-esteem, bereavement, counselling, childhood informed care, positive thinkingRating: 4.2 out of 516 reviews3 total hours29 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/grief-healing-death-coaching-meditation-course/,Shining Mind,4.2,16,$19.99,,3 total hours,29 lectures,Beginner
Beginner Meditation - Spiritual Awakening - Mindfulness!Learn Beginner Meditation - Spiritual Awakening - Ascension - Master your Mind Potential - Boost Productivity - Energy!Rating: 4.7 out of 5103 reviews2.5 total hours23 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/master-meditation-course-online-learn-meditation-online-lessons/,Lesson Pros,4.7,103,$19.99,,2.5 total hours,23 lectures,All Levels
Beyond Death: Science & Spirituality of ImmortalityA 50-year researched journey through near-deathering Immortality: An Experiential Journey Through Death and BeyondRating: 4.9 out of 550 reviews7 total hours47 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/death-and-immortality-a-scientific-spiritual-perspective/,"Brian Sheen, Ph.D",4.9,50,$19.99,,7 total hours,47 lectures,All Levels
"The Complete Mindfulness Certification - Fully AccreditedBecome Mindfulness Practitioner & Life Coach to help in manifestation, Stress, Anxiety, Depression, Pain, and much more.Rating: 4.4 out of 5122 reviews1 total hour16 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/accredited-diploma-certificate-mindfulness-meditation-coach/,"Prof. Krishna N. Sharma, Ph.D., Virtued Academy International, UniSkill Academy",4.4,122,$34.99,,1 total hour,16 lectures,All Levels
"The Definitive Guide To Mindfulness & Mindfulness MeditationHow To Use Mindfulness Meditation, Learn How To Bring Balance, Improve Sleep, Reduce Stress, Anxiety & Depression.Rating: 4.7 out of 51277 reviews7 total hours24 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/spiritual-mindfulness/,Julian Jenkins,4.7,"1,277",$19.99,,7 total hours,24 lectures,All Levels
"Unlock Your Real SuperPowers - 5 Natural Faculties of MindMastering Intent, Intuition, Subtle Energy, Resonance, and MeditationRating: 4.7 out of 5130 reviews2 total hours10 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/unlock-your-real-superpowers-5-natural-faculties-of-mind/,"Dianne Collins, Alan Collins",4.7,130,$19.99,,2 total hours,10 lectures,All Levels
"""The  Path to  Peace""Transform chaos into calm with mindfulness, breathwork & decluttering.Rating: 5.0 out of 51 review1 total hour48 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/the-path-to-peace/,Marie Watkins,5.0,1,$19.99,,1 total hour,48 lectures,All Levels
