title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Worldviews, the Bible, and the BelieverCritical to understanding the New Testament world and our world is an understanding of worldview-- the lens of living.Rating: 4.6 out of 5581 reviews5 total hours44 lecturesIntermediateCurrent price: $59.99",https://www.udemy.com/course/worldviews-the-bible-and-the-believer/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.6,581,$59.99,,5 total hours,44 lectures,Intermediate
Paul and His Letter to the Romans: Part Two (Romans 6-11)Prof. N.T. Wright walks students through the central portion of this profound Epistle written by the Apostle Paul.Rating: 4.8 out of 5436 reviews8 total hours61 lecturesIntermediateCurrent price: $59.99,https://www.udemy.com/course/paul-and-his-letter-to-the-romans-part-two-romans-6-11/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.8,436,$59.99,,8 total hours,61 lectures,Intermediate
Paul and His Letter to the Philippians: Small Group EditionJoin Prof. N.T. Wright to study one of the most joyful and delightful books in the New Testament.Rating: 4.8 out of 53070 reviews5 total hours63 lecturesAll LevelsCurrent price: $129.99,https://www.udemy.com/course/paul-and-his-letter-to-the-philippians-small-group-edition/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.8,"3,070",$129.99,,5 total hours,63 lectures,All Levels
15 Essential Biblical TextsBring deeper meaning to everyday life with this biblical study guide curated by Prof. N.T. WrightRating: 4.7 out of 5935 reviews5 total hours59 lecturesBeginnerCurrent price: $94.99,https://www.udemy.com/course/15-essential-biblical-texts/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.7,935,$94.99,,5 total hours,59 lectures,Beginner
The king Solomon seals – 44 keys to prosperity & successLearn the secrets of the King Solomon seals and how to implement them in your life for success and self-fulfillmentRating: 4.8 out of 5840 reviews4 total hours49 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/the-king-solomon-seals-44-keys-to-prosperity-success/,Orna Ben-Shoshan,4.8,840,$74.99,,4 total hours,49 lectures,All Levels
Paul: A BiographyProf. N.T. Wright guides students toward a thorough grasp of the apostle Paul's lasting role in Christian history.Rating: 4.9 out of 5780 reviews6 total hours62 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/paul-a-biography/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.9,780,$44.99,,6 total hours,62 lectures,All Levels
Master Logos Bible Software to Supercharge Your Bible StudyUnofficial but Awesome tutorial course to master Logos Bible Software version 10 (and 9) on the DesktopRating: 4.6 out of 5628 reviews10 total hours85 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/mastering-logos-bible-software/,Danny Zacharias,4.6,628,$59.99,,10 total hours,85 lectures,All Levels
Book of DanielFollow the journey of Daniel and his companions in exile with Professor N.T. Wright as your guide.Rating: 4.6 out of 5572 reviews4 total hours33 lecturesBeginnerCurrent price: $119.99,https://www.udemy.com/course/book-of-daniel/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.6,572,$119.99,,4 total hours,33 lectures,Beginner
The Storied World of the BibleUnderstand how the expansive literature found in the Bible fits together into a Grand Narrative of God's actions.Rating: 4.7 out of 5520 reviews6 total hours64 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/the-storied-world-of-the-bible/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.7,520,$69.99,,6 total hours,64 lectures,All Levels
"Themes in the Gospel of JohnProf. N.T. Wright examines the Gospel of John observing seven key, overarching themes pointing to a new way of living.Rating: 4.7 out of 5461 reviews6.5 total hours71 lecturesAll LevelsCurrent price: $99.99",https://www.udemy.com/course/themes-in-the-gospel-of-john/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.7,461,$99.99,,6.5 total hours,71 lectures,All Levels
"The Servant KingExplore one of the Bible’s greatest poems, and embrace its divine wisdom on transforming tragedy into victory.Rating: 4.8 out of 5437 reviews6 total hours43 lecturesAll LevelsCurrent price: $124.99",https://www.udemy.com/course/the-servant-king/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.8,437,$124.99,,6 total hours,43 lectures,All Levels
Paul and His Letter to the ColossiansProf. N.T. Wright explains the meaning of this wonderful letter written to the Colossian believers in Christ.Rating: 4.8 out of 5384 reviews5 total hours66 lecturesBeginnerCurrent price: $69.99,https://www.udemy.com/course/paul-and-his-letter-to-the-colossians/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.8,384,$69.99,,5 total hours,66 lectures,Beginner
Systematic Theology: Knowing the Doctrines of the BibleIncrease your understanding of God's word by learning the major teachings of the Bible!Rating: 4.8 out of 5303 reviews3.5 total hours21 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/knowing-the-doctrines-of-the-bible-systematic-theology/,Dr. Stuart Pattico,4.8,303,$74.99,,3.5 total hours,21 lectures,All Levels
"Ethnicity, Justice, and the People of GodAn Exploration into a Biblical Theology of JusticeRating: 4.7 out of 5297 reviews6 total hours43 lecturesIntermediateCurrent price: $109.99",https://www.udemy.com/course/ethnicity-justice-and-the-people-of-god/,"N.T. Wright, Esau McCaulley, David P. Seemuth, Jennifer Loop",4.7,297,$109.99,,6 total hours,43 lectures,Intermediate
Paul's First Letter to Corinth: Part One (Chapters 1-10)Chapters 1-10 with Prof. N.T. WrightRating: 4.9 out of 5272 reviews6.5 total hours68 lecturesBeginnerCurrent price: $69.99,https://www.udemy.com/course/pauls-first-letter-to-corinth-part-one/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.9,272,$69.99,,6.5 total hours,68 lectures,Beginner
Hermeneutics: Principles of Interpreting the BibleLearn how to interpret the Bible accurately! Study the branch of theology that deals with principles of interpretation.Rating: 4.7 out of 5253 reviews1 total hour17 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/hermeneutics-theology-interpreting-bible/,Dr. Stuart Pattico,4.7,253,$59.99,,1 total hour,17 lectures,All Levels
Learn New Testament Greek to Engage God's Word More DeeplyLearn the essentials of New Testament Greek fast! Works in conjunction with the textbook NT Greek Stripped DownRating: 4.6 out of 5236 reviews10 total hours52 lecturesBeginnerCurrent price: $49.99,https://www.udemy.com/course/learn-new-testament-greek/,Danny Zacharias,4.6,236,$49.99,,10 total hours,52 lectures,Beginner
Paul and His Letter to the Romans: Part One (Romans 1-5)A Guide to the Apostle Paul's Masterpiece Epistle.Rating: 4.8 out of 5993 reviews6.5 total hours55 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/paul-and-his-letter-to-the-romans-part-one/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.8,993,$69.99,,6.5 total hours,55 lectures,All Levels
The Lord's PrayerExplore the meaning of the Lord's Prayer in the greater context of Jesus' life and work.Rating: 4.8 out of 52668 reviews1 total hour19 lecturesBeginnerCurrent price: $69.99,https://www.udemy.com/course/the-lords-prayer-ntw/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.8,"2,668",$69.99,,1 total hour,19 lectures,Beginner
