title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Productivity and Time Management for the OverwhelmedA complete productivity and time management course designed to help you reduce your overwhelm and increase your results.Rating: 4.5 out of 5102988 reviews2 total hours32 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/productivity-and-time-management/,Josh Paulsen,4.5,"102,988",$64.99,,2 total hours,32 lectures,All Levels
"Time Management Mastery: Do More, Stress LessTake control of your time, your to-do list, and your overwhelm.  Learn how to get it all done, without the stress.Rating: 4.5 out of 591142 reviews2 total hours45 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/do-more-stress-less/,Alexis Haselberger,4.5,"91,142",$59.99,,2 total hours,45 lectures,All Levels
"Time Management Masterclass: Focus, Productivity and BalanceMaster time management, productivity, planning, habits and focus to create more clarity, balance and meaningful results.Rating: 4.8 out of 549 reviews4 total hours38 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/the-time-management-mastery/,Mind Stack,4.8,49,$19.99,,4 total hours,38 lectures,All Levels
Time Management Mastery: Productivity & GoalsPractical guide to time management - master productivity and efficiency every dayRating: 4.6 out of 55303 reviews4.5 total hours67 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/time-management-master/,"CRFT Productions, Chris Croft",4.6,"5,303",$49.99,,4.5 total hours,67 lectures,All Levels
"Daily Time Management for Busy Beginners | 12 Complete ClassLearn simple time management skills to plan your day, stay focused, and build easy routines that fit a busy life.Rating: 4.5 out of 51 review2.5 total hours106 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/daily-time-management-for-busy-beginners/,Paul Nene,4.5,1,$19.99,,2.5 total hours,106 lectures,Beginner
Effective Time Management - Get 10X More Done in Less TimeHow Entrepreneurs and Small Business Owners can Get 10X More Done in Half of the TimeRating: 4.3 out of 54913 reviews1 total hour10 lecturesBeginnerCurrent price: $24.99,https://www.udemy.com/course/effective-time-management/,"William U. Peña, MBA",4.3,"4,913",$24.99,,1 total hour,10 lectures,Beginner
10X SUPERHUMAN Focus: Maximize Your Brain & FocusThe World’s Most ADVANCED Focus Training Course: Direct Your Focus and Energy Where They Matter Most to YouRating: 4.9 out of 57036 reviews13.5 total hours183 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/learn-focus-techniques/,Silviu Marisk | M.B.A.,4.9,"7,036",$69.99,,13.5 total hours,183 lectures,All Levels
SUPERHUMAN Productivity 10X: The Secret Skill Of PerformanceThe Ultimate Blueprint For Productivity In The New Era Of BusinessRating: 4.9 out of 54725 reviews8.5 total hours155 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/productivity-10x-productivity/,Silviu Marisk | M.B.A.,4.9,"4,725",$64.99,,8.5 total hours,155 lectures,All Levels
"Time Management and Productivity Hacks: Do More, Stress LessMaster Your Time, attention and energy to boost productivity, eliminate distractions and build habits for success.Rating: 4.7 out of 574 reviews1 total hour36 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/time-management-and-productivity-hacks-do-more-stress-less/,Sania Alam  │ Futuristic Learning USA,4.7,74,$19.99,,1 total hour,36 lectures,All Levels
"Time Management, Prioritization and ProductivityTime Management:  Avoid Distractions, Stop Procrastinating, Stay Focused, Increase Productivity, Plan & PrioritizeRating: 4.5 out of 53228 reviews1.5 total hours27 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/time-management-prioritization-and-productivity/,"Joeel & Natalie of Transformation Services, Transformation Services",4.5,"3,228",$44.99,,1.5 total hours,27 lectures,All Levels
