title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"ChatGPT AI: Writing/Self-publishing a Book: ChatGPT AI + KDPResearching, outlining, writing, editing & self-publishing a nonfiction/fiction book w/ChatGPT AI, Microsoft Word & KDPRating: 4.5 out of 5318 reviews6.5 total hours59 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/chatgpt-writing-a-book-with-chatgpt/,Brian Jackson,4.5,318,$19.99,,6.5 total hours,59 lectures,Beginner
Writing a Book: Plan/Schedule a Release with Book CalculatorFind your Amazon book niche: Always writing in a series: Book length and price: Release scheduling with Book CalculatorRating: 4.9 out of 510 reviews1 total hour12 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/amazon-nonfiction-books-plan-and-schedule-wbook-calculator/,Brian Jackson,4.9,10,$19.99,,1 total hour,12 lectures,Beginner
Create Professional Book Covers That Sell - For FreeNot Gimp - No design experience needed - Create professional covers that grab attention - Easy methods - Special effectsRating: 4.0 out of 560 reviews4.5 total hours36 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/different-book-cover-design-that-sells-more-how-to-create/,Ian Stables,4.0,60,$19.99,,4.5 total hours,36 lectures,All Levels
Write In Steps: The Amazing Nonfiction Book Writing FormulaHow to write a quality nonfiction book using a very easy to follow formula Follow the simple stepsRating: 4.1 out of 5247 reviews3 total hours32 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/write-in-steps/,Ian Stables,4.1,247,$54.99,,3 total hours,32 lectures,All Levels
"Learn How to Format & Publish Your Book in Microsoft WordSelf-Publishers Guide to Formating ""Print-Ready"" Books for Createspace and Lulu (or anywhere else) with Microsoft WordRating: 4.4 out of 5108 reviews1.5 total hours16 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/format-publish-your-book-in-1-hour/,Victor Scott,4.4,108,$39.99,,1.5 total hours,16 lectures,All Levels
Kindle eBook Cover Design and Book Illustration GuideLearn the steps for designing your book's cover and sourcing and manipulating images for your ebooksRating: 4.2 out of 521 reviews2 total hours27 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/kindle-ebook-cover-design/,David James Ault,4.2,21,$19.99,,2 total hours,27 lectures,All Levels
"Kindle Complete Course: Book Writing, Publishing, MarketingStep-by-step strategies for creating and publishing your own books on Kindle.Rating: 4.1 out of 518 reviews4 total hours54 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/kindle-complete-course-book-writing-publishing-marketing/,Anbu Rayappan,4.1,18,$19.99,,4 total hours,54 lectures,All Levels
"ChatGPT to Self Publish a Fiction Amazon KDP Romance NovelFrom ChatGPT & Midjourney Magic to Voiceover AI: Self-Publish on KDP, Write a Fiction Romance Novel with AI in 2023Rating: 4.4 out of 523 reviews5.5 total hours20 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/chatgpt-to-write-a-fiction-amazon-romance-novel-in-24-hours/,Passive Income Gen Z,4.4,23,$19.99,,5.5 total hours,20 lectures,All Levels
How to Pick a Bestselling Book Title Before Writing a BookDon't waste your time writing a book nobody wants. Learn how to choose a winning nonfiction book topic in easy steps.Rating: 4.7 out of 5170 reviews2 total hours27 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/pick-a-bestselling-book-title-before-writing-your-book/,Hassan Osman,4.7,170,$19.99,,2 total hours,27 lectures,All Levels
Writing a Book: Creative Writing Skills for Self-publishingWriting a book: Creative writing Fiction/Nonfiction/Page-turner: Punctuation: Outlining: World building: Self-publishingRating: 4.5 out of 52104 reviews34 total hours339 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/writing-a-book-creative-writing-skills-for-self-publishing/,Brian Jackson,4.5,"2,104",$19.99,,34 total hours,339 lectures,Beginner
